model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISC,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJMC_to_PJMW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJMC_to_MISW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJME_to_NYUP,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJME_to_PJMW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJME_to_NYCW,2027,base_52_week_no_ccs,MW,4535.6534480656455
SWITCH,PJME_to_PJMD,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISE_to_MISC,2027,base_52_week_no_ccs,MW,1.2772028164963808e-12
SWITCH,MISE_to_PJMW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISE_to_MISW,2027,base_52_week_no_ccs,MW,1.1076815602080268e-12
SWITCH,ISNE_to_NYUP,2027,base_52_week_no_ccs,MW,0.0
SWITCH,ISNE_to_NYCW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISC_to_SPPC,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISC_to_PJMW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISC_to_SRCE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISC_to_SPPS,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISC_to_MISS,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISC_to_SPPN,2027,base_52_week_no_ccs,MW,2.7015690668035413e-12
SWITCH,MISC_to_MISW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,CANO_to_BASN,2027,base_52_week_no_ccs,MW,0.0
SWITCH,CANO_to_CASO,2027,base_52_week_no_ccs,MW,0.0
SWITCH,CANO_to_NWPP,2027,base_52_week_no_ccs,MW,0.0
SWITCH,TREW_to_TRE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,TREW_to_SPPS,2027,base_52_week_no_ccs,MW,1513.0450248672191
SWITCH,SPPC_to_SPPS,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SPPC_to_MISS,2027,base_52_week_no_ccs,MW,2.8919711179967037e-12
SWITCH,SPPC_to_SPPN,2027,base_52_week_no_ccs,MW,1506.4325072988122
SWITCH,SPPC_to_MISW,2027,base_52_week_no_ccs,MW,1.1625524879537388e-12
SWITCH,FRCC_to_SRSE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,TRE_to_SPPS,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRCA_to_PJMW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRCA_to_SRCE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRCA_to_PJMD,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRCA_to_SRSE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,NYUP_to_NYCW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJMW_to_SRCE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,PJMW_to_PJMD,2027,base_52_week_no_ccs,MW,0.0
SWITCH,BASN_to_RMRG,2027,base_52_week_no_ccs,MW,0.0
SWITCH,BASN_to_CASO,2027,base_52_week_no_ccs,MW,0.0
SWITCH,BASN_to_NWPP,2027,base_52_week_no_ccs,MW,0.0
SWITCH,BASN_to_SRSG,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRCE_to_MISS,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRCE_to_SRSE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SPPS_to_MISS,2027,base_52_week_no_ccs,MW,2.2737367544323206e-13
SWITCH,SPPS_to_SRSG,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SPPS_to_SPPN,2027,base_52_week_no_ccs,MW,9.41024859066575e-12
SWITCH,RMRG_to_NWPP,2027,base_52_week_no_ccs,MW,0.0
SWITCH,RMRG_to_SRSG,2027,base_52_week_no_ccs,MW,0.0
SWITCH,MISS_to_SRSE,2027,base_52_week_no_ccs,MW,0.0
SWITCH,CASO_to_NWPP,2027,base_52_week_no_ccs,MW,0.0
SWITCH,CASO_to_SRSG,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SPPN_to_MISW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,NWPP_to_SPPN,2027,base_52_week_no_ccs,MW,7.912437219354554e-13
SWITCH,NWPP_to_MISW,2027,base_52_week_no_ccs,MW,0.0
SWITCH,RMRG_to_SPPN,2027,base_52_week_no_ccs,MW,1309.9386800224397
SWITCH,RMRG_to_SPPC,2027,base_52_week_no_ccs,MW,0.0
SWITCH,SRSG_to_TRE,2027,base_52_week_no_ccs,MW,1.1684065631465046e-12
SWITCH,PJMC_to_MISC,2030,base_52_week_no_ccs,MW,8.985261956695467e-07
SWITCH,PJMC_to_PJMW,2030,base_52_week_no_ccs,MW,9999.999998183615
SWITCH,PJMC_to_MISW,2030,base_52_week_no_ccs,MW,11790.65047034148
SWITCH,PJME_to_NYUP,2030,base_52_week_no_ccs,MW,6329.380615372221
SWITCH,PJME_to_PJMW,2030,base_52_week_no_ccs,MW,7804.006651626471
SWITCH,PJME_to_NYCW,2030,base_52_week_no_ccs,MW,1.1621978046605363e-07
SWITCH,PJME_to_PJMD,2030,base_52_week_no_ccs,MW,2215.8619909433587
SWITCH,MISE_to_MISC,2030,base_52_week_no_ccs,MW,3526.2990345024928
SWITCH,MISE_to_PJMW,2030,base_52_week_no_ccs,MW,6.260279405978508e-07
SWITCH,MISE_to_MISW,2030,base_52_week_no_ccs,MW,3598.0772983967045
SWITCH,ISNE_to_NYUP,2030,base_52_week_no_ccs,MW,5321.401893627424
SWITCH,ISNE_to_NYCW,2030,base_52_week_no_ccs,MW,286.70661966243097
SWITCH,MISC_to_SPPC,2030,base_52_week_no_ccs,MW,10203.19713675007
SWITCH,MISC_to_PJMW,2030,base_52_week_no_ccs,MW,17565.30590935498
SWITCH,MISC_to_SRCE,2030,base_52_week_no_ccs,MW,1.1813199307653122e-07
SWITCH,MISC_to_SPPS,2030,base_52_week_no_ccs,MW,11719.999985259576
SWITCH,MISC_to_MISS,2030,base_52_week_no_ccs,MW,5.7188799473806284e-08
SWITCH,MISC_to_SPPN,2030,base_52_week_no_ccs,MW,9999.99999027723
SWITCH,MISC_to_MISW,2030,base_52_week_no_ccs,MW,9.470090844843071e-08
SWITCH,CANO_to_BASN,2030,base_52_week_no_ccs,MW,1.098662778531434e-07
SWITCH,CANO_to_CASO,2030,base_52_week_no_ccs,MW,5.412313385022571e-06
SWITCH,CANO_to_NWPP,2030,base_52_week_no_ccs,MW,1498.3008679638751
SWITCH,TREW_to_TRE,2030,base_52_week_no_ccs,MW,1.6492413124069571e-07
SWITCH,TREW_to_SPPS,2030,base_52_week_no_ccs,MW,7784.433439496832
SWITCH,SPPC_to_SPPS,2030,base_52_week_no_ccs,MW,1.4612305676564574e-07
SWITCH,SPPC_to_MISS,2030,base_52_week_no_ccs,MW,8996.116336432493
SWITCH,SPPC_to_SPPN,2030,base_52_week_no_ccs,MW,486.2417187396959
SWITCH,SPPC_to_MISW,2030,base_52_week_no_ccs,MW,7.734778770666361e-05
SWITCH,FRCC_to_SRSE,2030,base_52_week_no_ccs,MW,5562.1301790705875
SWITCH,TRE_to_SPPS,2030,base_52_week_no_ccs,MW,9999.999999684856
SWITCH,SRCA_to_PJMW,2030,base_52_week_no_ccs,MW,4.021103450213559e-08
SWITCH,SRCA_to_SRCE,2030,base_52_week_no_ccs,MW,2998.233291084269
SWITCH,SRCA_to_PJMD,2030,base_52_week_no_ccs,MW,7.372818799922243e-09
SWITCH,SRCA_to_SRSE,2030,base_52_week_no_ccs,MW,8.807910489849746e-08
SWITCH,NYUP_to_NYCW,2030,base_52_week_no_ccs,MW,3021.541681573557
SWITCH,PJMW_to_SRCE,2030,base_52_week_no_ccs,MW,1122.3482338083377
SWITCH,PJMW_to_PJMD,2030,base_52_week_no_ccs,MW,3.71937858290039e-08
SWITCH,BASN_to_RMRG,2030,base_52_week_no_ccs,MW,1.0908024705713615e-08
SWITCH,BASN_to_CASO,2030,base_52_week_no_ccs,MW,1.290045474888757e-07
SWITCH,BASN_to_NWPP,2030,base_52_week_no_ccs,MW,4.369985617813654e-08
SWITCH,BASN_to_SRSG,2030,base_52_week_no_ccs,MW,1.0759140423033386e-07
SWITCH,SRCE_to_MISS,2030,base_52_week_no_ccs,MW,6.543587005580775e-08
SWITCH,SRCE_to_SRSE,2030,base_52_week_no_ccs,MW,3983.815562762872
SWITCH,SPPS_to_MISS,2030,base_52_week_no_ccs,MW,16969.999999243624
SWITCH,SPPS_to_SRSG,2030,base_52_week_no_ccs,MW,7197.676647092227
SWITCH,SPPS_to_SPPN,2030,base_52_week_no_ccs,MW,7020.591505776315
SWITCH,RMRG_to_NWPP,2030,base_52_week_no_ccs,MW,4520.9213675591445
SWITCH,RMRG_to_SRSG,2030,base_52_week_no_ccs,MW,2725.381638542567
SWITCH,MISS_to_SRSE,2030,base_52_week_no_ccs,MW,9999.999998802876
SWITCH,CASO_to_NWPP,2030,base_52_week_no_ccs,MW,2.2223093765205704e-07
SWITCH,CASO_to_SRSG,2030,base_52_week_no_ccs,MW,6904.697408532127
SWITCH,SPPN_to_MISW,2030,base_52_week_no_ccs,MW,2.991328074131161e-09
SWITCH,NWPP_to_SPPN,2030,base_52_week_no_ccs,MW,1249.6007471382634
SWITCH,NWPP_to_MISW,2030,base_52_week_no_ccs,MW,4.926050678477623e-10
SWITCH,RMRG_to_SPPN,2030,base_52_week_no_ccs,MW,3618.681283854416
SWITCH,RMRG_to_SPPC,2030,base_52_week_no_ccs,MW,9999.999995613163
SWITCH,SRSG_to_TRE,2030,base_52_week_no_ccs,MW,5107.703699037103
SWITCH,PJMC_to_MISC,2035,base_52_week_no_ccs,MW,7.179369276855141e-08
SWITCH,PJMC_to_PJMW,2035,base_52_week_no_ccs,MW,9999.99999427361
SWITCH,PJMC_to_MISW,2035,base_52_week_no_ccs,MW,9529.60792474815
SWITCH,PJME_to_NYUP,2035,base_52_week_no_ccs,MW,2991.4083673634077
SWITCH,PJME_to_PJMW,2035,base_52_week_no_ccs,MW,9004.422673508234
SWITCH,PJME_to_NYCW,2035,base_52_week_no_ccs,MW,3496.4174766414526
SWITCH,PJME_to_PJMD,2035,base_52_week_no_ccs,MW,868.5807757089692
SWITCH,MISE_to_MISC,2035,base_52_week_no_ccs,MW,901.4552662401243
SWITCH,MISE_to_PJMW,2035,base_52_week_no_ccs,MW,1.626804078114219e-07
SWITCH,MISE_to_MISW,2035,base_52_week_no_ccs,MW,7.351900421781465e-09
SWITCH,ISNE_to_NYUP,2035,base_52_week_no_ccs,MW,4920.0663907995
SWITCH,ISNE_to_NYCW,2035,base_52_week_no_ccs,MW,132.90704337604302
SWITCH,MISC_to_SPPC,2035,base_52_week_no_ccs,MW,2191.908423476456
SWITCH,MISC_to_PJMW,2035,base_52_week_no_ccs,MW,3811.662727808536
SWITCH,MISC_to_SRCE,2035,base_52_week_no_ccs,MW,2.748629412963055e-08
SWITCH,MISC_to_SPPS,2035,base_52_week_no_ccs,MW,199.92383745051302
SWITCH,MISC_to_MISS,2035,base_52_week_no_ccs,MW,5.0967173592653126e-08
SWITCH,MISC_to_SPPN,2035,base_52_week_no_ccs,MW,4865.417064919451
SWITCH,MISC_to_MISW,2035,base_52_week_no_ccs,MW,8.83080701896688e-08
SWITCH,CANO_to_BASN,2035,base_52_week_no_ccs,MW,2.4440836909889185e-07
SWITCH,CANO_to_CASO,2035,base_52_week_no_ccs,MW,116.23017718206847
SWITCH,CANO_to_NWPP,2035,base_52_week_no_ccs,MW,1846.0025059780446
SWITCH,TREW_to_TRE,2035,base_52_week_no_ccs,MW,7.271228241734207e-08
SWITCH,TREW_to_SPPS,2035,base_52_week_no_ccs,MW,871.6450745697821
SWITCH,SPPC_to_SPPS,2035,base_52_week_no_ccs,MW,547.0096034773424
SWITCH,SPPC_to_MISS,2035,base_52_week_no_ccs,MW,1.960743247764185e-07
SWITCH,SPPC_to_SPPN,2035,base_52_week_no_ccs,MW,9.10276867216453e-08
SWITCH,SPPC_to_MISW,2035,base_52_week_no_ccs,MW,1000.3864205207841
SWITCH,FRCC_to_SRSE,2035,base_52_week_no_ccs,MW,4098.142878823564
SWITCH,TRE_to_SPPS,2035,base_52_week_no_ccs,MW,4978.148069736326
SWITCH,SRCA_to_PJMW,2035,base_52_week_no_ccs,MW,1.834291651903186e-08
SWITCH,SRCA_to_SRCE,2035,base_52_week_no_ccs,MW,1184.0694028733851
SWITCH,SRCA_to_PJMD,2035,base_52_week_no_ccs,MW,60.02231220676617
SWITCH,SRCA_to_SRSE,2035,base_52_week_no_ccs,MW,2.6376483219792135e-08
SWITCH,NYUP_to_NYCW,2035,base_52_week_no_ccs,MW,4.5080923882778734e-08
SWITCH,PJMW_to_SRCE,2035,base_52_week_no_ccs,MW,642.5924328584633
SWITCH,PJMW_to_PJMD,2035,base_52_week_no_ccs,MW,1.7625188775127754e-07
SWITCH,BASN_to_RMRG,2035,base_52_week_no_ccs,MW,80.5265467331078
SWITCH,BASN_to_CASO,2035,base_52_week_no_ccs,MW,5.107722245156765e-09
SWITCH,BASN_to_NWPP,2035,base_52_week_no_ccs,MW,2.8994691092520952e-08
SWITCH,BASN_to_SRSG,2035,base_52_week_no_ccs,MW,3.5642588045448065e-06
SWITCH,SRCE_to_MISS,2035,base_52_week_no_ccs,MW,7.721155270701274e-09
