model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
TEMOA,BASN,Battery,2027,True,MW,935.8,926.5,9.3,0.0
TEMOA,BASN,Battery,2027,True,MWh,2195.6,2173.6,21.9,0.0
TEMOA,BASN,Battery,2030,False,MW,0.0,74.5,0.0,0.0
TEMOA,BASN,Battery,2030,False,MWh,0.0,315.5,0.0,0.0
TEMOA,BASN,Battery,2030,True,MW,926.5,926.4,0.0,0.0
TEMOA,BASN,Battery,2030,True,MWh,2173.6,2173.6,0.0,0.0
TEMOA,BASN,Battery,2035,False,MW,74.5,173.8,0.0,99.4
TEMOA,BASN,Battery,2035,False,MWh,315.5,742.6,0.0,427.1
TEMOA,BASN,Battery,2035,True,MW,926.4,925.8,0.7,0.0
TEMOA,BASN,Battery,2035,True,MWh,2173.6,2172.1,1.5,0.0
TEMOA,BASN,Battery,2040,False,MW,173.8,2582.8,0.0,2409.0
TEMOA,BASN,Battery,2040,False,MWh,742.6,10435.9,0.0,9693.2
TEMOA,BASN,Battery,2045,False,MW,2582.8,6643.4,0.4,4061.0
TEMOA,BASN,Battery,2045,False,MWh,10435.9,26584.2,2.9,16151.2
TEMOA,BASN,Battery,2050,False,MW,6643.4,11965.4,0.0,5322.0
TEMOA,BASN,Battery,2050,False,MWh,26584.2,50345.4,0.0,23761.3
TEMOA,BASN,Coal,2027,True,MW,3000.2,2970.2,30.0,0.0
TEMOA,BASN,Coal,2030,True,MW,2970.2,2970.2,0.0,0.0
TEMOA,BASN,Coal,2035,True,MW,2970.2,2970.2,0.0,0.0
TEMOA,BASN,Coal,2040,True,MW,2970.2,2070.3,899.9,0.0
TEMOA,BASN,Coal,2045,True,MW,2070.3,1187.2,883.1,0.0
TEMOA,BASN,Coal,2050,True,MW,720.9,720.9,0.0,0.0
TEMOA,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
TEMOA,BASN,Distributed Solar,2030,True,MW,1193.0,1641.8,0.0,448.9
TEMOA,BASN,Distributed Solar,2035,True,MW,1641.8,2007.8,0.0,365.9
TEMOA,BASN,Distributed Solar,2040,True,MW,2007.8,2010.7,0.0,3.0
TEMOA,BASN,Distributed Solar,2045,True,MW,2010.7,2028.6,0.0,17.9
TEMOA,BASN,Distributed Solar,2050,True,MW,2028.6,2056.5,0.0,27.8
TEMOA,BASN,Geothermal,2027,True,MW,462.4,554.7,0.0,92.3
TEMOA,BASN,Geothermal,2030,True,MW,554.7,519.4,35.4,0.0
TEMOA,BASN,Geothermal,2035,True,MW,519.4,496.7,22.7,0.0
TEMOA,BASN,Geothermal,2040,True,MW,496.7,344.8,151.9,0.0
TEMOA,BASN,Geothermal,2045,True,MW,344.8,182.0,162.7,0.0
TEMOA,BASN,Hydro,2027,True,MW,2662.7,2673.7,2.1,13.1
TEMOA,BASN,Hydro,2030,True,MW,2673.7,2669.8,3.9,0.0
TEMOA,BASN,Hydro,2035,True,MW,2669.8,2666.1,3.7,0.0
TEMOA,BASN,Hydro,2040,True,MW,2666.1,1872.0,794.1,0.0
TEMOA,BASN,Hydro,2045,True,MW,1872.0,1742.1,129.9,0.0
TEMOA,BASN,Hydro,2050,True,MW,1742.1,1571.1,171.0,0.0
TEMOA,BASN,Natural Gas CC,2027,True,MW,8312.3,8229.2,83.1,0.0
TEMOA,BASN,Natural Gas CC,2030,True,MW,8229.2,8137.0,92.2,0.0
TEMOA,BASN,Natural Gas CC,2035,True,MW,8137.0,7948.9,188.1,0.0
TEMOA,BASN,Natural Gas CC,2040,False,MW,0.0,33.7,0.0,0.0
TEMOA,BASN,Natural Gas CC,2040,True,MW,7948.9,7521.8,427.1,0.0
TEMOA,BASN,Natural Gas CC,2045,False,MW,33.7,184.8,0.0,151.1
TEMOA,BASN,Natural Gas CC,2045,True,MW,7521.8,7521.8,0.0,0.0
TEMOA,BASN,Natural Gas CC,2050,False,MW,184.8,760.2,0.0,575.4
TEMOA,BASN,Natural Gas CC,2050,True,MW,7521.8,7521.8,0.0,0.0
TEMOA,BASN,Natural Gas CT,2027,True,MW,2183.0,2161.2,21.8,0.0
TEMOA,BASN,Natural Gas CT,2030,True,MW,2161.2,2161.2,0.0,0.0
TEMOA,BASN,Natural Gas CT,2035,True,MW,2161.2,2040.3,120.9,0.0
TEMOA,BASN,Natural Gas CT,2040,True,MW,2040.3,2040.3,0.0,0.0
TEMOA,BASN,Natural Gas CT,2045,True,MW,2040.3,1616.2,424.1,0.0
TEMOA,BASN,Natural Gas CT,2050,True,MW,1616.2,1615.9,0.3,0.0
TEMOA,BASN,Natural Gas Other,2027,True,MW,689.9,683.0,6.9,0.0
TEMOA,BASN,Natural Gas Other,2030,True,MW,683.0,459.3,223.7,0.0
TEMOA,BASN,Natural Gas Other,2035,True,MW,219.2,219.2,0.0,0.0
TEMOA,BASN,Natural Gas Other,2040,True,MW,219.2,219.2,0.0,0.0
TEMOA,BASN,Natural Gas Other,2045,True,MW,219.2,219.2,0.0,0.0
TEMOA,BASN,Natural Gas Other,2050,True,MW,219.2,202.0,17.2,0.0
TEMOA,BASN,Other,2027,True,MW,46.4,45.0,1.4,0.0
TEMOA,BASN,Other,2030,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2035,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2040,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2045,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2050,True,MW,45.0,45.0,0.0,0.0
