model,zone,planning_year,case,unit,value
TEMOA,BASN,2027,base_52_no_ccs,tons,2.6423e+07
TEMOA,BASN,2030,base_52_no_ccs,tons,2.5588e+06
TEMOA,BASN,2035,base_52_no_ccs,tons,3.39239e+06
TEMOA,BASN,2040,base_52_no_ccs,tons,3.55554e+06
TEMOA,BASN,2045,base_52_no_ccs,tons,3.05774e+06
TEMOA,BASN,2050,base_52_no_ccs,tons,2.878e+06
TEMOA,CANO,2027,base_52_no_ccs,tons,2.16601e+07
TEMOA,CANO,2030,base_52_no_ccs,tons,6.20101e+06
TEMOA,CANO,2035,base_52_no_ccs,tons,8.32448e+06
TEMOA,CANO,2040,base_52_no_ccs,tons,8.43577e+06
TEMOA,CANO,2045,base_52_no_ccs,tons,8.83862e+06
TEMOA,CANO,2050,base_52_no_ccs,tons,7.51137e+06
TEMOA,CASO,2027,base_52_no_ccs,tons,2.04292e+07
TEMOA,CASO,2030,base_52_no_ccs,tons,5.60678e+06
TEMOA,CASO,2035,base_52_no_ccs,tons,7.13405e+06
TEMOA,CASO,2040,base_52_no_ccs,tons,8.55625e+06
TEMOA,CASO,2045,base_52_no_ccs,tons,9.81592e+06
TEMOA,CASO,2050,base_52_no_ccs,tons,1.05966e+07
TEMOA,FRCC,2027,base_52_no_ccs,tons,7.50468e+07
TEMOA,FRCC,2030,base_52_no_ccs,tons,2.9001e+07
TEMOA,FRCC,2035,base_52_no_ccs,tons,3.21224e+07
TEMOA,FRCC,2040,base_52_no_ccs,tons,3.00998e+07
TEMOA,FRCC,2045,base_52_no_ccs,tons,2.94406e+07
TEMOA,FRCC,2050,base_52_no_ccs,tons,2.67719e+07
TEMOA,ISNE,2027,base_52_no_ccs,tons,2.88371e+07
TEMOA,ISNE,2030,base_52_no_ccs,tons,8.11738e+06
TEMOA,ISNE,2035,base_52_no_ccs,tons,1.1454e+07
TEMOA,ISNE,2040,base_52_no_ccs,tons,1.24138e+07
TEMOA,ISNE,2045,base_52_no_ccs,tons,1.31899e+07
TEMOA,ISNE,2050,base_52_no_ccs,tons,1.20471e+07
TEMOA,MISC,2027,base_52_no_ccs,tons,3.75828e+07
TEMOA,MISC,2030,base_52_no_ccs,tons,2.78e+06
TEMOA,MISC,2035,base_52_no_ccs,tons,3.49396e+06
TEMOA,MISC,2040,base_52_no_ccs,tons,3.5819e+06
TEMOA,MISC,2045,base_52_no_ccs,tons,3.43488e+06
TEMOA,MISC,2050,base_52_no_ccs,tons,4.7913e+06
TEMOA,MISE,2027,base_52_no_ccs,tons,3.25906e+07
TEMOA,MISE,2030,base_52_no_ccs,tons,4.56496e+06
TEMOA,MISE,2035,base_52_no_ccs,tons,6.85399e+06
TEMOA,MISE,2040,base_52_no_ccs,tons,7.66105e+06
TEMOA,MISE,2045,base_52_no_ccs,tons,9.24687e+06
TEMOA,MISE,2050,base_52_no_ccs,tons,8.19026e+06
TEMOA,MISS,2027,base_52_no_ccs,tons,5.19186e+07
TEMOA,MISS,2030,base_52_no_ccs,tons,1.0823e+07
TEMOA,MISS,2035,base_52_no_ccs,tons,1.16606e+07
TEMOA,MISS,2040,base_52_no_ccs,tons,1.10981e+07
TEMOA,MISS,2045,base_52_no_ccs,tons,1.00098e+07
TEMOA,MISS,2050,base_52_no_ccs,tons,8.05489e+06
TEMOA,MISW,2027,base_52_no_ccs,tons,4.29078e+07
TEMOA,MISW,2030,base_52_no_ccs,tons,4.92888e+06
TEMOA,MISW,2035,base_52_no_ccs,tons,5.52177e+06
TEMOA,MISW,2040,base_52_no_ccs,tons,5.32767e+06
TEMOA,MISW,2045,base_52_no_ccs,tons,5.03994e+06
TEMOA,MISW,2050,base_52_no_ccs,tons,5.73971e+06
TEMOA,NWPP,2027,base_52_no_ccs,tons,1.75107e+07
TEMOA,NWPP,2030,base_52_no_ccs,tons,962647
TEMOA,NWPP,2035,base_52_no_ccs,tons,2.64884e+06
TEMOA,NWPP,2040,base_52_no_ccs,tons,3.0028e+06
TEMOA,NWPP,2045,base_52_no_ccs,tons,3.86509e+06
TEMOA,NWPP,2050,base_52_no_ccs,tons,5.80452e+06
TEMOA,NYCW,2027,base_52_no_ccs,tons,1.01231e+07
TEMOA,NYCW,2030,base_52_no_ccs,tons,3.23849e+06
TEMOA,NYCW,2035,base_52_no_ccs,tons,2.88985e+06
TEMOA,NYCW,2040,base_52_no_ccs,tons,2.53385e+06
TEMOA,NYCW,2045,base_52_no_ccs,tons,2.22417e+06
TEMOA,NYCW,2050,base_52_no_ccs,tons,1.85985e+06
TEMOA,NYUP,2027,base_52_no_ccs,tons,1.54445e+07
TEMOA,NYUP,2030,base_52_no_ccs,tons,4.25614e+06
TEMOA,NYUP,2035,base_52_no_ccs,tons,3.58584e+06
TEMOA,NYUP,2040,base_52_no_ccs,tons,3.109e+06
TEMOA,NYUP,2045,base_52_no_ccs,tons,2.78911e+06
TEMOA,NYUP,2050,base_52_no_ccs,tons,2.58274e+06
TEMOA,PJMC,2027,base_52_no_ccs,tons,1.32453e+07
TEMOA,PJMC,2030,base_52_no_ccs,tons,4.24098e+06
TEMOA,PJMC,2035,base_52_no_ccs,tons,4.64019e+06
TEMOA,PJMC,2040,base_52_no_ccs,tons,4.32389e+06
TEMOA,PJMC,2045,base_52_no_ccs,tons,3.8883e+06
TEMOA,PJMC,2050,base_52_no_ccs,tons,3.07119e+06
TEMOA,PJMD,2027,base_52_no_ccs,tons,1.7303e+07
TEMOA,PJMD,2030,base_52_no_ccs,tons,5.66081e+06
TEMOA,PJMD,2035,base_52_no_ccs,tons,5.81545e+06
TEMOA,PJMD,2040,base_52_no_ccs,tons,4.71165e+06
TEMOA,PJMD,2045,base_52_no_ccs,tons,3.5591e+06
TEMOA,PJMD,2050,base_52_no_ccs,tons,2.56388e+06
TEMOA,PJME,2027,base_52_no_ccs,tons,7.84058e+07
TEMOA,PJME,2030,base_52_no_ccs,tons,3.07024e+07
TEMOA,PJME,2035,base_52_no_ccs,tons,3.87393e+07
TEMOA,PJME,2040,base_52_no_ccs,tons,4.28999e+07
TEMOA,PJME,2045,base_52_no_ccs,tons,4.96368e+07
TEMOA,PJME,2050,base_52_no_ccs,tons,4.86631e+07
TEMOA,PJMW,2027,base_52_no_ccs,tons,9.36387e+07
TEMOA,PJMW,2030,base_52_no_ccs,tons,1.96786e+07
TEMOA,PJMW,2035,base_52_no_ccs,tons,2.13549e+07
