Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,148512.0,17.0,1.0
BASN_conventional_hydroelectric_1,1,4.598431559986159e6,1571.0,0.33505871356422956
BASN_conventional_steam_coal_1,1,35109.70060038054,728.0,0.005520559834570563
BASN_conventional_steam_coal_2,1,23530.71766944057,471.0,0.0057187569676397185
BASN_geothermal_1,1,1.1503941231542754e6,152.0,0.8663441379547693
BASN_natural_gas_fired_combined_cycle_1,1,374883.90933097294,735.0,0.058384401916687374
BASN_natural_gas_fired_combined_cycle_2,1,6.847673680053587e6,6794.0,0.11537318669547608
BASN_natural_gas_fired_combustion_turbine_1,1,143756.66824283876,1383.0,0.011898526806641375
BASN_natural_gas_fired_combustion_turbine_2,1,29827.97789811276,236.0,0.01446768965847184
BASN_natural_gas_internal_combustion_engine_1,1,62242.366636093204,221.0,0.032238972989539934
BASN_onshore_wind_turbine_1,1,666032.5990980227,584.0,0.1305479371883512
BASN_petroleum_liquids_1,1,471.26656456771855,12.0,0.004495445709017462
BASN_small_hydroelectric_1,1,1.39776e6,160.0,1.0
BASN_solar_photovoltaic_1,1,1.4630259169213127e7,7065.0,0.23704305081175078
CANO_biomass_1,2,270816.0,31.0,1.0
CANO_biomass_2,2,314496.0,36.0,1.0
CANO_conventional_hydroelectric_1,2,1.600162214194478e7,6456.0,0.28371863634576483
CANO_hydroelectric_pumped_storage_1,2,5.70222328888183e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.2528368994711293e6,3113.0,0.046068364036991036
CANO_natural_gas_fired_combined_cycle_2,2,1.636591948680163e7,8297.0,0.22579103527094657
CANO_natural_gas_fired_combustion_turbine_1,2,264571.2511005119,2000.0,0.0151425853422912
CANO_natural_gas_fired_combustion_turbine_2,2,116947.00394528722,1114.0,0.012016867813871492
CANO_natural_gas_internal_combustion_engine_1,2,191722.70278083993,444.0,0.04942855873924403
CANO_onshore_wind_turbine_1,2,155233.838424069,115.0,0.15451688010040313
CANO_petroleum_liquids_1,2,1182.9791456208718,170.0,0.0007965545852327569
CANO_small_hydroelectric_1,2,1.755936e6,201.0,1.0
CANO_solar_photovoltaic_1,2,9.449574974077228e6,4662.0,0.23202104611669236
CASO_biomass_1,3,497952.0,57.0,1.0
CASO_conventional_hydroelectric_1,3,2.1519883379460066e6,955.0,0.2579431009370873
CASO_geothermal_1,3,180080.0492744775,24.0,0.8588982814144417
CASO_hydroelectric_pumped_storage_1,3,4.36847588119274e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,552030.0831954749,1987.0,0.031801840350296325
CASO_natural_gas_fired_combined_cycle_2,3,1.4080669758030059e7,7482.0,0.2154234533764744
CASO_natural_gas_fired_combustion_turbine_1,3,186085.90096311562,1409.0,0.015117843702564526
CASO_natural_gas_fired_combustion_turbine_2,3,790808.6982414947,3953.0,0.02289981626607761
CASO_natural_gas_internal_combustion_engine_1,3,41885.14445376102,49.0,0.09784785558645676
CASO_onshore_wind_turbine_1,3,2.3270188394271974e6,888.0,0.29996757223748444
CASO_small_hydroelectric_1,3,585312.0,67.0,1.0
CASO_solar_photovoltaic_1,3,2.3739964471920878e7,10708.0,0.2537809839028734
FRCC_biomass_1,4,279552.0,32.0,1.0
FRCC_biomass_2,4,742560.0,85.0,1.0
FRCC_conventional_hydroelectric_1,4,108370.14552841954,44.0,0.28193198865826763
FRCC_conventional_steam_coal_1,4,37503.52158388376,2549.0,0.0016841842013694483
FRCC_conventional_steam_coal_2,4,702.7403047139333,442.0,0.00018199521424685011
FRCC_natural_gas_fired_combined_cycle_1,4,6.925935477308895e7,28738.0,0.2758730494370422
FRCC_natural_gas_fired_combined_cycle_2,4,754644.9463601887,2336.0,0.03697917383862069
FRCC_natural_gas_fired_combustion_turbine_1,4,185739.38157374453,7162.0,0.0029686367070504978
FRCC_natural_gas_fired_combustion_turbine_2,4,2512.3273129025138,427.0,0.0006734970835645534
FRCC_natural_gas_internal_combustion_engine_1,4,150400.06682756162,251.0,0.06859013890753908
FRCC_nuclear_1,4,2.8820084309189856e7,3737.0,0.88279430686912
FRCC_petroleum_liquids_1,4,578.439267549501,48.0,0.0013794434608456888
FRCC_solar_photovoltaic_1,4,1.6748696100060549e7,9387.0,0.20424035622755193
ISNE_biomass_2,5,340704.0,39.0,1.0
ISNE_conventional_hydroelectric_1,5,1.8358425211813226e6,517.0,0.406473517878691
ISNE_hydroelectric_pumped_storage_1,5,3.6670198002849524e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,759969.4038953983,3166.0,0.027477206157607726
ISNE_natural_gas_fired_combined_cycle_2,5,5.46363831503119e6,10513.0,0.05948981963190339
ISNE_natural_gas_fired_combustion_turbine_1,5,112928.58941860493,1307.0,0.009890441772623052
ISNE_natural_gas_fired_combustion_turbine_2,5,15959.829546320154,390.0,0.004684368116112565
ISNE_natural_gas_internal_combustion_engine_1,5,19176.66382818556,51.0,0.043041782994383306
ISNE_natural_gas_steam_turbine_1,5,3611.154053345968,10.0,0.04133647039086502
ISNE_nuclear_1,5,2.4942471271875106e7,3356.0,0.8507557698268227
ISNE_offshore_wind_turbine_1,5,86800.90852369214,29.0,0.3426207390887178
ISNE_onshore_wind_turbine_1,5,923801.9011238309,549.0,0.1926166750743591
ISNE_petroleum_liquids_1,5,13493.159957029913,763.0,0.0020243075994468757
ISNE_small_hydroelectric_1,5,1.948128e6,223.0,1.0
ISNE_solar_photovoltaic_1,5,3.4689260039563533e6,2242.0,0.17711151677047252
MISC_biomass_1,6,244608.0,28.0,1.0
MISC_biomass_2,6,366912.0,42.0,1.0
MISC_conventional_hydroelectric_1,6,801677.9981837849,280.0,0.32773989329203657
MISC_conventional_steam_coal_1,6,65050.135638728054,836.0,0.008906955933146903
MISC_conventional_steam_coal_2,6,326277.886285639,3842.0,0.009721150219786149
MISC_hydroelectric_pumped_storage_1,6,1.2240920233876137e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,1.149399085643696e6,1584.0,0.08306212636059658
MISC_natural_gas_fired_combined_cycle_2,6,5.710131792921041e6,3192.0,0.20477202453108795
MISC_natural_gas_fired_combustion_turbine_1,6,145164.2614596889,458.0,0.036281196879371036
MISC_natural_gas_fired_combustion_turbine_2,6,1.345453260045725e6,8411.0,0.018310843760951843
MISC_natural_gas_internal_combustion_engine_1,6,17294.796812801284,35.0,0.05656330721088855
MISC_natural_gas_steam_turbine_1,6,4739.474901409899,68.0,0.00797826926680992
MISC_nuclear_1,6,1.7086688527392462e7,2373.0,0.824228332601681
MISC_onshore_wind_turbine_1,6,9.849647155435704e6,4786.0,0.23557833792346553
MISC_petroleum_liquids_1,6,1862.19870986346,66.0,0.0032297541171735556
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,6.992810828038756e6,3786.0,0.21142607367437302
MISE_biomass_1,7,253344.0,29.0,1.0
MISE_biomass_2,7,148512.0,17.0,1.0
MISE_hydroelectric_pumped_storage_1,7,5.106770585047252e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,7.241918417542964e6,6017.0,0.13777200894670083
MISE_natural_gas_fired_combined_cycle_2,7,646137.3848826467,699.0,0.10581203539112762
MISE_natural_gas_fired_combustion_turbine_1,7,41079.7938859154,400.0,0.011755893396839344
MISE_natural_gas_fired_combustion_turbine_2,7,769631.6731221295,3894.0,0.02262425877800782
MISE_natural_gas_internal_combustion_engine_1,7,48830.46979656373,84.0,0.06654248129873612
MISE_nuclear_1,7,8.82670651788215e6,1161.0,0.8702696572798402
MISE_onshore_wind_turbine_1,7,5.142380978298711e6,2177.0,0.27039159910525573
MISE_petroleum_liquids_1,7,870.2972888447999,12.0,0.008301828533699634
MISE_small_hydroelectric_1,7,96096.0,11.0,1.0
MISE_solar_photovoltaic_1,7,2.2473689264497394e6,1178.0,0.2183818073457663
MISS_biomass_2,8,349440.0,40.0,1.0
MISS_conventional_hydroelectric_1,8,1.0471360418702351e6,521.0,0.2300661682481903
MISS_conventional_steam_coal_1,8,72645.45249564323,1574.0,0.0052831273545127806
MISS_conventional_steam_coal_2,8,194359.89826514985,3703.0,0.006008143897568384
MISS_natural_gas_fired_combined_cycle_1,8,3.0399766083784018e7,17522.0,0.19859757469066633
MISS_natural_gas_fired_combined_cycle_2,8,497474.28341575735,2165.0,0.02630268652427889
MISS_natural_gas_fired_combustion_turbine_1,8,632938.7341218796,4051.0,0.017884911916389058
MISS_natural_gas_fired_combustion_turbine_2,8,99731.95978727189,670.0,0.01703911072851264
