region,marginal_price,total_demand
BASN,66.27276855481907,117622650.0
CASO,70.63087596545337,115510879.0
CANO,73.30567627427249,178550343.0
FRCC,68.46667571083339,263664150.0
ISNE,78.06629002631561,149354094.0
MISC,62.77649292859035,200796305.0
MISE,68.66491735193921,108618551.0
MISS,61.75805090596629,185407544.0
MISW,59.96772994396433,244560055.0
NWPP,62.67580148342009,213747716.0
NYCW,92.34054081966333,83015898.0
NYUP,70.75016665544362,74762455.0
PJMC,63.14612298989112,125041636.0
PJMD,76.20747484075346,116835353.0
PJME,80.5030166304449,308414943.0
PJMW,66.51780071314006,328889729.0
RMRG,53.05005114629591,100288099.0
SPPC,56.04658201161501,83557695.0
SPPN,54.0238287061176,54220969.0
SPPS,54.19900082852329,131322851.0
SRCA,69.54139421634645,228687588.0
SRCE,63.178528226188824,225061849.0
SRSE,67.42769184754357,255962582.0
SRSG,63.1593086361198,147664933.0
TRE,56.996627938550844,442846698.0
TREW,51.71817368637324,20819394.0
