Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,786888.3207990095,935.8,0.0
BASN_biomass_1,1,70761.60000000114,8.1,1.0000000000000162
BASN_biomass_2,1,179961.59999999273,20.6,0.9999999999999596
BASN_conventional_hydroelectric_1,1,7.780523242729365e6,2522.6,0.3530594071865684
BASN_conventional_steam_coal_1,1,898.0904551026747,0.34,0.0
BASN_conventional_steam_coal_2,1,892.3116506442083,0.86,0.0
BASN_geothermal_1,1,3.899939845347126e6,497.8,0.8967892438605152
BASN_natural_gas_fired_combined_cycle_1,1,15036.656456721357,60.08,0.028648951231846086
BASN_natural_gas_fired_combined_cycle_2,1,3.9443360636592433e6,7283.0,0.06199418787459347
BASN_natural_gas_fired_combustion_turbine_1,1,1256.5055668106384,10.53,0.013659142016298262
BASN_natural_gas_fired_combustion_turbine_2,1,921.2444612210746,3.26,0.03234779367306971
BASN_natural_gas_internal_combustion_engine_1,1,1043.8614367061982,1.1,0.10862693938417814
BASN_natural_gas_steam_turbine_1,1,916.2634059021904,0.47,0.0
BASN_onshore_wind_turbine_1,1,3.421513892468889e6,2029.5799999999997,0.19297431490030362
BASN_petroleum_liquids_1,1,269.7273546049262,0.65,0.0
BASN_small_hydroelectric_1,1,2.0066592000000705e6,229.7,1.000000000000035
BASN_solar_photovoltaic_1,1,1.890113420056547e7,8005.41,0.27026615365263584
CANO_batteries_1,2,3.5914942039195197e6,2652.6,0.0
CANO_biomass_1,2,1.3829087999999437e6,158.3,0.9999999999999591
CANO_biomass_2,2,647337.6000000266,74.1,1.0000000000000413
CANO_conventional_hydroelectric_1,2,1.914595586771041e7,7519.1,0.2914731586689635
CANO_geothermal_1,2,6.408624583719128e6,782.0,0.9380920446362888
CANO_hydroelectric_pumped_storage_1,2,5.855130058573802e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,3018.315143400946,3.14,0.11003283664786118
CANO_natural_gas_fired_combined_cycle_2,2,2.66329530860797e6,6636.86,0.04593503399523393
CANO_natural_gas_fired_combustion_turbine_1,2,1289.5258059567882,3.77,0.03915399329208775
CANO_natural_gas_fired_combustion_turbine_2,2,1196.0672871815686,2.57,0.05327333237043945
CANO_natural_gas_internal_combustion_engine_1,2,1148.9608817766036,0.95,0.0
CANO_natural_gas_steam_turbine_1,2,949.3914043174002,0.25,0.0
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.362410372050604e6,1473.04,0.1835811876786104
CANO_petroleum_liquids_1,2,285.3721254342548,0.68,0.0
CANO_small_hydroelectric_1,2,2.3517312000000197e6,269.2,1.0000000000000084
CANO_solar_photovoltaic_1,2,1.4927670812282247e7,6327.75,0.2700412511630454
CASO_batteries_1,3,1.1358699051184693e7,8929.3,0.0
CASO_biomass_1,3,1.1985792000000493e6,137.2,1.0000000000000413
CASO_biomass_2,3,207916.80000000657,23.8,1.0000000000000318
CASO_conventional_hydroelectric_1,3,3.1951768320498923e6,1346.4,0.2716490372415143
CASO_conventional_steam_coal_1,3,623.0189694352446,0.21,0.0
CASO_geothermal_1,3,1.4485313788910536e6,178.6,0.9283972121454501
CASO_hydroelectric_pumped_storage_1,3,4.388927743618874e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,3287.5241637907675,4.39,0.08572190385947207
CASO_natural_gas_fired_combined_cycle_2,3,4.239849026221444e6,7479.55,0.06488768756823464
CASO_natural_gas_fired_combustion_turbine_1,3,1100.8980366155683,5.11,0.024661164021014967
CASO_natural_gas_fired_combustion_turbine_2,3,5151.845608916927,143.32,0.004114749628604704
CASO_natural_gas_internal_combustion_engine_1,3,1356.421910432636,1.28,0.12130318424055596
CASO_natural_gas_steam_turbine_1,3,1171.0477793411105,1.64,0.08173689606095262
CASO_onshore_wind_turbine_1,3,1.3592662349918252e7,4527.65,0.3436521427901515
CASO_petroleum_liquids_1,3,206.80690042169948,0.65,0.0
CASO_small_hydroelectric_1,3,934752.0,107.0,1.0
CASO_solar_photovoltaic_1,3,3.154802251687542e7,13795.5,0.26177132497878997
FRCC_batteries_1,4,464152.86138815485,555.2,0.0
FRCC_biomass_1,4,1.1889696000000078e6,136.1,1.0000000000000067
FRCC_biomass_2,4,1.190716799999951e6,136.3,0.9999999999999588
FRCC_conventional_hydroelectric_1,4,110668.51238398721,43.5,0.2912206654035283
FRCC_conventional_steam_coal_1,4,793.4072542007916,0.17,0.0
FRCC_conventional_steam_coal_2,4,323.1743791572953,0.1,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,1.2045869949865554e7,16670.5,0.08271359915423816
FRCC_natural_gas_fired_combined_cycle_2,4,11685.860461604974,68.7,0.0194711379531517
FRCC_natural_gas_fired_combustion_turbine_1,4,73138.93719361526,2563.61,0.0032657584769183825
FRCC_natural_gas_fired_combustion_turbine_2,4,954.7332116004878,6.26,0.017458023418948875
FRCC_natural_gas_internal_combustion_engine_1,4,1981.2934022318489,1.53,0.1482329450543352
FRCC_natural_gas_steam_turbine_1,4,1066.6837020222652,0.87,0.0
FRCC_nuclear_1,4,3.028650317191629e7,3736.56,0.9278217469602843
FRCC_petroleum_liquids_1,4,278.9211881525395,1.42,0.022484360340934994
FRCC_solar_photovoltaic_1,4,1.8207426103355605e7,9457.96,0.22036288913802532
ISNE_batteries_1,5,309204.8542068402,368.3,0.0
ISNE_biomass_1,5,730329.6000000293,83.6,1.0000000000000402
ISNE_biomass_2,5,1.4274624000000276e6,163.4,1.0000000000000193
ISNE_conventional_hydroelectric_1,5,3.9330008184312056e6,1083.4,0.4155493240178463
ISNE_conventional_steam_coal_1,5,1447.7778547593798,3.72,0.04454986210684806
ISNE_conventional_steam_coal_2,5,884.2362570416273,1.15,0.08801523501369916
ISNE_hydroelectric_pumped_storage_1,5,4.455789912127371e6,1830.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,644904.3547160095,3840.83,0.019220186567842728
ISNE_natural_gas_fired_combined_cycle_2,5,5.546857600959936e6,10511.8,0.060402832146004844
ISNE_natural_gas_fired_combustion_turbine_1,5,77612.7211582544,1337.68,0.006641528661057945
ISNE_natural_gas_fired_combustion_turbine_2,5,20226.28953703712,437.16,0.005296185368567832
ISNE_natural_gas_internal_combustion_engine_1,5,20098.047689181232,69.63,0.03304036617868248
ISNE_natural_gas_steam_turbine_1,5,1853.441260999041,1.35,0.15715653074540775
ISNE_nuclear_1,5,2.5644700194615845e7,3355.0,0.8749686172644242
ISNE_offshore_wind_turbine_1,5,97558.72824607039,29.26,0.3816622297113538
ISNE_onshore_wind_turbine_1,5,2.8714524252530206e6,1546.87,0.21248837878753885
ISNE_petroleum_liquids_1,5,60160.9959892915,3302.55,0.002085225324736978
ISNE_small_hydroelectric_1,5,3.4323744000001303e6,392.9,1.0000000000000382
ISNE_solar_photovoltaic_1,5,4.401548187314783e6,2681.7,0.1878809049882209
MISC_batteries_1,6,35216.93838142451,36.3,0.0
MISC_biomass_1,6,364291.19999998534,41.7,0.9999999999999596
MISC_biomass_2,6,362544.0,41.5,1.0
MISC_conventional_hydroelectric_1,6,1.8186665805790077e6,597.5,0.34841957878887303
MISC_conventional_steam_coal_1,6,636.0979735145473,0.15,0.0
MISC_conventional_steam_coal_2,6,878.0215085441528,0.28,0.0
MISC_hydroelectric_pumped_storage_1,6,1.2797089672944294e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,164583.5441319199,1886.65,0.009985790372905473
MISC_natural_gas_fired_combined_cycle_2,6,1.5887601812087023e6,3382.19,0.053770951323345965
MISC_natural_gas_fired_combustion_turbine_1,6,7297.116406545588,112.76,0.007407703342979728
MISC_natural_gas_fired_combustion_turbine_2,6,162912.5489645585,5989.86,0.003113330610014473
MISC_natural_gas_internal_combustion_engine_1,6,4495.408908941154,31.15,0.016519561898225066
MISC_natural_gas_steam_turbine_1,6,1661.2951949390842,0.88,0.0
MISC_nuclear_1,6,1.803988510427406e7,2371.99,0.8705792027095538
MISC_onshore_wind_turbine_1,6,1.3967043847484557e7,6435.89,0.24841811298956276
MISC_petroleum_liquids_1,6,784.1136715344313,29.39,0.0030539844026899804
MISC_small_hydroelectric_1,6,197433.59999999226,22.6,0.9999999999999608
MISC_solar_photovoltaic_1,6,7.868529476625617e6,3921.88,0.22966068167030168
MISE_batteries_1,7,2443.444340218825,1.3,0.0
MISE_biomass_1,7,619382.3999999745,70.9,0.9999999999999588
MISE_biomass_2,7,507561.60000001994,58.1,1.0000000000000393
MISE_conventional_hydroelectric_1,7,88599.33374817026,32.3,0.3139896324102474
MISE_conventional_steam_coal_1,7,628.4531176117413,0.19,0.0
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,5.244443272636307e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,2.3500743931060107e6,6004.44,0.0448019044567355
MISE_natural_gas_fired_combined_cycle_2,7,10313.313770919653,76.24,0.015484697222826277
MISE_natural_gas_fired_combustion_turbine_1,7,3556.2142280953844,79.39,0.005127545087518554
MISE_natural_gas_fired_combustion_turbine_2,7,12807.597311006262,315.32,0.004649470762290274
MISE_natural_gas_internal_combustion_engine_1,7,1975.8263697310963,5.4,0.04188344461680692
MISE_natural_gas_steam_turbine_1,7,1548.011667779985,0.74,0.0
MISE_nuclear_1,7,9.23320102642532e6,1160.79,0.9105126998920221
MISE_onshore_wind_turbine_1,7,8.739156251012316e6,3676.33,0.27210867698747354
MISE_petroleum_liquids_1,7,287.4511332886118,2.95,0.011153967734859525
MISE_small_hydroelectric_1,7,412339.1999999841,47.2,0.9999999999999615
MISE_solar_photovoltaic_1,7,2.3206415724675367e6,1180.77,0.22497286147141185
MISS_batteries_1,8,17193.701105401593,10.5,0.0
MISS_biomass_1,8,160742.4000000066,18.4,1.0000000000000413
MISS_biomass_2,8,1.7969952000000668e6,205.7,1.0000000000000373
MISS_conventional_hydroelectric_1,8,1.228124337849499e6,583.1,0.24109414916859578
MISS_conventional_steam_coal_1,8,543.6289325229193,0.18,0.0
MISS_conventional_steam_coal_2,8,856.0100398115228,0.27,0.0
MISS_natural_gas_fired_combined_cycle_1,8,7.225391466917123e6,18393.7,0.044965523878340186
MISS_natural_gas_fired_combined_cycle_2,8,3409.537440933148,53.14,0.007344483989982979
MISS_natural_gas_fired_combustion_turbine_1,8,3259.7492954138816,86.09,0.004334298992905193
MISS_natural_gas_fired_combustion_turbine_2,8,1997.140948758377,46.56,0.004910018397522381
MISS_natural_gas_internal_combustion_engine_1,8,3974.7862116079414,10.53,0.043208856994231784
MISS_natural_gas_steam_turbine_1,8,1033.7562630027746,0.38,0.0
MISS_natural_gas_steam_turbine_2,8,967.4003874806043,2.47,0.044832884146414675
MISS_nuclear_1,8,4.201964166881861e7,5425.45,0.8865514689506396
MISS_onshore_wind_turbine_1,8,310909.656105946,184.32,0.19308526088787323
MISS_petroleum_liquids_1,8,319.116567947948,0.84,0.0
MISS_small_hydroelectric_1,8,27081.600000000915,3.1,1.0000000000000338
MISS_solar_photovoltaic_1,8,4.47500769386807e6,2207.61,0.23203783693972657
MISW_batteries_1,9,36272.82216651133,31.2,0.0
MISW_biomass_1,9,1.1339327999999537e6,129.8,0.9999999999999591
MISW_biomass_2,9,447283.19999998336,51.2,0.9999999999999627
MISW_conventional_hydroelectric_1,9,538357.1989566789,206.5,0.29842681473709237
MISW_conventional_steam_coal_1,9,885.6011197254253,0.29,0.0
MISW_conventional_steam_coal_2,9,222.96527887969282,0.14,0.0
MISW_natural_gas_fired_combined_cycle_1,9,144719.31968647038,1404.35,0.011796102247457436
MISW_natural_gas_fired_combined_cycle_2,9,2.847490523013794e6,7022.4,0.04641561385783236
MISW_natural_gas_fired_combustion_turbine_1,9,8599.074843731962,597.56,0.0016472426749527679
MISW_natural_gas_fired_combustion_turbine_2,9,259664.28930939655,5796.28,0.005128026310040462
MISW_natural_gas_fired_combustion_turbine_3,9,12279.210881623094,310.4,0.004528309684900515
MISW_natural_gas_internal_combustion_engine_1,9,18305.208416791815,61.47,0.03408778951254367
MISW_natural_gas_steam_turbine_1,9,1322.1599663543552,0.45,0.0
MISW_nuclear_1,9,2.117218771413629e7,2926.98,0.8280057554061949
MISW_onshore_wind_turbine_1,9,6.28776539343898e7,23790.1,0.30254322791143495
MISW_petroleum_liquids_1,9,848.5903525449015,42.69,0.002275408153081477
