region,marginal_price,total_demand
BASN,66.53162059283177,154373402.0
CASO,67.75138679340965,141559023.0
CANO,69.36825812988715,219102255.0
FRCC,66.77442845229446,305390926.0
ISNE,88.79348405660227,185912448.0
MISC,59.43641077150072,243790194.0
MISE,65.59944082173794,126030936.0
MISS,60.792170416286766,223677305.0
MISW,58.71630381568547,294141188.0
NWPP,81.47960244313403,260888430.0
NYCW,86.76495518576198,97972883.0
NYUP,70.87256034423163,85901025.0
PJMC,62.24705405070747,142659266.0
PJMD,72.05000139422017,134294097.0
PJME,77.82595687574927,361596414.0
PJMW,62.80610526337662,381430632.0
RMRG,58.27071182343422,129535560.0
SPPC,58.998320931250824,101870818.0
SPPN,57.5592533074795,67540119.0
SPPS,55.966649481099545,162787259.0
SRCA,66.60021883938644,263347390.0
SRCE,61.26137883193907,264512199.0
SRSE,66.30562628878873,303257618.0
SRSG,64.90690640497155,183293864.0
TRE,57.39177610936423,515960435.0
TREW,53.13606081056143,24676479.0
