Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,824453.3708917145,935.8,0.0
BASN_biomass_2,1,179437.44000000617,20.54,1.0000000000000344
BASN_conventional_hydroelectric_1,1,7.783017070983508e6,2522.6,0.3531725704658962
BASN_geothermal_1,1,3.8388866042176187e6,497.35,0.8835487894028872
BASN_natural_gas_fired_combined_cycle_2,1,4.315693322698881e6,7294.0,0.06772861448384995
BASN_onshore_wind_turbine_1,1,3.394558967383285e6,2030.1,0.19140500978718578
BASN_small_hydroelectric_1,1,2.0044752000000703e6,229.45,1.000000000000035
BASN_solar_photovoltaic_1,1,1.8939706105912313e7,8006.2,0.2707909684142042
CANO_batteries_1,2,3.607863331078306e6,2652.6,0.0
CANO_biomass_1,2,1.3807247999999437e6,158.05,0.9999999999999591
CANO_biomass_2,2,646551.3599999992,74.01,0.9999999999999988
CANO_conventional_hydroelectric_1,2,1.9160628256057803e7,7519.2,0.29169264801853595
CANO_geothermal_1,2,6.350162479489959e6,782.02,0.9295106112631447
CANO_hydroelectric_pumped_storage_1,2,5.936048716857753e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_2,2,2.5140776590938233e6,5449.31,0.05281101916077648
CANO_onshore_wind_turbine_1,2,2.3389538263449552e6,1473.5,0.18170165493506119
CANO_small_hydroelectric_1,2,2.349459839999964e6,268.94,0.9999999999999846
CANO_solar_photovoltaic_1,2,1.4824979987579994e7,6328.3,0.2681602681528882
CASO_batteries_1,3,1.1386342747690432e7,8929.3,0.0
CASO_biomass_1,3,1.198142399999994e6,137.15,0.999999999999995
CASO_biomass_2,3,207742.07999999385,23.78,0.9999999999999705
CASO_conventional_hydroelectric_1,3,3.1822318533720397e6,1346.4,0.2705484749941677
CASO_geothermal_1,3,1.4239965245897593e6,178.77,0.9118043585467314
CASO_hydroelectric_pumped_storage_1,3,4.463389781191837e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_2,3,4.708051971393808e6,7481.6,0.07203343710247112
CASO_onshore_wind_turbine_1,3,1.3623969527589787e7,4528.0,0.34441703210724706
CASO_small_hydroelectric_1,3,934664.6399999756,106.99,0.999999999999974
CASO_solar_photovoltaic_1,3,3.1524996195454314e7,13794.4,0.26160112196825724
FRCC_batteries_1,4,487786.8341982182,555.2,0.0
FRCC_biomass_1,4,1.1872223999999922e6,135.9,0.9999999999999933
FRCC_biomass_2,4,1.1893190400000662e6,136.14,1.0000000000000557
FRCC_conventional_hydroelectric_1,4,111503.09308315183,43.5,0.2934168379309078
FRCC_natural_gas_fired_combined_cycle_1,4,1.1875909738006188e7,16812.6,0.0808573273761523
FRCC_natural_gas_fired_combustion_turbine_1,4,75028.56917150614,2754.14,0.00311837274640576
FRCC_nuclear_1,4,3.0292563842965342e7,3737.0,0.9278981495731399
FRCC_solar_photovoltaic_1,4,1.821631766740226e7,9458.5,0.2204579159688799
ISNE_batteries_1,5,330706.11547833506,368.4,0.0
ISNE_biomass_1,5,728669.7600000248,83.41,1.0000000000000342
ISNE_biomass_2,5,1.4246668800000013e6,163.08,1.0000000000000009
ISNE_conventional_hydroelectric_1,5,3.9123001370156105e6,1083.4,0.4133621507712385
ISNE_hydroelectric_pumped_storage_1,5,4.586373532368106e6,1830.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,709154.2874430673,3842.1,0.021128051330479326
ISNE_natural_gas_fired_combined_cycle_2,5,5.846394305307131e6,10513.3,0.06365557126361304
ISNE_natural_gas_fired_combustion_turbine_1,5,86105.53669432476,1338.4,0.0073643178495827084
ISNE_natural_gas_fired_combustion_turbine_2,5,24365.77262440521,433.8,0.006429512042928096
ISNE_natural_gas_internal_combustion_engine_1,5,24849.988755337057,67.0,0.04245597007294752
ISNE_nuclear_1,5,2.543721434182271e7,3355.5,0.8677601075725105
ISNE_offshore_wind_turbine_1,5,93515.41168268435,29.3,0.36534481179710787
ISNE_onshore_wind_turbine_1,5,2.8722783945177877e6,1547.1,0.21251790204828666
ISNE_petroleum_liquids_1,5,79681.0609861207,3316.46,0.0027502217939476352
ISNE_small_hydroelectric_1,5,3.437266559999922e6,393.46,0.9999999999999774
ISNE_solar_photovoltaic_1,5,4.332167080310173e6,2681.9,0.18490556932491947
MISC_batteries_1,6,42905.30869487395,36.3,0.0
MISC_biomass_1,6,364728.0,41.75,1.0
MISC_biomass_2,6,362631.3599999915,41.51,0.9999999999999765
MISC_conventional_hydroelectric_1,6,1.8222725962649768e6,597.5,0.3491104181542785
MISC_hydroelectric_pumped_storage_1,6,1.2943231740947033e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,180235.33789160923,1893.6,0.0108952970350732
MISC_natural_gas_fired_combined_cycle_2,6,1.8119770787834744e6,3383.5,0.06130189408953878
MISC_natural_gas_fired_combustion_turbine_2,6,262933.8566307194,8766.22,0.0034333772137748837
MISC_nuclear_1,6,1.8047633465612795e7,2373.0,0.8705824311668663
MISC_onshore_wind_turbine_1,6,1.389053759775214e7,6437.0,0.24701476863084604
MISC_small_hydroelectric_1,6,197258.88000001,22.58,1.0000000000000508
MISC_solar_photovoltaic_1,6,7.821007396039139e6,3922.2,0.22825501902687031
MISE_biomass_1,7,618508.7999999997,70.8,0.9999999999999996
MISE_biomass_2,7,507212.15999998624,58.06,0.9999999999999727
MISE_conventional_hydroelectric_1,7,89230.82831048046,32.3,0.3162276034773035
MISE_hydroelectric_pumped_storage_1,7,5.31730898421715e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,2.607865386833974e6,6017.4,0.04960936442957773
MISE_nuclear_1,7,9.235685892012252e6,1161.0,0.9105930031436297
MISE_onshore_wind_turbine_1,7,8.766862692132343e6,3676.9,0.2729290481989832
MISE_small_hydroelectric_1,7,412426.5600000162,47.21,1.000000000000039
MISE_solar_photovoltaic_1,7,2.3261352975067664e6,1181.0,0.22546152930274663
MISS_batteries_1,8,19112.61809150423,10.5,0.0
MISS_biomass_1,8,160480.3200000018,18.37,1.0000000000000113
MISS_biomass_2,8,1.7971699199999038e6,205.72,0.9999999999999465
MISS_conventional_hydroelectric_1,8,1.2303702155782084e6,583.1,0.24153503936468787
MISS_natural_gas_fired_combined_cycle_1,8,7.188267123092358e6,17881.8,0.0460150977574547
MISS_nuclear_1,8,4.208511660107057e7,5426.0,0.8878428876454671
MISS_onshore_wind_turbine_1,8,307540.0031729283,184.5,0.19080625984800043
MISS_solar_photovoltaic_1,8,4.491893636991108e6,2207.9,0.23288281350663062
MISW_batteries_1,9,43603.401099547,31.2,0.0
MISW_biomass_1,9,1.1342822399999925e6,129.84,0.9999999999999933
MISW_biomass_2,9,447807.35999998444,51.26,0.9999999999999653
MISW_conventional_hydroelectric_1,9,545584.6362983751,206.5,0.3024331902602102
MISW_natural_gas_fired_combined_cycle_1,9,136711.5860156495,1110.1,0.014097126394873335
MISW_natural_gas_fired_combined_cycle_2,9,3.0169910729724155e6,7024.6,0.04916316121001244
