model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
SWITCH,BASN,Battery,2027,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2027,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Battery,2035,False,MWh,0.0,0.0,0.0,0.0
SWITCH,BASN,Battery,2035,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2035,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2040,False,MW,0.0,4022.9,0.0,4022.9
SWITCH,BASN,Battery,2040,False,MWh,0.0,15069.5,0.0,15069.5
SWITCH,BASN,Battery,2040,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2040,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2045,False,MW,4022.9,8523.3,0.0,4500.4
SWITCH,BASN,Battery,2045,False,MWh,15069.5,35731.5,0.0,20662.0
SWITCH,BASN,Battery,2045,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2045,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2050,False,MW,8523.3,11154.6,0.0,2631.3
SWITCH,BASN,Battery,2050,False,MWh,35731.5,48739.2,0.0,13007.7
SWITCH,BASN,Battery,2050,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2050,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Coal,2027,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
SWITCH,BASN,Distributed Solar,2030,True,MW,1193.0,1642.0,0.0,449.0
SWITCH,BASN,Distributed Solar,2035,True,MW,1642.0,2008.0,0.0,366.0
SWITCH,BASN,Distributed Solar,2040,True,MW,2008.0,2011.0,0.0,3.0
SWITCH,BASN,Distributed Solar,2045,True,MW,2011.0,2029.0,0.0,18.0
SWITCH,BASN,Distributed Solar,2050,True,MW,2029.0,2057.0,0.0,28.0
SWITCH,BASN,Geothermal,2027,True,MW,462.4,497.4,0.0,35.0
SWITCH,BASN,Geothermal,2030,True,MW,497.4,497.4,0.0,0.0
SWITCH,BASN,Geothermal,2035,True,MW,497.4,497.4,0.0,0.0
SWITCH,BASN,Geothermal,2040,True,MW,497.4,497.4,0.0,0.0
SWITCH,BASN,Geothermal,2045,True,MW,497.4,497.4,0.0,0.0
SWITCH,BASN,Geothermal,2050,True,MW,497.4,497.4,0.0,0.0
SWITCH,BASN,Hydro,2027,True,MW,2662.7,2752.0,0.0,89.3
SWITCH,BASN,Hydro,2030,True,MW,2752.0,2752.0,0.0,0.0
SWITCH,BASN,Hydro,2035,True,MW,2752.0,2752.0,0.0,0.0
SWITCH,BASN,Hydro,2040,True,MW,2752.0,2752.0,0.0,0.0
SWITCH,BASN,Hydro,2045,True,MW,2752.0,2752.0,0.0,0.0
SWITCH,BASN,Hydro,2050,True,MW,2752.0,2752.0,0.0,0.0
SWITCH,BASN,Hydrogen,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Hydrogen,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Hydrogen,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Hydrogen,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Natural Gas CC,2027,True,MW,8312.3,7697.2,615.1,0.0
SWITCH,BASN,Natural Gas CC,2030,True,MW,7294.0,7294.0,0.0,0.0
SWITCH,BASN,Natural Gas CC,2035,False,MW,0.0,351.3,0.0,0.0
SWITCH,BASN,Natural Gas CC,2035,True,MW,7294.0,7294.0,0.0,0.0
SWITCH,BASN,Natural Gas CC,2040,False,MW,351.3,357.0,0.0,5.7
SWITCH,BASN,Natural Gas CC,2040,True,MW,7294.0,7294.0,0.0,0.0
SWITCH,BASN,Natural Gas CC,2045,False,MW,357.0,1231.8,0.0,874.8
SWITCH,BASN,Natural Gas CC,2045,True,MW,7294.0,7294.0,0.0,0.0
SWITCH,BASN,Natural Gas CC,2050,False,MW,1231.8,1231.8,0.0,0.0
SWITCH,BASN,Natural Gas CC,2050,True,MW,7294.0,7294.0,0.0,0.0
SWITCH,BASN,Natural Gas CT,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Natural Gas CT,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Natural Gas CT,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Natural Gas CT,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Nuclear,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Nuclear,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Nuclear,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Nuclear,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Other,2027,True,MW,28.7,28.6,0.1,0.0
SWITCH,BASN,Other,2030,True,MW,28.6,28.6,0.0,0.0
SWITCH,BASN,Other,2035,True,MW,28.6,28.6,0.0,0.0
SWITCH,BASN,Other,2040,True,MW,28.6,28.6,0.0,0.0
SWITCH,BASN,Other,2045,True,MW,28.6,28.6,0.0,0.0
SWITCH,BASN,Other,2050,True,MW,28.6,28.6,0.0,0.0
SWITCH,BASN,Solar,2027,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2030,False,MW,0.0,4597.5,0.0,0.0
SWITCH,BASN,Solar,2030,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2035,False,MW,4597.5,11355.5,0.0,6758.0
SWITCH,BASN,Solar,2035,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2040,False,MW,11355.5,17350.3,0.0,5994.8
SWITCH,BASN,Solar,2040,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2045,False,MW,17350.3,25668.5,0.0,8318.2
SWITCH,BASN,Solar,2045,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2050,False,MW,25668.5,30602.8,0.0,4934.3
SWITCH,BASN,Solar,2050,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Wind,2027,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2030,False,MW,0.0,17564.7,0.0,0.0
SWITCH,BASN,Wind,2030,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2035,False,MW,17564.7,24601.8,0.0,6737.7
SWITCH,BASN,Wind,2035,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2040,False,MW,24601.8,28126.4,0.0,3524.6
SWITCH,BASN,Wind,2040,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2045,False,MW,28126.4,32577.1,0.0,4450.8
SWITCH,BASN,Wind,2045,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2050,False,MW,32577.1,33370.8,0.0,793.6
SWITCH,BASN,Wind,2050,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,CANO,Battery,2027,True,MW,2650.6,2652.6,0.0,2.0
SWITCH,CANO,Battery,2027,True,MWh,10570.7,10574.7,0.0,4.0
SWITCH,CANO,Battery,2030,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2030,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Battery,2035,False,MWh,0.0,0.0,0.0,0.0
SWITCH,CANO,Battery,2035,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2035,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Battery,2040,False,MWh,0.0,0.0,0.0,0.0
SWITCH,CANO,Battery,2040,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2040,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Battery,2045,False,MWh,0.0,0.0,0.0,0.0
SWITCH,CANO,Battery,2045,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2045,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2050,False,MW,0.0,2315.8,0.0,2315.8
SWITCH,CANO,Battery,2050,False,MWh,0.0,11307.8,0.0,11307.8
SWITCH,CANO,Battery,2050,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2050,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,CCS,2030,False,MW,0.0,3473.4,0.0,0.0
SWITCH,CANO,CCS,2035,False,MW,3473.4,6633.1,0.0,3159.7
SWITCH,CANO,CCS,2040,False,MW,6633.1,9250.2,0.0,2617.1
SWITCH,CANO,CCS,2045,False,MW,9250.2,11835.9,0.0,2585.7
SWITCH,CANO,CCS,2050,False,MW,11835.9,12250.6,0.0,414.7
SWITCH,CANO,Distributed Solar,2027,True,MW,4470.0,4478.0,0.0,8.0
SWITCH,CANO,Distributed Solar,2030,True,MW,4478.0,5329.0,0.0,851.0
SWITCH,CANO,Distributed Solar,2035,True,MW,5329.0,6167.0,0.0,838.0
SWITCH,CANO,Distributed Solar,2040,True,MW,6167.0,6426.0,0.0,259.0
SWITCH,CANO,Distributed Solar,2045,True,MW,6426.0,6500.0,0.0,74.0
SWITCH,CANO,Distributed Solar,2050,True,MW,6500.0,6562.0,0.0,62.0
SWITCH,CANO,Geothermal,2027,True,MW,0.0,782.0,0.0,782.0
SWITCH,CANO,Geothermal,2030,True,MW,782.0,782.0,0.0,0.0
SWITCH,CANO,Geothermal,2035,True,MW,782.0,782.0,0.0,0.0
SWITCH,CANO,Geothermal,2040,True,MW,782.0,782.0,0.0,0.0
SWITCH,CANO,Geothermal,2045,True,MW,782.0,782.0,0.0,0.0
SWITCH,CANO,Geothermal,2050,True,MW,782.0,782.0,0.0,0.0
SWITCH,CANO,Hydro,2027,True,MW,9703.8,10065.0,0.0,361.2
SWITCH,CANO,Hydro,2027,True,MWh,35292.0,35291.9,0.1,0.0
SWITCH,CANO,Hydro,2030,True,MW,10065.0,10065.0,0.0,0.0
SWITCH,CANO,Hydro,2030,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2035,True,MW,10065.0,10065.0,0.0,0.0
SWITCH,CANO,Hydro,2035,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2040,True,MW,10065.0,10065.0,0.0,0.0
SWITCH,CANO,Hydro,2040,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2045,True,MW,10065.0,10065.0,0.0,0.0
SWITCH,CANO,Hydro,2045,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2050,True,MW,10065.0,10065.0,0.0,0.0
SWITCH,CANO,Hydro,2050,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydrogen,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Hydrogen,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Hydrogen,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Hydrogen,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CC,2027,True,MW,8296.9,8296.9,0.0,0.0
SWITCH,CANO,Natural Gas CC,2030,True,MW,8296.9,5449.3,2847.6,0.0
SWITCH,CANO,Natural Gas CC,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CC,2035,True,MW,5449.3,5449.3,0.0,0.0
SWITCH,CANO,Natural Gas CC,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CC,2040,True,MW,5449.3,5449.3,0.0,0.0
SWITCH,CANO,Natural Gas CC,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CC,2045,True,MW,5449.3,5449.3,0.0,0.0
SWITCH,CANO,Natural Gas CC,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CC,2050,True,MW,5449.3,5449.3,0.0,0.0
SWITCH,CANO,Natural Gas CT,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CT,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CT,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Natural Gas CT,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Nuclear,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Nuclear,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Nuclear,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Other,2027,True,MW,227.7,232.1,0.0,4.4
SWITCH,CANO,Other,2030,True,MW,232.1,232.1,0.0,0.0
SWITCH,CANO,Other,2035,True,MW,232.1,232.1,0.0,0.0
SWITCH,CANO,Other,2040,True,MW,232.1,232.1,0.0,0.0
SWITCH,CANO,Other,2045,True,MW,232.1,232.1,0.0,0.0
SWITCH,CANO,Other,2050,True,MW,232.1,232.1,0.0,0.0
SWITCH,CANO,Solar,2027,True,MW,6328.2,6328.3,0.0,0.1
SWITCH,CANO,Solar,2030,False,MW,0.0,7718.4,0.0,0.0
SWITCH,CANO,Solar,2030,True,MW,6328.3,6328.3,0.0,0.0
SWITCH,CANO,Solar,2035,False,MW,7718.4,12653.1,0.0,4934.7
SWITCH,CANO,Solar,2035,True,MW,6328.3,6328.3,0.0,0.0
SWITCH,CANO,Solar,2040,False,MW,12653.1,16690.3,0.0,4037.2
SWITCH,CANO,Solar,2040,True,MW,6328.3,6328.3,0.0,0.0
SWITCH,CANO,Solar,2045,False,MW,16690.3,22644.1,0.0,5953.8
SWITCH,CANO,Solar,2045,True,MW,6328.3,6328.3,0.0,0.0
SWITCH,CANO,Solar,2050,False,MW,22644.1,28665.9,0.0,6021.8
SWITCH,CANO,Solar,2050,True,MW,6328.3,6328.3,0.0,0.0
SWITCH,CANO,Wind,2027,True,MW,1442.0,1473.5,0.0,31.5
SWITCH,CANO,Wind,2030,True,MW,1473.5,1473.5,0.0,0.0
SWITCH,CANO,Wind,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Wind,2035,True,MW,1473.5,1473.5,0.0,0.0
SWITCH,CANO,Wind,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Wind,2040,True,MW,1473.5,1473.5,0.0,0.0
SWITCH,CANO,Wind,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Wind,2045,True,MW,1473.5,1473.5,0.0,0.0
SWITCH,CANO,Wind,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CANO,Wind,2050,True,MW,1473.5,1473.5,0.0,0.0
SWITCH,CASO,Battery,2027,True,MW,8927.8,8929.3,0.0,1.5
SWITCH,CASO,Battery,2027,True,MWh,33569.2,33575.2,0.0,6.0
SWITCH,CASO,Battery,2030,True,MW,8929.3,8929.3,0.0,0.0
SWITCH,CASO,Battery,2030,True,MWh,33575.2,33575.2,0.0,0.0
SWITCH,CASO,Battery,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Battery,2035,False,MWh,0.0,0.0,0.0,0.0
SWITCH,CASO,Battery,2035,True,MW,8929.3,8929.3,0.0,0.0
SWITCH,CASO,Battery,2035,True,MWh,33575.2,33575.2,0.0,0.0
SWITCH,CASO,Battery,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Battery,2040,False,MWh,0.0,0.0,0.0,0.0
SWITCH,CASO,Battery,2040,True,MW,8929.3,8929.3,0.0,0.0
SWITCH,CASO,Battery,2040,True,MWh,33575.2,33575.2,0.0,0.0
SWITCH,CASO,Battery,2045,False,MW,0.0,2936.7,0.0,2936.7
SWITCH,CASO,Battery,2045,False,MWh,0.0,14683.4,0.0,14683.4
SWITCH,CASO,Battery,2045,True,MW,8929.3,8929.3,0.0,0.0
SWITCH,CASO,Battery,2045,True,MWh,33575.2,33575.2,0.0,0.0
SWITCH,CASO,Battery,2050,False,MW,2936.7,7798.6,0.0,4861.9
SWITCH,CASO,Battery,2050,False,MWh,14683.4,39715.7,0.0,25032.3
SWITCH,CASO,Battery,2050,True,MW,8929.3,8929.3,0.0,0.0
SWITCH,CASO,Battery,2050,True,MWh,33575.2,33575.2,0.0,0.0
SWITCH,CASO,CCS,2030,False,MW,0.0,2503.0,0.0,0.0
SWITCH,CASO,CCS,2035,False,MW,2503.0,12402.0,0.0,9899.0
SWITCH,CASO,CCS,2040,False,MW,12402.0,15871.4,0.0,3469.4
SWITCH,CASO,CCS,2045,False,MW,15871.4,19325.8,0.0,3454.4
SWITCH,CASO,CCS,2050,False,MW,19325.8,19325.8,0.0,0.0
SWITCH,CASO,Distributed Solar,2027,True,MW,6944.0,6969.0,0.0,25.0
SWITCH,CASO,Distributed Solar,2030,True,MW,6969.0,8292.0,0.0,1323.0
SWITCH,CASO,Distributed Solar,2035,True,MW,8292.0,9596.0,0.0,1304.0
SWITCH,CASO,Distributed Solar,2040,True,MW,9596.0,9999.0,0.0,403.0
SWITCH,CASO,Distributed Solar,2045,True,MW,9999.0,10115.0,0.0,116.0
SWITCH,CASO,Distributed Solar,2050,True,MW,10115.0,10210.0,0.0,95.0
SWITCH,CASO,Geothermal,2027,True,MW,23.6,178.8,0.0,155.2
SWITCH,CASO,Geothermal,2030,True,MW,178.8,178.8,0.0,0.0
SWITCH,CASO,Geothermal,2035,True,MW,178.8,178.8,0.0,0.0
SWITCH,CASO,Geothermal,2040,True,MW,178.8,178.8,0.0,0.0
SWITCH,CASO,Geothermal,2045,True,MW,178.8,178.8,0.0,0.0
SWITCH,CASO,Geothermal,2050,True,MW,178.8,178.8,0.0,0.0
SWITCH,CASO,Hydro,2027,True,MW,2706.2,3118.4,0.0,412.2
SWITCH,CASO,Hydro,2027,True,MWh,25807.5,25807.5,0.0,0.0
SWITCH,CASO,Hydro,2030,True,MW,3118.4,3118.4,0.0,0.0
SWITCH,CASO,Hydro,2030,True,MWh,25807.5,25807.5,0.0,0.0
SWITCH,CASO,Hydro,2035,True,MW,3118.4,3118.4,0.0,0.0
SWITCH,CASO,Hydro,2035,True,MWh,25807.5,25807.5,0.0,0.0
SWITCH,CASO,Hydro,2040,True,MW,3118.4,3118.4,0.0,0.0
SWITCH,CASO,Hydro,2040,True,MWh,25807.5,25807.5,0.0,0.0
SWITCH,CASO,Hydro,2045,True,MW,3118.4,3118.4,0.0,0.0
SWITCH,CASO,Hydro,2045,True,MWh,25807.5,25807.5,0.0,0.0
SWITCH,CASO,Hydro,2050,True,MW,3118.4,3118.4,0.0,0.0
SWITCH,CASO,Hydro,2050,True,MWh,25807.5,25807.5,0.0,0.0
SWITCH,CASO,Hydrogen,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Hydrogen,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Hydrogen,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Hydrogen,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CC,2027,True,MW,7481.6,7481.6,0.0,0.0
SWITCH,CASO,Natural Gas CC,2030,True,MW,7481.6,7481.6,0.0,0.0
SWITCH,CASO,Natural Gas CC,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CC,2035,True,MW,7481.6,7481.6,0.0,0.0
SWITCH,CASO,Natural Gas CC,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CC,2040,True,MW,7481.6,7481.6,0.0,0.0
SWITCH,CASO,Natural Gas CC,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CC,2045,True,MW,7481.6,7481.6,0.0,0.0
SWITCH,CASO,Natural Gas CC,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CC,2050,True,MW,7481.6,7481.6,0.0,0.0
SWITCH,CASO,Natural Gas CT,2027,True,MW,4573.4,3697.4,875.9,0.0
SWITCH,CASO,Natural Gas CT,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CT,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CT,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Natural Gas CT,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Nuclear,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Nuclear,2040,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Nuclear,2045,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Nuclear,2050,False,MW,0.0,0.0,0.0,0.0
SWITCH,CASO,Other,2027,True,MW,141.1,160.9,0.0,19.9
SWITCH,CASO,Other,2030,True,MW,160.9,160.9,0.0,0.0
SWITCH,CASO,Other,2035,True,MW,160.9,160.9,0.0,0.0
SWITCH,CASO,Other,2040,True,MW,160.9,160.9,0.0,0.0
SWITCH,CASO,Other,2045,True,MW,160.9,160.9,0.0,0.0
SWITCH,CASO,Other,2050,True,MW,160.9,160.9,0.0,0.0
SWITCH,CASO,Solar,2027,True,MW,13797.3,13797.4,0.0,0.1
SWITCH,CASO,Solar,2030,False,MW,0.0,11636.6,0.0,0.0
SWITCH,CASO,Solar,2030,True,MW,13797.4,13797.4,0.0,0.0
SWITCH,CASO,Solar,2035,False,MW,11636.6,15959.9,0.0,4323.4
SWITCH,CASO,Solar,2035,True,MW,13797.4,13797.4,0.0,0.0
SWITCH,CASO,Solar,2040,False,MW,15959.9,20048.6,0.0,4088.7
SWITCH,CASO,Solar,2040,True,MW,13797.4,13797.4,0.0,0.0
SWITCH,CASO,Solar,2045,False,MW,20048.6,27241.7,0.0,7193.0
SWITCH,CASO,Solar,2045,True,MW,13797.4,13797.4,0.0,0.0
SWITCH,CASO,Solar,2050,False,MW,27241.7,35774.0,0.0,8532.3
SWITCH,CASO,Solar,2050,True,MW,13797.4,13794.4,3.0,0.0
SWITCH,CASO,Wind,2027,True,MW,4055.5,4528.0,0.0,472.5
SWITCH,CASO,Wind,2030,False,MW,0.0,910.9,0.0,0.0
SWITCH,CASO,Wind,2030,True,MW,4528.0,4528.0,0.0,0.0
SWITCH,CASO,Wind,2035,False,MW,910.9,910.9,0.0,0.0
SWITCH,CASO,Wind,2035,True,MW,4528.0,4528.0,0.0,0.0
SWITCH,CASO,Wind,2040,False,MW,910.9,910.9,0.0,0.0
SWITCH,CASO,Wind,2040,True,MW,4528.0,4528.0,0.0,0.0
SWITCH,CASO,Wind,2045,False,MW,910.9,910.9,0.0,0.0
SWITCH,CASO,Wind,2045,True,MW,4528.0,4528.0,0.0,0.0
SWITCH,CASO,Wind,2050,False,MW,910.9,1788.2,0.0,877.3
SWITCH,CASO,Wind,2050,True,MW,4528.0,4528.0,0.0,0.0
SWITCH,FRCC,Battery,2027,True,MW,555.2,555.2,0.0,0.0
SWITCH,FRCC,Battery,2027,True,MWh,1129.4,1129.4,0.0,0.0
SWITCH,FRCC,Battery,2030,True,MW,555.2,555.2,0.0,0.0
SWITCH,FRCC,Battery,2030,True,MWh,1129.4,1129.4,0.0,0.0
SWITCH,FRCC,Battery,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,FRCC,Battery,2035,False,MWh,0.0,0.0,0.0,0.0
SWITCH,FRCC,Battery,2035,True,MW,555.2,555.2,0.0,0.0
SWITCH,FRCC,Battery,2035,True,MWh,1129.4,1129.4,0.0,0.0
SWITCH,FRCC,Battery,2040,False,MW,0.0,3505.8,0.0,3505.8
SWITCH,FRCC,Battery,2040,False,MWh,0.0,9577.8,0.0,9577.8
SWITCH,FRCC,Battery,2040,True,MW,555.2,555.2,0.0,0.0
SWITCH,FRCC,Battery,2040,True,MWh,1129.4,1129.4,0.0,0.0
SWITCH,FRCC,Battery,2045,False,MW,3505.8,7379.5,0.0,3873.7
SWITCH,FRCC,Battery,2045,False,MWh,9577.8,21006.5,0.0,11428.7
SWITCH,FRCC,Battery,2045,True,MW,555.2,555.2,0.0,0.0
SWITCH,FRCC,Battery,2045,True,MWh,1129.4,1129.4,0.0,0.0
SWITCH,FRCC,Battery,2050,False,MW,7379.5,12711.7,0.0,5332.2
SWITCH,FRCC,Battery,2050,False,MWh,21006.5,42995.6,0.0,21989.1
SWITCH,FRCC,Battery,2050,True,MW,555.2,555.2,0.0,0.0
SWITCH,FRCC,Battery,2050,True,MWh,1129.4,1129.4,0.0,0.0
SWITCH,FRCC,CCS,2030,False,MW,0.0,15204.7,0.0,0.0
SWITCH,FRCC,CCS,2035,False,MW,15204.7,21176.0,0.0,5971.3
SWITCH,FRCC,CCS,2040,False,MW,21176.0,24128.4,0.0,2952.4
SWITCH,FRCC,CCS,2045,False,MW,24128.4,27474.1,0.0,3345.7
SWITCH,FRCC,CCS,2050,False,MW,27474.1,28412.5,0.0,938.4
SWITCH,FRCC,Distributed Solar,2027,True,MW,2945.0,2946.0,0.0,1.0
SWITCH,FRCC,Distributed Solar,2030,True,MW,2946.0,5592.0,0.0,2646.0
SWITCH,FRCC,Distributed Solar,2035,True,MW,5592.0,7155.0,0.0,1563.0
SWITCH,FRCC,Distributed Solar,2040,True,MW,7155.0,7445.0,0.0,290.0
