Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,73481.51089012162,56.89,0.0
BASN_biomass_1,1,0.0,0.0,0.0
BASN_biomass_2,1,167207.03999999617,19.14,0.9999999999999771
BASN_conventional_hydroelectric_1,1,7.451306940502298e6,2488.29,0.3427826516556618
BASN_conventional_steam_coal_1,1,0.0,0.0,0.0
BASN_conventional_steam_coal_2,1,0.0,0.0,0.0
BASN_geothermal_1,1,4.373417813016991e6,554.7,0.9025061671244989
BASN_natural_gas_fired_combined_cycle_1,1,7269.607018095895,10.81,0.07697906202556198
BASN_natural_gas_fired_combined_cycle_2,1,6.917912805684833e6,7293.17,0.10857907101594493
BASN_natural_gas_fired_combustion_turbine_1,1,2220.8268389941654,46.16,0.005507268770399477
BASN_natural_gas_fired_combustion_turbine_2,1,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,1,0.0,0.0,0.0
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,3.202676065340853e6,2029.8599999999997,0.18060688543110276
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.6268179199999191e6,186.22,0.9999999999999503
BASN_solar_photovoltaic_1,1,1.8776773504010927e7,8006.15,0.26846311165706266
CANO_batteries_1,2,3.728095124746941e6,2649.12,0.0
CANO_biomass_1,2,0.0,0.0,0.0
CANO_biomass_2,2,608899.1999999987,69.7,0.9999999999999977
CANO_conventional_hydroelectric_1,2,1.4760384368079264e7,5772.84,0.29268166755669844
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,24569.342608586256,559.93,0.005022814903918985
CANO_natural_gas_fired_combined_cycle_2,2,6.138399567857072e6,8293.52,0.08472345013803154
CANO_natural_gas_fired_combustion_turbine_1,2,1276.8454707572582,22.7,0.006438724719814803
CANO_natural_gas_fired_combustion_turbine_2,2,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,2,0.0,0.0,0.0
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,2.2868896921772636e6,1441.81,0.1815618328552877
CANO_petroleum_liquids_1,2,0.0,0.0,0.0
CANO_small_hydroelectric_1,2,2.0994355200000526e6,240.32,1.000000000000025
CANO_solar_photovoltaic_1,2,1.5138121057918854e7,6328.16,0.27383054911572663
CASO_batteries_1,3,1.2219904553239446e7,8926.56,0.0
CASO_biomass_1,3,890285.7600000259,101.91,1.000000000000029
CASO_biomass_2,3,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,3,1.8640609300815384e6,799.65,0.26683791404640667
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,183127.48131942566,23.58,0.8889904512161936
CASO_hydroelectric_pumped_storage_1,3,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_2,3,9.357761156081418e6,7480.95,0.14318666660083124
CASO_natural_gas_fired_combustion_turbine_1,3,1419.1347523062348,10.75,0.015111324988353297
CASO_natural_gas_fired_combustion_turbine_2,3,3565.6113317923337,64.9,0.006288928817990507
CASO_natural_gas_internal_combustion_engine_1,3,0.0,0.0,0.0
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.198195968875856e7,4055.44,0.33820283857828026
CASO_petroleum_liquids_1,3,0.0,0.0,0.0
CASO_small_hydroelectric_1,3,575527.6800000175,65.88,1.0000000000000304
CASO_solar_photovoltaic_1,3,3.142495599653969e7,13797.1,0.26071993599437066
FRCC_batteries_1,4,652573.7590829335,553.16,0.0
FRCC_biomass_1,4,0.0,0.0,0.0
FRCC_biomass_2,4,1.00464e6,115.0,1.0
FRCC_conventional_hydroelectric_1,4,72675.5654214425,28.27,0.2942727077617685
FRCC_conventional_steam_coal_1,4,0.0,0.0,0.0
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,1.469903233888175e7,15700.9,0.10716465556897446
FRCC_natural_gas_fired_combined_cycle_2,4,28421.424786023224,151.9,0.021417828978560354
FRCC_natural_gas_fired_combustion_turbine_1,4,106045.04724686296,2823.91,0.004298598801270396
FRCC_natural_gas_fired_combustion_turbine_2,4,0.0,0.0,0.0
FRCC_natural_gas_internal_combustion_engine_1,4,0.0,0.0,0.0
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,3.033914243697175e7,3736.92,0.9293448036670021
FRCC_petroleum_liquids_1,4,0.0,0.0,0.0
FRCC_solar_photovoltaic_1,4,1.8519108049614865e7,9458.5,0.22412235231967237
ISNE_batteries_1,5,361634.4657898677,367.75,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_biomass_2,5,1.9172899199998945e6,219.47,0.999999999999945
ISNE_conventional_hydroelectric_1,5,3.177912382027519e6,875.68,0.4154166153757472
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,27718.25886815613,328.8,0.009649871100036083
ISNE_hydroelectric_pumped_storage_1,5,4.332245273446781e6,1828.2,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,733216.9091746779,3366.05,0.024934420761009466
ISNE_natural_gas_fired_combined_cycle_2,5,7.484284924472103e6,10513.0,0.0814912581247753
ISNE_natural_gas_fired_combustion_turbine_1,5,100793.66782885835,1338.37,0.00862073768989243
ISNE_natural_gas_fired_combustion_turbine_2,5,20276.322849440417,437.7,0.00530273623984358
ISNE_natural_gas_internal_combustion_engine_1,5,29549.79147798019,63.44,0.05331858568373457
ISNE_natural_gas_steam_turbine_1,5,7488.130573329089,41.07,0.020870655069967565
ISNE_nuclear_1,5,2.5987604160339862e7,3355.45,0.8865492075579855
ISNE_offshore_wind_turbine_1,5,93473.17605121506,29.17,0.3668072787412014
ISNE_onshore_wind_turbine_1,5,2.8972290872771144e6,1542.01,0.21507157782814373
ISNE_petroleum_liquids_1,5,29329.58294087763,1038.61,0.0032325165890831407
ISNE_small_hydroelectric_1,5,2.363612160000039e6,270.56,1.0000000000000164
ISNE_solar_photovoltaic_1,5,4.691689482661116e6,2681.81,0.2002574259625895
MISC_batteries_1,6,40486.68351592344,33.63,0.0
MISC_biomass_1,6,302352.9600000044,34.61,1.0000000000000147
MISC_biomass_2,6,300693.11999998824,34.42,0.9999999999999608
MISC_conventional_hydroelectric_1,6,1.2446053992213786e6,417.95,0.3408746662535924
MISC_conventional_steam_coal_1,6,0.0,0.0,0.0
MISC_conventional_steam_coal_2,6,0.0,0.0,0.0
MISC_hydroelectric_pumped_storage_1,6,210991.08316422135,73.77,0.0
MISC_natural_gas_fired_combined_cycle_1,6,10174.736134567354,67.04,0.01737306819203831
MISC_natural_gas_fired_combined_cycle_2,6,2.414496655730884e6,3192.3,0.08657854538902517
MISC_natural_gas_fired_combustion_turbine_1,6,2071.3190162136198,18.39,0.012892960072797091
MISC_natural_gas_fired_combustion_turbine_2,6,81750.51341730212,4559.66,0.0020523215416555717
MISC_natural_gas_internal_combustion_engine_1,6,7019.615873643851,18.45,0.04355162374328605
MISC_natural_gas_steam_turbine_1,6,0.0,0.0,0.0
MISC_nuclear_1,6,0.0,0.0,0.0
MISC_onshore_wind_turbine_1,6,1.3923325408952706e7,6436.81,0.24760514124128322
MISC_petroleum_liquids_1,6,552.1456721532584,13.79,0.004583284127105252
MISC_small_hydroelectric_1,6,125012.16000000469,14.31,1.0000000000000375
MISC_solar_photovoltaic_1,6,7.799428941094261e6,3922.15,0.22762815659591246
MISE_batteries_1,7,0.0,0.0,0.0
MISE_biomass_1,7,519005.7600000225,59.41,1.0000000000000433
MISE_biomass_2,7,0.0,0.0,0.0
MISE_conventional_hydroelectric_1,7,72973.68128468879,26.32,0.31737136902625956
MISE_conventional_steam_coal_1,7,0.0,0.0,0.0
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,35097.23797020032,13.02,0.0
MISE_natural_gas_fired_combined_cycle_1,7,972476.2613697622,5195.7,0.02142507330329375
MISE_natural_gas_fired_combined_cycle_2,7,9130.59008824069,38.74,0.02697904696261179
MISE_natural_gas_fired_combustion_turbine_1,7,0.0,0.0,0.0
MISE_natural_gas_fired_combustion_turbine_2,7,2212.238560559033,31.72,0.007983368094622566
MISE_natural_gas_internal_combustion_engine_1,7,7239.442926223814,13.33,0.06216735267456814
MISE_natural_gas_steam_turbine_1,7,0.0,0.0,0.0
MISE_nuclear_1,7,0.0,0.0,0.0
MISE_onshore_wind_turbine_1,7,8.86356660897854e6,3676.77,0.27594938080813247
MISE_petroleum_liquids_1,7,535.8666944823002,14.74,0.004161468929720002
MISE_small_hydroelectric_1,7,111383.99999998168,12.75,0.9999999999998355
MISE_solar_photovoltaic_1,7,2.3774570712461625e6,1180.94,0.23044761907380598
MISS_batteries_1,8,0.0,0.0,0.0
MISS_biomass_1,8,0.0,0.0,0.0
