model,line,line_name,planning_year,case,unit,value
TEMOA,4,BASN_to_RMRG,2027,base_52_retire,MW,12.6163
TEMOA,9,CASO_to_SRSG,2027,base_52_retire,MW,11.4247
TEMOA,11,ISNE_to_NYCW,2027,base_52_retire,MW,15.1446
TEMOA,12,ISNE_to_NYUP,2027,base_52_retire,MW,594.209
TEMOA,16,MISC_to_PJMC,2027,base_52_retire,MW,12.0557
TEMOA,18,MISC_to_SPPC,2027,base_52_retire,MW,58.0599
TEMOA,19,MISC_to_SPPN,2027,base_52_retire,MW,19.294
TEMOA,20,MISC_to_SPPS,2027,base_52_retire,MW,47.1043
TEMOA,24,MISS_to_SPPC,2027,base_52_retire,MW,45.7194
TEMOA,25,MISS_to_SPPS,2027,base_52_retire,MW,902.165
TEMOA,27,MISS_to_SRSE,2027,base_52_retire,MW,29.0121
TEMOA,29,MISW_to_PJMC,2027,base_52_retire,MW,10.2657
TEMOA,32,NWPP_to_RMRG,2027,base_52_retire,MW,13.9178
TEMOA,34,NYCW_to_PJME,2027,base_52_retire,MW,1751.84
TEMOA,35,NYUP_to_PJME,2027,base_52_retire,MW,27.538
TEMOA,36,PJMC_to_PJMW,2027,base_52_retire,MW,10.7775
TEMOA,37,PJMD_to_PJME,2027,base_52_retire,MW,1254.89
TEMOA,38,PJMD_to_PJMW,2027,base_52_retire,MW,11.9071
TEMOA,39,PJMD_to_SRCA,2027,base_52_retire,MW,61.8467
TEMOA,41,PJMW_to_SRCA,2027,base_52_retire,MW,12.799
TEMOA,43,RMRG_to_SPPC,2027,base_52_retire,MW,1080.4
TEMOA,44,RMRG_to_SPPN,2027,base_52_retire,MW,3247.94
TEMOA,45,RMRG_to_SRSG,2027,base_52_retire,MW,26.5449
TEMOA,46,SPPC_to_SPPN,2027,base_52_retire,MW,1229.46
TEMOA,47,SPPC_to_SPPS,2027,base_52_retire,MW,49.0789
TEMOA,48,SPPN_to_SPPS,2027,base_52_retire,MW,1308.76
TEMOA,49,SPPS_to_SRSG,2027,base_52_retire,MW,3266.89
TEMOA,50,SPPS_to_TRE,2027,base_52_retire,MW,422.002
TEMOA,52,SRCA_to_SRCE,2027,base_52_retire,MW,10.1275
TEMOA,54,SRCE_to_SRSE,2027,base_52_retire,MW,22.1602
TEMOA,56,NWPP_to_SPPN,2027,base_52_retire,MW,17.6393
TEMOA,57,SRSG_to_TRE,2027,base_52_retire,MW,18.4831
TEMOA,4,BASN_to_RMRG,2030,base_52_retire,MW,22.6826
TEMOA,9,CASO_to_SRSG,2030,base_52_retire,MW,2260.13
TEMOA,11,ISNE_to_NYCW,2030,base_52_retire,MW,428.322
TEMOA,12,ISNE_to_NYUP,2030,base_52_retire,MW,3768.99
TEMOA,13,MISC_to_MISE,2030,base_52_retire,MW,2137.42
TEMOA,17,MISC_to_PJMW,2030,base_52_retire,MW,1187.66
TEMOA,18,MISC_to_SPPC,2030,base_52_retire,MW,4602.68
TEMOA,19,MISC_to_SPPN,2030,base_52_retire,MW,2701.58
TEMOA,20,MISC_to_SPPS,2030,base_52_retire,MW,4546.25
TEMOA,22,MISE_to_MISW,2030,base_52_retire,MW,1319.44
