model,line_name,planning_year,case,unit,value
USENSYS,BASN_to_CASO,2027,full-base-200-retire,MW,-1
USENSYS,ISNE_to_NYUP,2027,full-base-200-retire,MW,207
USENSYS,MISS_to_SPPS,2027,full-base-200-retire,MW,1630
USENSYS,PJMD_to_PJME,2027,full-base-200-retire,MW,405
USENSYS,PJMD_to_PJMW,2027,full-base-200-retire,MW,-1
USENSYS,RMRG_to_SPPC,2027,full-base-200-retire,MW,1082
USENSYS,RMRG_to_SPPN,2027,full-base-200-retire,MW,2278
USENSYS,SPPC_to_SPPN,2027,full-base-200-retire,MW,1535
USENSYS,SPPS_to_SRSG,2027,full-base-200-retire,MW,1793
USENSYS,SPPS_to_TRE,2027,full-base-200-retire,MW,1075
USENSYS,SPPS_to_TREW,2027,full-base-200-retire,MW,3372
USENSYS,TRE_to_TREW,2027,full-base-200-retire,MW,-1
USENSYS,SPPN_to_SPPS,2027,full-base-200-retire,MW,806
USENSYS,CASO_to_SRSG,2030,full-base-200-retire,MW,1446
USENSYS,ISNE_to_NYCW,2030,full-base-200-retire,MW,92
USENSYS,ISNE_to_NYUP,2030,full-base-200-retire,MW,3361
USENSYS,MISC_to_SPPC,2030,full-base-200-retire,MW,4784
USENSYS,MISC_to_SPPS,2030,full-base-200-retire,MW,4290
USENSYS,MISS_to_SPPS,2030,full-base-200-retire,MW,13642
USENSYS,MISS_to_SRSE,2030,full-base-200-retire,MW,8315
USENSYS,MISW_to_PJMC,2030,full-base-200-retire,MW,6062
USENSYS,NWPP_to_RMRG,2030,full-base-200-retire,MW,3307
USENSYS,NYCW_to_NYUP,2030,full-base-200-retire,MW,1732
USENSYS,NYCW_to_PJME,2030,full-base-200-retire,MW,4383
USENSYS,NYUP_to_PJME,2030,full-base-200-retire,MW,4370
USENSYS,PJMC_to_PJMW,2030,full-base-200-retire,MW,8650
USENSYS,PJMD_to_PJME,2030,full-base-200-retire,MW,2832
USENSYS,PJME_to_PJMW,2030,full-base-200-retire,MW,2642
USENSYS,RMRG_to_SPPC,2030,full-base-200-retire,MW,5366
USENSYS,RMRG_to_SPPN,2030,full-base-200-retire,MW,838
USENSYS,RMRG_to_SRSG,2030,full-base-200-retire,MW,119
USENSYS,SPPN_to_SPPS,2030,full-base-200-retire,MW,4627
USENSYS,SPPS_to_SRSG,2030,full-base-200-retire,MW,3946
USENSYS,SPPS_to_TRE,2030,full-base-200-retire,MW,6141
USENSYS,SPPS_to_TREW,2030,full-base-200-retire,MW,2567
USENSYS,MISC_to_MISE,2030,full-base-200-retire,MW,2693
USENSYS,MISC_to_SPPN,2030,full-base-200-retire,MW,1463
USENSYS,MISE_to_MISW,2030,full-base-200-retire,MW,732
USENSYS,MISS_to_SPPC,2030,full-base-200-retire,MW,4861
USENSYS,NWPP_to_SPPN,2030,full-base-200-retire,MW,1035
USENSYS,SRSG_to_TRE,2030,full-base-200-retire,MW,1837
USENSYS,BASN_to_CASO,2035,full-base-200-retire,MW,-1
