region,marginal_price,total_demand
BASN,41.11054631529406,104415840.0
CASO,43.47196907783604,106247405.0
CANO,44.819122472838615,164112380.0
FRCC,41.96817950283511,254835658.0
ISNE,52.981754398096925,132079030.0
MISC,41.83086365565384,186790489.0
MISE,44.99829652862074,102056388.0
MISS,40.34592554436607,175440371.0
MISW,39.501722739184004,225553160.0
NWPP,41.56068216210063,195981047.0
NYCW,60.14188937392033,76993625.0
NYUP,34.79812087175644,70257166.0
PJMC,40.824168239445164,118765758.0
PJMD,44.56055791188384,110841999.0
PJME,39.25273229745431,289082184.0
PJMW,42.6251993731967,310165370.0
RMRG,37.65872693428588,88883482.0
SPPC,39.284938727103466,78239307.0
SPPN,37.29940178071077,49626459.0
SPPS,36.874178909513724,122178131.0
SRCA,45.66998640805869,218636717.0
SRCE,41.731188206371,214888614.0
SRSE,42.90645597863531,242597067.0
SRSG,41.17370634486894,137828950.0
TRE,36.94423069898488,426645124.0
TREW,32.967596411292796,19988250.0
