Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,144668.1600000026,16.56,1.000000000000018
BASN_conventional_hydroelectric_1,1,5.085657179249071e6,1697.6,0.3429249542804957
BASN_conventional_steam_coal_1,1,23497.852289357394,728.2,0.003693727642158539
BASN_conventional_steam_coal_2,1,65185.26978510252,1363.0,0.005474456208655368
BASN_geothermal_1,1,2.2748699781581443e6,287.09,0.9070388491904048
BASN_natural_gas_fired_combined_cycle_1,1,484653.83785503014,735.2,0.0754594320997585
BASN_natural_gas_fired_combined_cycle_2,1,8.1549190152729275e6,6794.0,0.13739833963995327
BASN_natural_gas_fired_combustion_turbine_1,1,117157.97752055891,1824.7,0.007349668795005824
BASN_natural_gas_fired_combustion_turbine_2,1,27920.358349729315,236.2,0.01353095561328236
BASN_natural_gas_internal_combustion_engine_1,1,119964.15326326895,221.4,0.06202421138669927
BASN_onshore_wind_turbine_1,1,2.2139678147326126e6,1454.0,0.17429874946565027
BASN_petroleum_liquids_1,1,389.74909031685473,13.6,0.0032804511614958278
BASN_small_hydroelectric_1,1,1.4147078400000178e6,161.94,1.0000000000000124
BASN_solar_photovoltaic_1,1,1.8623579999525886e7,7934.0,0.26869423429427575
CANO_biomass_1,2,267933.11999998864,30.67,0.9999999999999575
CANO_biomass_2,2,322969.92000000755,36.97,1.0000000000000233
CANO_conventional_hydroelectric_1,2,1.7519937507458568e7,6903.7,0.29049456842624244
CANO_hydroelectric_pumped_storage_1,2,5.87843291924932e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,580255.8459353598,3112.8,0.02133809682139585
CANO_natural_gas_fired_combined_cycle_2,2,7.3060939512055e6,8296.9,0.10079912717970964
CANO_natural_gas_fired_combustion_turbine_1,2,5228.0402533080105,1999.7,0.00029926880591772887
CANO_natural_gas_fired_combustion_turbine_2,2,28739.929280219778,1502.8,0.00218913166730252
CANO_natural_gas_internal_combustion_engine_1,2,210152.26922254846,444.4,0.05413116926971247
CANO_onshore_wind_turbine_1,2,1.0474000286503563e6,698.0,0.17176889960496045
CANO_petroleum_liquids_1,2,377.136118398023,169.6,0.00025454211806142047
CANO_small_hydroelectric_1,2,1.8606806399999473e6,212.99,0.9999999999999717
CANO_solar_photovoltaic_1,2,1.4811673251698459e7,6287.3,0.2696666960389636
CASO_batteries_1,3,133584.49579487107,84.0,0.0
CASO_biomass_1,3,665333.7600000242,76.16,1.0000000000000364
CASO_conventional_hydroelectric_1,3,2.1952992305675885e6,955.0,0.263134460829784
CASO_geothermal_1,3,182808.67802757677,23.67,0.8840685166400915
CASO_hydroelectric_pumped_storage_1,3,4.3506867225057725e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,546211.3930377678,1986.9,0.03146821577381343
CASO_natural_gas_fired_combined_cycle_2,3,8.272331475918809e6,7481.6,0.12656709668499674
CASO_natural_gas_fired_combustion_turbine_1,3,61171.01930907666,1461.5,0.004791089373050283
CASO_natural_gas_fired_combustion_turbine_2,3,459656.4726784717,3953.4,0.013309140100487752
CASO_natural_gas_internal_combustion_engine_1,3,40024.90067889943,50.2,0.09126703050184662
CASO_onshore_wind_turbine_1,3,9.974859814164298e6,3464.4,0.32958401921357106
CASO_small_hydroelectric_1,3,588631.6800000181,67.38,1.0000000000000309
CASO_solar_photovoltaic_1,3,3.1262663197711404e7,13756.9,0.2601313927203501
FRCC_biomass_1,4,283046.40000000456,32.4,1.0000000000000162
FRCC_biomass_2,4,802314.2399999747,91.84,0.9999999999999686
FRCC_conventional_hydroelectric_1,4,109331.76449691097,43.5,0.28770305591583245
FRCC_conventional_steam_coal_1,4,801.8540307971173,2549.0,3.600914883292581e-5
FRCC_conventional_steam_coal_2,4,394.21469063221843,442.0,0.00010209345699912839
FRCC_natural_gas_fired_combined_cycle_1,4,2.0159627446688652e7,28738.2,0.08029903271387225
FRCC_natural_gas_fired_combined_cycle_2,4,4239.042684055905,2335.7,0.00020774859891207212
FRCC_natural_gas_fired_combustion_turbine_1,4,31657.305325014342,7768.4,0.0004664764678310242
FRCC_natural_gas_fired_combustion_turbine_2,4,798.0879617254197,887.7,0.0001029133972344028
FRCC_natural_gas_internal_combustion_engine_1,4,166566.2212382657,250.9,0.07599300998012726
FRCC_nuclear_1,4,2.9835271267733723e7,3737.0,0.9138907206684553
FRCC_petroleum_liquids_1,4,352.6625979233545,149.7,0.00026966524465548504
FRCC_solar_photovoltaic_1,4,1.7786093740383185e7,9409.8,0.21636527384199894
