Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,148512.0,17.0,1.0
BASN_conventional_hydroelectric_1,1,5.146196142487033e6,1698.0,0.34692534085073107
BASN_conventional_steam_coal_1,1,11961.88858610718,728.0,0.0018808568727400542
BASN_conventional_steam_coal_2,1,21517.15094377353,1363.0,0.0018070754476441021
BASN_geothermal_1,1,2.300027787181038e6,287.0,0.9173573834336184
BASN_natural_gas_fired_combined_cycle_1,1,386359.59184080764,735.0,0.06017162415601524
BASN_natural_gas_fired_combined_cycle_2,1,6.965659498916492e6,6794.0,0.11736107346448783
BASN_natural_gas_fired_combustion_turbine_1,1,61966.024878013784,1825.0,0.003886674248457887
BASN_natural_gas_fired_combustion_turbine_2,1,12693.848436022863,236.0,0.006156993289031391
BASN_natural_gas_internal_combustion_engine_1,1,88497.53825148946,221.0,0.04583806656985474
BASN_onshore_wind_turbine_1,1,2.2490479983213115e6,1454.0,0.17706050240977522
BASN_petroleum_liquids_1,1,383.3270602878769,14.0,0.003134215236524373
BASN_small_hydroelectric_1,1,1.415232e6,162.0,1.0
BASN_solar_photovoltaic_1,1,1.8720206770312455e7,7934.0,0.2700883301764577
CANO_biomass_1,2,270816.0,31.0,1.0
CANO_biomass_2,2,323232.0,37.0,1.0
CANO_conventional_hydroelectric_1,2,1.7506200960570175e7,6904.0,0.2902541925145151
CANO_hydroelectric_pumped_storage_1,2,5.846308966491371e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,458270.0777724724,3113.0,0.01685115818267688
CANO_natural_gas_fired_combined_cycle_2,2,7.916162036968749e6,8297.0,0.10921466546020801
CANO_natural_gas_fired_combustion_turbine_1,2,7659.250091381499,2000.0,0.0004383728303217433
CANO_natural_gas_fired_combustion_turbine_2,2,9607.876920071005,1503.0,0.0007317383639368855
CANO_natural_gas_internal_combustion_engine_1,2,215816.65668882598,444.0,0.05564028744287539
CANO_onshore_wind_turbine_1,2,1.0604219465472216e6,698.0,0.17390443564344318
CANO_petroleum_liquids_1,2,496.01413863622463,170.0,0.00033398926594229735
CANO_small_hydroelectric_1,2,1.860768e6,213.0,1.0
CANO_solar_photovoltaic_1,2,1.4998743207075743e7,6287.0,0.2730855898479489
CASO_batteries_1,3,134087.44005653454,84.0,0.0
CASO_biomass_1,3,663936.0,76.0,1.0
CASO_biomass_2,3,87360.0,10.0,1.0
CASO_conventional_hydroelectric_1,3,2.2109671864338536e6,955.0,0.26501246409319723
CASO_geothermal_1,3,187434.61190985225,24.0,0.8939761328117953
CASO_hydroelectric_pumped_storage_1,3,4.2920086155012995e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,308456.52323216735,1987.0,0.01776983792269759
CASO_natural_gas_fired_combined_cycle_2,3,7.0920207788511515e6,7482.0,0.10850248133449386
CASO_natural_gas_fired_combustion_turbine_1,3,21169.163709359367,1462.0,0.001657462470291287
CASO_natural_gas_fired_combustion_turbine_2,3,185311.6869447822,3953.0,0.005366156938370584
CASO_natural_gas_internal_combustion_engine_1,3,39264.48244781791,50.0,0.08989121439518752
CASO_onshore_wind_turbine_1,3,1.0022633654732114e7,3464.0,0.3312007775532939
CASO_small_hydroelectric_1,3,585312.0,67.0,1.0
CASO_solar_photovoltaic_1,3,3.1310004456687897e7,13757.0,0.2605234176544413
FRCC_biomass_1,4,279552.0,32.0,1.0
FRCC_biomass_2,4,803712.0,92.0,1.0
FRCC_conventional_hydroelectric_1,4,111342.90752761751,44.0,0.28966582253063994
FRCC_conventional_steam_coal_1,4,1010.3656107684642,2549.0,4.537285373207407e-5
FRCC_conventional_steam_coal_2,4,530.2854333414418,442.0,0.00013733296696600582
FRCC_natural_gas_fired_combined_cycle_1,4,2.0220219684228208e7,28738.0,0.08054094183884002
FRCC_natural_gas_fired_combined_cycle_2,4,6144.221267039313,2336.0,0.00030107963676517026
FRCC_natural_gas_fired_combustion_turbine_1,4,31545.692009946404,7768.0,0.0004648557599463305
FRCC_natural_gas_fired_combustion_turbine_2,4,1074.298285338398,888.0,0.00013848390182830472
FRCC_natural_gas_internal_combustion_engine_1,4,169185.0043274358,251.0,0.07715703318932868
FRCC_nuclear_1,4,2.9828631983241137e7,3737.0,0.9136873512928193
FRCC_petroleum_liquids_1,4,472.4802132498784,150.0,0.0003605618232981367
FRCC_solar_photovoltaic_1,4,1.7779509630142335e7,9410.0,0.21628058216531706
ISNE_biomass_2,5,471744.0,54.0,1.0
ISNE_conventional_hydroelectric_1,5,1.7287785121329413e6,517.0,0.3827684974894213
ISNE_hydroelectric_pumped_storage_1,5,3.6504513211362446e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,287060.1008174958,3166.0,0.010378851476593965
ISNE_natural_gas_fired_combined_cycle_2,5,3.57466741902896e6,10513.0,0.03892210789594707
ISNE_natural_gas_fired_combustion_turbine_1,5,42422.226863717544,1338.0,0.003629315498752096
ISNE_natural_gas_fired_combustion_turbine_2,5,3332.5255762294437,390.0,0.0009781292782677761
ISNE_natural_gas_internal_combustion_engine_1,5,13828.615689861459,55.0,0.028780835185359347
ISNE_natural_gas_steam_turbine_1,5,2300.5908943846725,17.0,0.015490942781624868
ISNE_nuclear_1,5,2.2218705962129317e7,3356.0,0.7578516214101704
ISNE_offshore_wind_turbine_1,5,78008.82308031191,29.0,0.3079165998812362
ISNE_onshore_wind_turbine_1,5,1.8524371356716421e6,1241.0,0.17086734522182814
ISNE_petroleum_liquids_1,5,4565.069454002434,822.0,0.0006357157136510434
ISNE_small_hydroelectric_1,5,1.983072e6,227.0,1.0
ISNE_solar_photovoltaic_1,5,3.9594363297972954e6,2679.0,0.16917961202264456
MISC_biomass_1,6,314496.0,36.0,1.0
MISC_biomass_2,6,366912.0,42.0,1.0
MISC_conventional_hydroelectric_1,6,839058.8369466818,280.0,0.3430218295994742
MISC_conventional_steam_coal_1,6,925.1455209994676,1067.0,9.925056912583417e-5
MISC_conventional_steam_coal_2,6,24522.162959078298,6873.0,0.00040841323268531095
MISC_hydroelectric_pumped_storage_1,6,1.3576118093623882e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,801874.7801587577,1584.0,0.057948040107950335
MISC_natural_gas_fired_combined_cycle_2,6,3.4843871168075074e6,3192.0,0.12495420947083206
MISC_natural_gas_fired_combustion_turbine_1,6,123946.39592687078,458.0,0.030978172918683815
MISC_natural_gas_fired_combustion_turbine_2,6,509276.1132628291,8900.0,0.0065501413917205455
MISC_natural_gas_internal_combustion_engine_1,6,21049.07137436596,36.0,0.06692953606521534
MISC_natural_gas_steam_turbine_1,6,1547.2912611865027,98.0,0.0018073129966389404
MISC_nuclear_1,6,1.7760627769554883e7,2373.0,0.8567378394585455
MISC_onshore_wind_turbine_1,6,1.1702335616141409e7,5587.0,0.2397624967985066
MISC_petroleum_liquids_1,6,1261.347800609796,208.0,0.0006941588963274184
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,7.574638829164507e6,3922.0,0.22107605954518872
MISE_biomass_1,7,270816.0,31.0,1.0
MISE_biomass_2,7,410592.0,47.0,1.0
MISE_hydroelectric_pumped_storage_1,7,5.127799434235144e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,3.411450325018799e6,6017.0,0.06490025675533331
MISE_natural_gas_fired_combined_cycle_2,7,172561.10026099483,699.0,0.028258759940449144
MISE_natural_gas_fired_combustion_turbine_1,7,2666.9856860584873,421.0,0.0007251468480708562
MISE_natural_gas_fired_combustion_turbine_2,7,107012.88592414325,3972.0,0.003083998875949851
MISE_natural_gas_internal_combustion_engine_1,7,45598.23991802424,91.0,0.057358008188956956
