model,zone,planning_year,case,unit,value
USENSYS,BASN,2027,full-base-200-tx-0,tons,25552575
USENSYS,BASN,2030,full-base-200-tx-0,tons,3345183
USENSYS,BASN,2035,full-base-200-tx-0,tons,2878088
USENSYS,BASN,2040,full-base-200-tx-0,tons,2842733
USENSYS,BASN,2045,full-base-200-tx-0,tons,2675880
USENSYS,BASN,2050,full-base-200-tx-0,tons,2339574
USENSYS,CANO,2027,full-base-200-tx-0,tons,19755796
USENSYS,CANO,2030,full-base-200-tx-0,tons,3932147
USENSYS,CANO,2035,full-base-200-tx-0,tons,2134197
USENSYS,CANO,2040,full-base-200-tx-0,tons,3640099
USENSYS,CANO,2045,full-base-200-tx-0,tons,3623427
USENSYS,CANO,2050,full-base-200-tx-0,tons,3339263
USENSYS,CASO,2027,full-base-200-tx-0,tons,20218352
USENSYS,CASO,2030,full-base-200-tx-0,tons,6792798
USENSYS,CASO,2035,full-base-200-tx-0,tons,3964681
USENSYS,CASO,2040,full-base-200-tx-0,tons,4462900
USENSYS,CASO,2045,full-base-200-tx-0,tons,4955269
USENSYS,CASO,2050,full-base-200-tx-0,tons,4593687
USENSYS,FRCC,2027,full-base-200-tx-0,tons,75354801
USENSYS,FRCC,2030,full-base-200-tx-0,tons,9611561
USENSYS,FRCC,2035,full-base-200-tx-0,tons,8003242
USENSYS,FRCC,2040,full-base-200-tx-0,tons,9276020
USENSYS,FRCC,2045,full-base-200-tx-0,tons,10713135
USENSYS,FRCC,2050,full-base-200-tx-0,tons,10451499
USENSYS,ISNE,2027,full-base-200-tx-0,tons,30972914
USENSYS,ISNE,2030,full-base-200-tx-0,tons,11588796
USENSYS,ISNE,2035,full-base-200-tx-0,tons,12951827
USENSYS,ISNE,2040,full-base-200-tx-0,tons,14694222
USENSYS,ISNE,2045,full-base-200-tx-0,tons,15854901
USENSYS,ISNE,2050,full-base-200-tx-0,tons,15628222
USENSYS,MISC,2027,full-base-200-tx-0,tons,37834973
USENSYS,MISC,2030,full-base-200-tx-0,tons,3683283
USENSYS,MISC,2035,full-base-200-tx-0,tons,3047085
USENSYS,MISC,2040,full-base-200-tx-0,tons,3197233
USENSYS,MISC,2045,full-base-200-tx-0,tons,3277261
USENSYS,MISC,2050,full-base-200-tx-0,tons,2801334
USENSYS,MISE,2027,full-base-200-tx-0,tons,32771203
USENSYS,MISE,2030,full-base-200-tx-0,tons,2475236
USENSYS,MISE,2035,full-base-200-tx-0,tons,1824081
USENSYS,MISE,2040,full-base-200-tx-0,tons,2166416
USENSYS,MISE,2045,full-base-200-tx-0,tons,2378829
USENSYS,MISE,2050,full-base-200-tx-0,tons,2316493
USENSYS,MISS,2027,full-base-200-tx-0,tons,52319154
USENSYS,MISS,2030,full-base-200-tx-0,tons,8293083
USENSYS,MISS,2035,full-base-200-tx-0,tons,5559724
USENSYS,MISS,2040,full-base-200-tx-0,tons,5990260
USENSYS,MISS,2045,full-base-200-tx-0,tons,6686157
USENSYS,MISS,2050,full-base-200-tx-0,tons,5632262
USENSYS,MISW,2027,full-base-200-tx-0,tons,45202420
USENSYS,MISW,2030,full-base-200-tx-0,tons,7448660
USENSYS,MISW,2035,full-base-200-tx-0,tons,5491826
USENSYS,MISW,2040,full-base-200-tx-0,tons,5314440
USENSYS,MISW,2045,full-base-200-tx-0,tons,4617830
USENSYS,MISW,2050,full-base-200-tx-0,tons,3747332
USENSYS,NWPP,2027,full-base-200-tx-0,tons,16319910
USENSYS,NWPP,2030,full-base-200-tx-0,tons,1273752
USENSYS,NWPP,2035,full-base-200-tx-0,tons,1652200
USENSYS,NWPP,2040,full-base-200-tx-0,tons,1662309
USENSYS,NWPP,2045,full-base-200-tx-0,tons,1973165
USENSYS,NWPP,2050,full-base-200-tx-0,tons,1939017
USENSYS,NYCW,2027,full-base-200-tx-0,tons,18995492
USENSYS,NYCW,2030,full-base-200-tx-0,tons,18838140
USENSYS,NYCW,2035,full-base-200-tx-0,tons,24729409
USENSYS,NYCW,2040,full-base-200-tx-0,tons,27519672
USENSYS,NYCW,2045,full-base-200-tx-0,tons,30643413
USENSYS,NYCW,2050,full-base-200-tx-0,tons,32169573
USENSYS,NYUP,2027,full-base-200-tx-0,tons,11055103
USENSYS,NYUP,2030,full-base-200-tx-0,tons,2192630
USENSYS,NYUP,2035,full-base-200-tx-0,tons,1470214
USENSYS,NYUP,2040,full-base-200-tx-0,tons,1549249
USENSYS,NYUP,2045,full-base-200-tx-0,tons,1738878
USENSYS,NYUP,2050,full-base-200-tx-0,tons,2079414
USENSYS,PJMC,2027,full-base-200-tx-0,tons,13426274
USENSYS,PJMC,2030,full-base-200-tx-0,tons,4976252
USENSYS,PJMC,2035,full-base-200-tx-0,tons,3349039
USENSYS,PJMC,2040,full-base-200-tx-0,tons,3288269
USENSYS,PJMC,2045,full-base-200-tx-0,tons,2874780
USENSYS,PJMC,2050,full-base-200-tx-0,tons,2312106
USENSYS,PJMD,2027,full-base-200-tx-0,tons,17429126
USENSYS,PJMD,2030,full-base-200-tx-0,tons,5538343
USENSYS,PJMD,2035,full-base-200-tx-0,tons,4086818
USENSYS,PJMD,2040,full-base-200-tx-0,tons,4343594
USENSYS,PJMD,2045,full-base-200-tx-0,tons,4735346
USENSYS,PJMD,2050,full-base-200-tx-0,tons,2945172
USENSYS,PJME,2027,full-base-200-tx-0,tons,68077473
USENSYS,PJME,2030,full-base-200-tx-0,tons,29961212
USENSYS,PJME,2035,full-base-200-tx-0,tons,34143104
USENSYS,PJME,2040,full-base-200-tx-0,tons,33688459
USENSYS,PJME,2045,full-base-200-tx-0,tons,32952955
USENSYS,PJME,2050,full-base-200-tx-0,tons,32024858
USENSYS,PJMW,2027,full-base-200-tx-0,tons,90995966
USENSYS,PJMW,2030,full-base-200-tx-0,tons,12705425
USENSYS,PJMW,2035,full-base-200-tx-0,tons,9069367
USENSYS,PJMW,2040,full-base-200-tx-0,tons,9490368
USENSYS,PJMW,2045,full-base-200-tx-0,tons,10183401
USENSYS,PJMW,2050,full-base-200-tx-0,tons,10671512
USENSYS,RMRG,2027,full-base-200-tx-0,tons,18794295
USENSYS,RMRG,2030,full-base-200-tx-0,tons,1497687
USENSYS,RMRG,2035,full-base-200-tx-0,tons,1276201
USENSYS,RMRG,2040,full-base-200-tx-0,tons,1278887
USENSYS,RMRG,2045,full-base-200-tx-0,tons,1258747
USENSYS,RMRG,2050,full-base-200-tx-0,tons,1076424
USENSYS,SPPC,2027,full-base-200-tx-0,tons,21707626
USENSYS,SPPC,2030,full-base-200-tx-0,tons,1193953
USENSYS,SPPC,2035,full-base-200-tx-0,tons,945482
USENSYS,SPPC,2040,full-base-200-tx-0,tons,1024029
