region,marginal_price,total_demand
BASN,50.46008605399138,205854891.0
CASO,52.827315028925234,185445572.0
CANO,55.910189790456535,287331528.0
FRCC,52.52771765732631,373487472.0
ISNE,69.34929872283294,228967778.0
MISC,46.25445196618963,296003389.0
MISE,51.37312177412598,149857318.0
MISS,48.482461176105616,273572998.0
MISW,43.980605374652555,360803886.0
NWPP,46.58405360378803,342473432.0
NYCW,105.27398942189534,116580170.0
NYUP,60.71979167441559,100244191.0
PJMC,48.37465964582977,165669492.0
PJMD,62.393958016377745,160553816.0
PJME,79.77519315202835,428793884.0
PJMW,48.62998296197596,452703049.0
RMRG,40.03562739286141,173002995.0
SPPC,42.56606229199507,122568997.0
SPPN,41.29696654093902,85125345.0
SPPS,40.28746230477981,202777705.0
SRCA,54.7440568820968,320053848.0
SRCE,48.16975173648221,318246408.0
SRSE,52.13465543756711,375702387.0
SRSG,50.69526557799051,237915030.0
TRE,41.89315816595824,617229009.0
TREW,37.55222844790011,29860335.0
