model,zone,planning_year,case,unit,value
TEMOA,BASN,2027,base_52_tx15,tons,2.56099e+07
TEMOA,BASN,2030,base_52_tx15,tons,3.30613e+06
TEMOA,BASN,2035,base_52_tx15,tons,2.73662e+06
TEMOA,BASN,2040,base_52_tx15,tons,3.39424e+06
TEMOA,BASN,2045,base_52_tx15,tons,3.75379e+06
TEMOA,BASN,2050,base_52_tx15,tons,3.6136e+06
TEMOA,CANO,2027,base_52_tx15,tons,2.16453e+07
TEMOA,CANO,2030,base_52_tx15,tons,4.1322e+06
TEMOA,CANO,2035,base_52_tx15,tons,2.29995e+06
TEMOA,CANO,2040,base_52_tx15,tons,4.27037e+06
TEMOA,CANO,2045,base_52_tx15,tons,4.07204e+06
TEMOA,CANO,2050,base_52_tx15,tons,3.6394e+06
TEMOA,CASO,2027,base_52_tx15,tons,2.0429e+07
TEMOA,CASO,2030,base_52_tx15,tons,7.25665e+06
TEMOA,CASO,2035,base_52_tx15,tons,4.14917e+06
TEMOA,CASO,2040,base_52_tx15,tons,5.52187e+06
TEMOA,CASO,2045,base_52_tx15,tons,5.47853e+06
TEMOA,CASO,2050,base_52_tx15,tons,4.96984e+06
TEMOA,FRCC,2027,base_52_tx15,tons,7.51825e+07
TEMOA,FRCC,2030,base_52_tx15,tons,1.00461e+07
TEMOA,FRCC,2035,base_52_tx15,tons,7.75869e+06
TEMOA,FRCC,2040,base_52_tx15,tons,9.07553e+06
TEMOA,FRCC,2045,base_52_tx15,tons,1.04579e+07
TEMOA,FRCC,2050,base_52_tx15,tons,1.14129e+07
TEMOA,ISNE,2027,base_52_tx15,tons,2.82177e+07
TEMOA,ISNE,2030,base_52_tx15,tons,1.1755e+07
TEMOA,ISNE,2035,base_52_tx15,tons,1.49607e+07
TEMOA,ISNE,2040,base_52_tx15,tons,1.72118e+07
TEMOA,ISNE,2045,base_52_tx15,tons,1.77252e+07
TEMOA,ISNE,2050,base_52_tx15,tons,1.66944e+07
TEMOA,MISC,2027,base_52_tx15,tons,3.72634e+07
TEMOA,MISC,2030,base_52_tx15,tons,3.70956e+06
TEMOA,MISC,2035,base_52_tx15,tons,2.95092e+06
TEMOA,MISC,2040,base_52_tx15,tons,3.11786e+06
TEMOA,MISC,2045,base_52_tx15,tons,3.32542e+06
TEMOA,MISC,2050,base_52_tx15,tons,3.00349e+06
TEMOA,MISE,2027,base_52_tx15,tons,3.2609e+07
TEMOA,MISE,2030,base_52_tx15,tons,2.58032e+06
TEMOA,MISE,2035,base_52_tx15,tons,1.91636e+06
TEMOA,MISE,2040,base_52_tx15,tons,2.24669e+06
TEMOA,MISE,2045,base_52_tx15,tons,2.37891e+06
TEMOA,MISE,2050,base_52_tx15,tons,1.82868e+06
TEMOA,MISS,2027,base_52_tx15,tons,5.2275e+07
TEMOA,MISS,2030,base_52_tx15,tons,9.07245e+06
TEMOA,MISS,2035,base_52_tx15,tons,5.57881e+06
TEMOA,MISS,2040,base_52_tx15,tons,6.07443e+06
TEMOA,MISS,2045,base_52_tx15,tons,6.83211e+06
TEMOA,MISS,2050,base_52_tx15,tons,5.99456e+06
TEMOA,MISW,2027,base_52_tx15,tons,4.45954e+07
TEMOA,MISW,2030,base_52_tx15,tons,7.3742e+06
TEMOA,MISW,2035,base_52_tx15,tons,4.83749e+06
TEMOA,MISW,2040,base_52_tx15,tons,5.03165e+06
TEMOA,MISW,2045,base_52_tx15,tons,4.60639e+06
TEMOA,MISW,2050,base_52_tx15,tons,3.72325e+06
TEMOA,NWPP,2027,base_52_tx15,tons,1.78498e+07
TEMOA,NWPP,2030,base_52_tx15,tons,1.45179e+06
TEMOA,NWPP,2035,base_52_tx15,tons,1.91699e+06
TEMOA,NWPP,2040,base_52_tx15,tons,2.44231e+06
TEMOA,NWPP,2045,base_52_tx15,tons,2.18448e+06
TEMOA,NWPP,2050,base_52_tx15,tons,2.22551e+06
TEMOA,NYCW,2027,base_52_tx15,tons,1.67e+07
TEMOA,NYCW,2030,base_52_tx15,tons,1.2538e+07
TEMOA,NYCW,2035,base_52_tx15,tons,1.62007e+07
TEMOA,NYCW,2040,base_52_tx15,tons,1.73115e+07
TEMOA,NYCW,2045,base_52_tx15,tons,1.84622e+07
TEMOA,NYCW,2050,base_52_tx15,tons,1.74926e+07
TEMOA,NYUP,2027,base_52_tx15,tons,1.5885e+07
TEMOA,NYUP,2030,base_52_tx15,tons,3.78717e+06
TEMOA,NYUP,2035,base_52_tx15,tons,1.9657e+06
TEMOA,NYUP,2040,base_52_tx15,tons,1.59306e+06
TEMOA,NYUP,2045,base_52_tx15,tons,2.36888e+06
TEMOA,NYUP,2050,base_52_tx15,tons,2.95117e+06
TEMOA,PJMC,2027,base_52_tx15,tons,1.33387e+07
TEMOA,PJMC,2030,base_52_tx15,tons,5.02777e+06
TEMOA,PJMC,2035,base_52_tx15,tons,3.12637e+06
TEMOA,PJMC,2040,base_52_tx15,tons,3.0784e+06
TEMOA,PJMC,2045,base_52_tx15,tons,2.80844e+06
TEMOA,PJMC,2050,base_52_tx15,tons,2.11948e+06
TEMOA,PJMD,2027,base_52_tx15,tons,1.65942e+07
TEMOA,PJMD,2030,base_52_tx15,tons,4.9391e+06
TEMOA,PJMD,2035,base_52_tx15,tons,3.43381e+06
TEMOA,PJMD,2040,base_52_tx15,tons,3.11237e+06
TEMOA,PJMD,2045,base_52_tx15,tons,3.06277e+06
TEMOA,PJMD,2050,base_52_tx15,tons,1.58765e+06
TEMOA,PJME,2027,base_52_tx15,tons,7.11611e+07
TEMOA,PJME,2030,base_52_tx15,tons,3.0785e+07
TEMOA,PJME,2035,base_52_tx15,tons,3.10747e+07
TEMOA,PJME,2040,base_52_tx15,tons,3.37229e+07
TEMOA,PJME,2045,base_52_tx15,tons,3.67481e+07
TEMOA,PJME,2050,base_52_tx15,tons,3.3915e+07
TEMOA,PJMW,2027,base_52_tx15,tons,9.12192e+07
TEMOA,PJMW,2030,base_52_tx15,tons,1.35116e+07
TEMOA,PJMW,2035,base_52_tx15,tons,9.27946e+06
TEMOA,PJMW,2040,base_52_tx15,tons,9.40531e+06
TEMOA,PJMW,2045,base_52_tx15,tons,9.85776e+06
TEMOA,PJMW,2050,base_52_tx15,tons,9.78098e+06
TEMOA,RMRG,2027,base_52_tx15,tons,1.6541e+07
TEMOA,RMRG,2030,base_52_tx15,tons,1.26263e+06
TEMOA,RMRG,2035,base_52_tx15,tons,921905
TEMOA,RMRG,2040,base_52_tx15,tons,1.24846e+06
TEMOA,RMRG,2045,base_52_tx15,tons,1.20503e+06
TEMOA,RMRG,2050,base_52_tx15,tons,968655
TEMOA,SPPC,2027,base_52_tx15,tons,2.03574e+07
TEMOA,SPPC,2030,base_52_tx15,tons,1.13412e+06
TEMOA,SPPC,2035,base_52_tx15,tons,790447
TEMOA,SPPC,2040,base_52_tx15,tons,846252
TEMOA,SPPC,2045,base_52_tx15,tons,829289
TEMOA,SPPC,2050,base_52_tx15,tons,623845
TEMOA,SPPN,2027,base_52_tx15,tons,8.37092e+06
TEMOA,SPPN,2030,base_52_tx15,tons,596160
TEMOA,SPPN,2035,base_52_tx15,tons,362680
TEMOA,SPPN,2040,base_52_tx15,tons,457183
TEMOA,SPPN,2045,base_52_tx15,tons,427166
TEMOA,SPPN,2050,base_52_tx15,tons,263968
TEMOA,SPPS,2027,base_52_tx15,tons,2.05265e+07
TEMOA,SPPS,2030,base_52_tx15,tons,5.92911e+06
TEMOA,SPPS,2035,base_52_tx15,tons,3.55973e+06
TEMOA,SPPS,2040,base_52_tx15,tons,3.44753e+06
TEMOA,SPPS,2045,base_52_tx15,tons,3.188e+06
TEMOA,SPPS,2050,base_52_tx15,tons,2.50964e+06
TEMOA,SRCA,2027,base_52_tx15,tons,3.91736e+07
TEMOA,SRCA,2030,base_52_tx15,tons,5.78697e+06
TEMOA,SRCA,2035,base_52_tx15,tons,3.60156e+06
TEMOA,SRCA,2040,base_52_tx15,tons,4.04607e+06
TEMOA,SRCA,2045,base_52_tx15,tons,4.72235e+06
TEMOA,SRCA,2050,base_52_tx15,tons,4.11481e+06
TEMOA,SRCE,2027,base_52_tx15,tons,3.63212e+07
TEMOA,SRCE,2030,base_52_tx15,tons,6.90442e+06
TEMOA,SRCE,2035,base_52_tx15,tons,4.13851e+06
TEMOA,SRCE,2040,base_52_tx15,tons,4.1837e+06
TEMOA,SRCE,2045,base_52_tx15,tons,4.24596e+06
TEMOA,SRCE,2050,base_52_tx15,tons,3.42019e+06
