model,line,line_name,planning_year,case,unit,value
TEMOA,25,MISS_to_SPPS,2027,base_52_tx15,MW,102.947
TEMOA,33,NYCW_to_NYUP,2027,base_52_tx15,MW,399.794
TEMOA,34,NYCW_to_PJME,2027,base_52_tx15,MW,399.975
TEMOA,37,PJMD_to_PJME,2027,base_52_tx15,MW,393.154
TEMOA,43,RMRG_to_SPPC,2027,base_52_tx15,MW,399.478
TEMOA,44,RMRG_to_SPPN,2027,base_52_tx15,MW,399.867
TEMOA,46,SPPC_to_SPPN,2027,base_52_tx15,MW,399.742
TEMOA,48,SPPN_to_SPPS,2027,base_52_tx15,MW,232.121
TEMOA,50,SPPS_to_TRE,2027,base_52_tx15,MW,238.658
TEMOA,51,SPPS_to_TREW,2027,base_52_tx15,MW,399.808
TEMOA,4,BASN_to_RMRG,2030,base_52_tx15,MW,19.9001
TEMOA,11,ISNE_to_NYCW,2030,base_52_tx15,MW,399.961
TEMOA,12,ISNE_to_NYUP,2030,base_52_tx15,MW,399.86
TEMOA,13,MISC_to_MISE,2030,base_52_tx15,MW,399.918
TEMOA,17,MISC_to_PJMW,2030,base_52_tx15,MW,815.917
TEMOA,18,MISC_to_SPPC,2030,base_52_tx15,MW,399.956
TEMOA,19,MISC_to_SPPN,2030,base_52_tx15,MW,399.949
TEMOA,20,MISC_to_SPPS,2030,base_52_tx15,MW,399.956
TEMOA,22,MISE_to_MISW,2030,base_52_tx15,MW,399.963
TEMOA,24,MISS_to_SPPC,2030,base_52_tx15,MW,399.978
TEMOA,25,MISS_to_SPPS,2030,base_52_tx15,MW,399.976
TEMOA,27,MISS_to_SRSE,2030,base_52_tx15,MW,17.3599
TEMOA,28,MISW_to_NWPP,2030,base_52_tx15,MW,399.152
TEMOA,29,MISW_to_PJMC,2030,base_52_tx15,MW,479.812
TEMOA,30,MISW_to_SPPC,2030,base_52_tx15,MW,253.087
TEMOA,32,NWPP_to_RMRG,2030,base_52_tx15,MW,398.908
TEMOA,33,NYCW_to_NYUP,2030,base_52_tx15,MW,399.982
TEMOA,34,NYCW_to_PJME,2030,base_52_tx15,MW,399.978
TEMOA,35,NYUP_to_PJME,2030,base_52_tx15,MW,399.821
TEMOA,36,PJMC_to_PJMW,2030,base_52_tx15,MW,399.838
TEMOA,37,PJMD_to_PJME,2030,base_52_tx15,MW,399.939
TEMOA,40,PJME_to_PJMW,2030,base_52_tx15,MW,582.533
TEMOA,43,RMRG_to_SPPC,2030,base_52_tx15,MW,399.984
TEMOA,44,RMRG_to_SPPN,2030,base_52_tx15,MW,399.982
TEMOA,45,RMRG_to_SRSG,2030,base_52_tx15,MW,399.921
TEMOA,46,SPPC_to_SPPN,2030,base_52_tx15,MW,399.951
TEMOA,47,SPPC_to_SPPS,2030,base_52_tx15,MW,426.568
TEMOA,48,SPPN_to_SPPS,2030,base_52_tx15,MW,399.959
TEMOA,49,SPPS_to_SRSG,2030,base_52_tx15,MW,399.979
TEMOA,50,SPPS_to_TRE,2030,base_52_tx15,MW,399.97
TEMOA,51,SPPS_to_TREW,2030,base_52_tx15,MW,399.972
TEMOA,54,SRCE_to_SRSE,2030,base_52_tx15,MW,345.82
TEMOA,56,NWPP_to_SPPN,2030,base_52_tx15,MW,399.952
TEMOA,57,SRSG_to_TRE,2030,base_52_tx15,MW,399.991
TEMOA,1,BASN_to_CANO,2035,base_52_tx15,MW,18.9281
TEMOA,2,BASN_to_CASO,2035,base_52_tx15,MW,20.6364
TEMOA,4,BASN_to_RMRG,2035,base_52_tx15,MW,333.391
TEMOA,6,CANO_to_CASO,2035,base_52_tx15,MW,12.6444
TEMOA,7,CANO_to_NWPP,2035,base_52_tx15,MW,17.2686
TEMOA,8,CASO_to_NWPP,2035,base_52_tx15,MW,12.9606
TEMOA,9,CASO_to_SRSG,2035,base_52_tx15,MW,316.613
TEMOA,10,FRCC_to_SRSE,2035,base_52_tx15,MW,19.3383
TEMOA,11,ISNE_to_NYCW,2035,base_52_tx15,MW,399.914
TEMOA,12,ISNE_to_NYUP,2035,base_52_tx15,MW,399.5
TEMOA,13,MISC_to_MISE,2035,base_52_tx15,MW,397.469
TEMOA,14,MISC_to_MISS,2035,base_52_tx15,MW,51.506
TEMOA,15,MISC_to_MISW,2035,base_52_tx15,MW,23.0705
TEMOA,16,MISC_to_PJMC,2035,base_52_tx15,MW,19.5781
TEMOA,17,MISC_to_PJMW,2035,base_52_tx15,MW,150.744
TEMOA,18,MISC_to_SPPC,2035,base_52_tx15,MW,399.555
TEMOA,19,MISC_to_SPPN,2035,base_52_tx15,MW,399.429
TEMOA,20,MISC_to_SPPS,2035,base_52_tx15,MW,398.987
TEMOA,21,MISC_to_SRCE,2035,base_52_tx15,MW,25.2773
