Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,433737.50115943345,926.82,0.0
BASN_biomass_2,1,167469.11999999094,19.17,0.9999999999999458
BASN_conventional_hydroelectric_1,1,8.459085333073633e6,2489.47,0.3889590525381567
BASN_conventional_steam_coal_1,1,1.6196704448667672e6,1166.42,0.15894946643377117
BASN_conventional_steam_coal_2,1,3.80159758484959e6,1803.78,0.24125146010339968
BASN_geothermal_1,1,4.8354491641924735e6,554.76,0.9977438442245876
BASN_natural_gas_fired_combined_cycle_1,1,540956.6116742388,1008.1199999999999,0.06142392677982244
BASN_natural_gas_fired_combined_cycle_2,1,3.380301084158775e7,7221.07,0.5358474944385341
BASN_natural_gas_fired_combustion_turbine_1,1,6559.851360627896,1927.33,0.0003896056909484161
BASN_natural_gas_fired_combustion_turbine_2,1,5708.369379808689,233.84,0.0027943489602956584
BASN_natural_gas_internal_combustion_engine_1,1,13540.590454237901,219.17,0.0070720263427228106
BASN_natural_gas_steam_turbine_1,1,4519.767830496245,463.81,0.0011154841232828274
BASN_onshore_wind_turbine_1,1,3.9883884368706658e6,2030.1,0.22488857466594478
BASN_petroleum_liquids_1,1,514.588530532623,25.8,0.002283114913130657
BASN_small_hydroelectric_1,1,1.626905279999968e6,186.23,0.9999999999999802
BASN_solar_photovoltaic_1,1,1.99690339807834e7,8006.24,0.28550638555931923
CANO_batteries_1,2,1.4302578651037135e6,2624.1,0.0
CANO_biomass_1,2,1.3153795200000482e6,150.57,1.0000000000000366
CANO_biomass_2,2,609073.9200000088,69.72,1.0000000000000144
CANO_conventional_hydroelectric_1,2,1.8864324950447615e7,7125.11,0.3030658973755362
CANO_hydroelectric_pumped_storage_1,2,446876.1744425191,2254.14,0.0
CANO_natural_gas_fired_combined_cycle_1,2,631231.4260129837,3081.67,0.0234471389061023
CANO_natural_gas_fired_combined_cycle_2,2,4.9940934402099214e7,8296.87,0.6890167076888448
CANO_natural_gas_fired_combustion_turbine_1,2,9219.602664905906,2226.2,0.0004740622800763166
CANO_natural_gas_fired_combustion_turbine_2,2,8970.527117692818,2402.52,0.00042740374808511585
CANO_natural_gas_internal_combustion_engine_1,2,29209.995760764607,439.94,0.007600206950663885
CANO_onshore_wind_turbine_1,2,2.447583220172706e6,1441.99,0.19429543332909127
CANO_petroleum_liquids_1,2,787.8505369329866,175.52,0.000513812422139381
CANO_small_hydroelectric_1,2,2.0994355200000526e6,240.32,1.000000000000025
CANO_solar_photovoltaic_1,2,1.5350096125736577e7,6328.22,0.27766229255635577
CASO_batteries_1,3,7.525671710947599e6,8838.54,0.0
CASO_biomass_1,3,890373.1200000382,101.92,1.0000000000000429
CASO_biomass_2,3,180573.1199999905,20.67,0.9999999999999474
CASO_conventional_hydroelectric_1,3,2.4006259551546574e6,963.58,0.2851833029961568
CASO_geothermal_1,3,206356.17105841966,23.73,0.9954216846691972
CASO_hydroelectric_pumped_storage_1,3,820552.0291866738,1648.35,0.0
CASO_natural_gas_fired_combined_cycle_1,3,40767.74423591608,2083.85,0.0022394305682474306
CASO_natural_gas_fired_combined_cycle_2,3,5.2294870755526535e7,7481.59,0.8001152793632305
CASO_natural_gas_fired_combustion_turbine_1,3,9590.13478717065,1853.37,0.0005923112164277934
CASO_natural_gas_fired_combustion_turbine_2,3,11560.408834966207,4527.66,0.0002922716971094142
CASO_natural_gas_internal_combustion_engine_1,3,58148.46619261065,50.2,0.1325934042963007
CASO_onshore_wind_turbine_1,3,1.2462247642311776e7,4055.5099999999998,0.35175337660250194
CASO_petroleum_liquids_1,3,555.8928026999259,14.1,0.004512937439111705
CASO_small_hydroelectric_1,3,575527.6800000175,65.88,1.0000000000000304
CASO_solar_photovoltaic_1,3,3.1602431201308604e7,13797.3,0.2621885741463336
FRCC_batteries_1,4,174822.3341634334,549.7,0.0
FRCC_biomass_1,4,740987.5200000386,84.82,1.000000000000052
FRCC_biomass_2,4,1.0048147199999623e6,115.02,0.9999999999999625
FRCC_conventional_hydroelectric_1,4,116546.63867278321,43.5,0.30668876750658713
FRCC_conventional_steam_coal_1,4,1.306468099306559e6,3103.65,0.048185175452263446
FRCC_conventional_steam_coal_2,4,4581.0761230748385,437.58,0.001198387910447929
FRCC_natural_gas_fired_combined_cycle_1,4,1.9337977493443882e8,30803.0,0.7186301090150242
FRCC_natural_gas_fired_combined_cycle_2,4,4.227441549216729e6,2671.71,0.18112386215095808
FRCC_natural_gas_fired_combustion_turbine_1,4,81279.75550204213,7785.73,0.0011950069314792193
FRCC_natural_gas_fired_combustion_turbine_2,4,4778.950876145738,1058.21,0.0005169494525140451
FRCC_natural_gas_internal_combustion_engine_1,4,196040.56083033435,248.39,0.09034397676270271
FRCC_natural_gas_steam_turbine_1,4,6266.504877717161,738.54,0.000971267226610453
FRCC_nuclear_1,4,3.264414667296044e7,3737.0,0.9999299976475359
FRCC_petroleum_liquids_1,4,787.7209632483545,451.07,0.00019990139929802305
FRCC_solar_photovoltaic_1,4,1.8572167584229335e7,9458.55,0.2247633024186779
ISNE_batteries_1,5,173503.09521286187,368.0,0.0
ISNE_biomass_1,5,870192.9599999542,99.61,0.9999999999999474
ISNE_biomass_2,5,1.917377279999948e6,219.48,0.9999999999999729
