model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
TEMOA,BASN,Battery,2027,True,MW,935.8,926.8,9.0,0.0
TEMOA,BASN,Battery,2027,True,MWh,2195.6,2174.5,21.1,0.0
TEMOA,BASN,Battery,2030,True,MW,926.8,926.6,0.3,0.0
TEMOA,BASN,Battery,2030,True,MWh,2174.5,2173.9,0.6,0.0
TEMOA,BASN,Battery,2035,False,MW,0.0,159.7,0.0,0.0
TEMOA,BASN,Battery,2035,False,MWh,0.0,777.0,0.0,0.0
TEMOA,BASN,Battery,2035,True,MW,926.6,926.0,0.6,0.0
TEMOA,BASN,Battery,2035,True,MWh,2173.9,2172.5,1.4,0.0
TEMOA,BASN,Battery,2040,False,MW,159.7,3434.1,0.0,3274.3
TEMOA,BASN,Battery,2040,False,MWh,777.0,13888.0,0.0,13111.1
TEMOA,BASN,Battery,2045,False,MW,3434.1,8196.8,0.0,4762.7
TEMOA,BASN,Battery,2045,False,MWh,13888.0,33599.9,0.0,19711.8
TEMOA,BASN,Battery,2050,False,MW,8196.8,12353.2,12.2,4168.6
TEMOA,BASN,Battery,2050,False,MWh,33599.9,51162.7,121.6,17684.4
TEMOA,BASN,Coal,2027,True,MW,3000.2,2970.2,30.0,0.0
TEMOA,BASN,Coal,2030,True,MW,2970.2,2970.2,0.0,0.0
TEMOA,BASN,Coal,2035,True,MW,2970.2,2970.2,0.0,0.0
TEMOA,BASN,Coal,2040,True,MW,2970.2,2070.3,899.9,0.0
TEMOA,BASN,Coal,2045,True,MW,2070.3,1187.2,883.1,0.0
TEMOA,BASN,Coal,2050,True,MW,720.9,720.9,0.0,0.0
TEMOA,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
TEMOA,BASN,Distributed Solar,2030,True,MW,1193.0,1642.0,0.0,449.0
TEMOA,BASN,Distributed Solar,2035,True,MW,1642.0,2007.6,0.0,365.6
TEMOA,BASN,Distributed Solar,2040,True,MW,2007.6,2011.0,0.0,3.4
TEMOA,BASN,Distributed Solar,2045,True,MW,2011.0,2028.6,0.0,17.6
TEMOA,BASN,Distributed Solar,2050,True,MW,2028.6,2055.9,0.0,27.4
TEMOA,BASN,Geothermal,2027,True,MW,462.4,554.8,0.0,92.4
