region,marginal_price,total_demand
BASN,49.63604350764266,205854891.0
CASO,51.46664694997776,185445572.0
CANO,53.461916284004445,287331528.0
FRCC,53.62760520804251,373487472.0
ISNE,57.35316585656345,228967778.0
MISC,47.83916951837655,296003389.0
MISE,53.97235333825482,149857318.0
MISS,53.050208009140064,273572998.0
MISW,44.15857374474481,360803886.0
NWPP,50.89070617206583,342473432.0
NYCW,79.19698658453467,116580170.0
NYUP,60.209811698718156,100244191.0
PJMC,49.521980460298366,165669492.0
PJMD,60.732152693056754,160553816.0
PJME,69.16441373083188,428793884.0
PJMW,50.839734223651135,452703049.0
RMRG,40.38898527538555,173002995.0
SPPC,45.081203408285276,122568997.0
SPPN,43.170096518083824,85125345.0
SPPS,41.81599652087172,202777705.0
SRCA,54.94532251902621,320053848.0
SRCE,57.062689156955905,318246408.0
SRSE,54.2187602488946,375702387.0
SRSG,49.39038142065965,237915030.0
TRE,46.90583058700229,617229009.0
TREW,41.615092735764364,29860335.0
