region,marginal_price,total_demand
BASN,56.38286063572467,205854891.0
CASO,57.61207026473741,185445572.0
CANO,61.638773180056624,287331528.0
FRCC,56.99607122828197,373487472.0
ISNE,88.48070006168969,228967778.0
MISC,50.53919758346075,296003389.0
MISE,55.55720461330068,149857318.0
MISS,50.7645994918728,273572998.0
MISW,51.12035337430731,360803886.0
NWPP,71.64210520296412,342473432.0
NYCW,82.42701836213442,116580170.0
NYUP,63.29220957612602,100244191.0
PJMC,53.76761251371026,165669492.0
PJMD,64.7341979037102,160553816.0
PJME,67.42846707165425,428793884.0
PJMW,52.85696554066076,452703049.0
RMRG,47.260454550559416,173002995.0
SPPC,47.899974386549516,122568997.0
SPPN,45.935859030281314,85125345.0
SPPS,44.40717369006698,202777705.0
SRCA,59.38316445047087,320053848.0
SRCE,52.80152196475015,318246408.0
SRSE,55.901496618154965,375702387.0
SRSG,53.52528213915366,237915030.0
TRE,46.59059461334732,617229009.0
TREW,42.24808404244394,29860335.0
