Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,451707.12804214767,935.8,0.0
BASN_biomass_2,1,179437.44000000617,20.54,1.0000000000000344
BASN_conventional_hydroelectric_1,1,8.464483437102705e6,2489.6,0.38918694061723075
BASN_conventional_steam_coal_1,1,1.3717818250732524e6,1178.2,0.13327644526834295
BASN_conventional_steam_coal_2,1,3.4195728244437682e6,1822.0,0.21483788045151797
BASN_geothermal_1,1,4.0293813941465165e6,461.94,0.998481864960648
BASN_natural_gas_fired_combined_cycle_1,1,1.0213888874157415e6,1018.3,0.11481609164646644
BASN_natural_gas_fired_combined_cycle_2,1,3.678760969056016e7,7294.0,0.5773287507269286
BASN_natural_gas_fired_combustion_turbine_1,1,5507.544030883002,1946.8,0.0003238351711667608
BASN_natural_gas_fired_combustion_turbine_2,1,5606.022198657819,236.2,0.002716828938474206
BASN_natural_gas_internal_combustion_engine_1,1,14458.113473266843,221.4,0.007475175391358832
BASN_natural_gas_steam_turbine_1,1,4220.949979170432,468.5,0.0010313070460950193
BASN_onshore_wind_turbine_1,1,3.988112833233357e6,2030.1,0.22487303452732785
BASN_petroleum_liquids_1,1,503.8955016337187,25.8,0.0022356723210457605
BASN_small_hydroelectric_1,1,1.51071647999995e6,172.93,0.9999999999999669
BASN_solar_photovoltaic_1,1,1.9969749224097516e7,8006.2,0.2855180381967013
CANO_batteries_1,2,1.5060333295657686e6,2650.6,0.0
CANO_biomass_1,2,1.3622044799999513e6,155.93,0.9999999999999641
CANO_biomass_2,2,624449.2800000049,71.48,1.000000000000008
CANO_conventional_hydroelectric_1,2,1.905555635679977e7,7197.1,0.30307594697660467
CANO_hydroelectric_pumped_storage_1,2,437435.38167499757,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,752107.5965824412,3112.8,0.027657704490876015
CANO_natural_gas_fired_combined_cycle_2,2,5.0942949455428675e7,8296.9,0.7028385995802864
CANO_natural_gas_fired_combustion_turbine_1,2,7877.102904369459,2248.7,0.00040097968816096694
CANO_natural_gas_fired_combustion_turbine_2,2,7689.105225693858,2426.8,0.0003626846645651837
CANO_natural_gas_internal_combustion_engine_1,2,27163.145735121387,444.4,0.006996702177546409
CANO_onshore_wind_turbine_1,2,2.4476881824980406e6,1442.0,0.19430241804744064
CANO_petroleum_liquids_1,2,674.360125797733,177.3,0.0004353820521328093
CANO_small_hydroelectric_1,2,2.005785599999555e6,229.6,0.9999999999997781
CANO_solar_photovoltaic_1,2,1.5350717615961099e7,6328.3,0.2776700242215542
CASO_batteries_1,3,7.708450309869425e6,8927.8,0.0
