region,marginal_price,total_demand
BASN,55.15514398533672,223174656.0
CASO,55.40074385305127,199559149.0
CANO,59.09082470701988,309235468.0
FRCC,55.00187393930182,398150391.0
ISNE,80.14684108838337,233966756.0
MISC,50.59992600107664,302266317.0
MISE,55.76098961083175,154617099.0
MISS,50.420503691801315,285422687.0
MISW,51.50313198692538,372086880.0
NWPP,68.97156773344184,372645986.0
NYCW,74.89448295828493,120232798.0
NYUP,62.12836970155998,103480882.0
PJMC,53.59534275255155,168907776.0
PJMD,61.78750338807662,168177932.0
PJME,64.05137066207404,442681870.0
PJMW,53.42087028804698,466199508.0
RMRG,48.96502999433547,188991709.0
SPPC,47.65419469641907,124929928.0
SPPN,46.931201918897095,88318595.0
SPPS,45.37991102910437,210273247.0
SRCA,60.14615918835007,340830683.0
SRCE,52.14510092222182,332833523.0
SRSE,54.962437733595436,398994725.0
SRSG,52.12471995652877,258600147.0
TRE,46.59653654274801,648762932.0
TREW,43.455817486194285,31419683.0
