period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2027,114148.15751318519,SWITCH,BASN,BASN_batteries_1,Battery,base_52_week,all,MWh,2027
2027,3.3375478696877977e-06,SWITCH,BASN,BASN_battery_moderate_0,Battery,base_52_week,all,MWh,2027
2027,70109.09639887014,SWITCH,BASN,BASN_biomass_1,Other,base_52_week,all,MWh,2027
2027,178146.35003761342,SWITCH,BASN,BASN_biomass_2,Other,base_52_week,all,MWh,2027
2027,8470886.199091727,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,2760331.594622206,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,base_52_week,all,MWh,2027
2027,11621688.684981164,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,base_52_week,all,MWh,2027
2027,2823798.988304116,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,base_52_week,all,MWh,2027
2027,4035204.084299559,SWITCH,BASN,BASN_geothermal_1,Geothermal,base_52_week,all,MWh,2027
2027,1.3613949501970481e-07,SWITCH,BASN,BASN_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,2.4423011287665294e-07,SWITCH,BASN,BASN_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,29833761.868388433,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,1.2518223502847884e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,1.223078677397544e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,8748311.226734769,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,3.6765721081844644e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,3.835463833708217e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,2.294574934485436e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,2.21816091310377e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,1.8207908388686082e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_6_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,1.6841659366400935e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_7_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,1.4706244872483026e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_8_anyQual_0,Wind,base_52_week,all,MWh,2027
2027,1.4305444123718471e-06,SWITCH,BASN,BASN_landbasedwind_class3_moderate_9_anyQual_1,Wind,base_52_week,all,MWh,2027
2027,907530.378709802,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,base_52_week,all,MWh,2027
2027,30882744.952900946,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,base_52_week,all,MWh,2027
2027,7.778168564470251e-07,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,9.584679281559889e-07,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,base_52_week,all,MWh,2027
2027,1.5992752925778777e-06,SWITCH,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,base_52_week,all,MWh,2027
2027,5.501653560580798e-07,SWITCH,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,base_52_week,all,MWh,2027
2027,8.038415136532876e-07,SWITCH,BASN,BASN_naturalgas_fframe_ct_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,4.632852258090666e-06,SWITCH,BASN,BASN_naturalgas_hframe_cc_moderate_0,Natural Gas,base_52_week,all,MWh,2027
2027,3.959185706857369e-07,SWITCH,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,base_52_week,all,MWh,2027
2027,3989785.5237278934,SWITCH,BASN,BASN_onshore_wind_turbine_1,Wind,base_52_week,all,MWh,2027
2027,7.985954694491313e-08,SWITCH,BASN,BASN_petroleum_liquids_1,Other,base_52_week,all,MWh,2027
2027,1643290.5215999975,SWITCH,BASN,BASN_small_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,19972071.93600741,SWITCH,BASN,BASN_solar_photovoltaic_1,Solar,base_52_week,all,MWh,2027
2027,4.56335483089814e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_0_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,3.544835652468598e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_1_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,2.1286072084374922e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_2_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,1.9335624120381733e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_3_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,1.8909670483772108e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_4_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,1.6776541159809795e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_5_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,1.5566839735899358e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_6_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,1.4958254282762215e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_7_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,1.3423129695137117e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_8_anyQual_0,Solar,base_52_week,all,MWh,2027
2027,1.3344856164890656e-06,SWITCH,BASN,BASN_utilitypv_class1_moderate_9_anyQual_1,Solar,base_52_week,all,MWh,2027
2027,215628.3597884689,SWITCH,CANO,CANO_batteries_1,Battery,base_52_week,all,MWh,2027
2027,3.1485747385400503e-06,SWITCH,CANO,CANO_battery_moderate_0,Battery,base_52_week,all,MWh,2027
2027,1363428.7024987075,SWITCH,CANO,CANO_biomass_1,Other,base_52_week,all,MWh,2027
2027,623642.9324992653,SWITCH,CANO,CANO_biomass_2,Other,base_52_week,all,MWh,2027
2027,19061954.72455963,SWITCH,CANO,CANO_conventional_hydroelectric_1,Hydro,base_52_week,all,MWh,2027
2027,10328399.527999908,SWITCH,CANO,CANO_distributed_generation_1,Distributed Solar,base_52_week,all,MWh,2027
2027,25849.26398968785,SWITCH,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,base_52_week,all,MWh,2027
2027,1.3638067162804378e-07,SWITCH,CANO,CANO_hydrogen_fframe_ct_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,2.3988946911697847e-07,SWITCH,CANO,CANO_hydrogen_hframe_cc_moderate_0,Hydro,base_52_week,all,MWh,2027
2027,5.589989463948654e-07,SWITCH,CANO,CANO_landbasedwind_class3_moderate_0_anyQual_0,Wind,base_52_week,all,MWh,2027
