region,marginal_price,total_demand
BASN,39.284211362449376,104415840.0
CASO,42.2318186286714,106247405.0
CANO,43.25229126225792,164112380.0
FRCC,40.36103263774257,254835658.0
ISNE,45.03564684632893,132079030.0
MISC,38.842997567975814,186790489.0
MISE,42.82084084574175,102056388.0
MISS,38.01977180183255,175440371.0
MISW,36.29900451326493,225553160.0
NWPP,40.26755071195202,195981047.0
NYCW,49.09349253291886,76993625.0
NYUP,33.96895031277928,70257166.0
PJMC,37.45243270202665,118765758.0
PJMD,42.47203878241165,110841999.0
PJME,38.459659075520506,289082184.0
PJMW,40.436235073980335,310165370.0
RMRG,34.450244603256415,88883482.0
SPPC,35.310911404782836,78239307.0
SPPN,33.28681229780346,49626459.0
SPPS,32.952488547227,122178131.0
SRCA,43.225680052626075,218636717.0
SRCE,39.26764641451985,214888614.0
SRSE,40.892425239095196,242597067.0
SRSG,39.38048028674443,137828950.0
TRE,33.73354575451174,426645124.0
TREW,30.18471835827626,19988250.0
