model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
TEMOA,BASN,Battery,2027,True,MW,935.8,926.8,9.0,0.0
TEMOA,BASN,Battery,2027,True,MWh,2195.6,2174.4,21.2,0.0
TEMOA,BASN,Battery,2030,True,MW,926.8,926.5,0.3,0.0
TEMOA,BASN,Battery,2030,True,MWh,2174.4,2173.7,0.7,0.0
TEMOA,BASN,Battery,2035,False,MW,0.0,39.4,0.0,0.0
TEMOA,BASN,Battery,2035,False,MWh,0.0,146.3,0.0,0.0
TEMOA,BASN,Battery,2035,True,MW,926.5,925.7,0.7,0.0
TEMOA,BASN,Battery,2035,True,MWh,2173.7,2172.0,1.7,0.0
TEMOA,BASN,Battery,2040,False,MW,39.4,2080.0,0.0,2025.0
TEMOA,BASN,Battery,2040,False,MWh,146.3,8431.8,0.0,8160.3
TEMOA,BASN,Battery,2045,False,MW,2080.0,7119.5,0.0,5039.5
TEMOA,BASN,Battery,2045,False,MWh,8431.8,29083.4,0.0,20651.6
TEMOA,BASN,Battery,2050,False,MW,7119.5,12017.1,0.0,4897.6
TEMOA,BASN,Battery,2050,False,MWh,29083.4,49001.6,0.0,19918.2
TEMOA,BASN,Coal,2027,True,MW,3000.2,2970.2,30.0,0.0
TEMOA,BASN,Coal,2030,True,MW,2970.2,2970.2,0.0,0.0
TEMOA,BASN,Coal,2035,True,MW,2970.2,2970.2,0.0,0.0
TEMOA,BASN,Coal,2040,True,MW,2970.2,2070.3,899.9,0.0
TEMOA,BASN,Coal,2045,True,MW,2070.3,1187.2,883.1,0.0
TEMOA,BASN,Coal,2050,True,MW,720.9,720.9,0.0,0.0
TEMOA,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
TEMOA,BASN,Distributed Solar,2030,True,MW,1193.0,1642.0,0.0,449.0
TEMOA,BASN,Distributed Solar,2035,True,MW,1642.0,2007.8,0.0,365.8
TEMOA,BASN,Distributed Solar,2040,True,MW,2007.8,2010.2,0.0,2.5
TEMOA,BASN,Distributed Solar,2045,True,MW,2010.2,2028.2,0.0,17.9
TEMOA,BASN,Distributed Solar,2050,True,MW,2028.2,2056.3,0.0,28.1
TEMOA,BASN,Geothermal,2027,True,MW,462.4,554.8,0.0,92.4
TEMOA,BASN,Geothermal,2030,True,MW,554.8,519.4,35.4,0.0
TEMOA,BASN,Geothermal,2035,True,MW,519.4,496.7,22.7,0.0
TEMOA,BASN,Geothermal,2040,True,MW,496.7,344.8,152.0,0.0
TEMOA,BASN,Geothermal,2045,True,MW,344.8,182.0,162.8,0.0
TEMOA,BASN,Hydro,2027,True,MW,2662.7,2675.6,0.2,13.1
TEMOA,BASN,Hydro,2030,True,MW,2675.6,2675.5,0.1,0.0
TEMOA,BASN,Hydro,2035,True,MW,2675.5,2665.8,9.7,0.0
TEMOA,BASN,Hydro,2040,True,MW,2665.8,1871.7,794.1,0.0
TEMOA,BASN,Hydro,2045,True,MW,1871.7,1742.1,129.6,0.0
TEMOA,BASN,Hydro,2050,True,MW,1742.1,1571.2,170.9,0.0
TEMOA,BASN,Natural Gas CC,2027,True,MW,8312.3,8229.2,83.1,0.0
TEMOA,BASN,Natural Gas CC,2030,True,MW,8229.2,8137.0,92.2,0.0
TEMOA,BASN,Natural Gas CC,2035,True,MW,8137.0,7948.9,188.1,0.0
TEMOA,BASN,Natural Gas CC,2040,True,MW,7948.9,7521.7,427.2,0.0
TEMOA,BASN,Natural Gas CC,2045,True,MW,7521.7,7521.7,0.1,0.0
TEMOA,BASN,Natural Gas CC,2050,True,MW,7521.7,7521.6,0.0,0.0
TEMOA,BASN,Natural Gas CT,2027,True,MW,2183.0,2161.2,21.8,0.0
TEMOA,BASN,Natural Gas CT,2030,True,MW,2161.2,2161.2,0.0,0.0
TEMOA,BASN,Natural Gas CT,2035,True,MW,2161.2,2040.3,120.9,0.0
TEMOA,BASN,Natural Gas CT,2040,True,MW,2040.3,2040.3,0.0,0.0
TEMOA,BASN,Natural Gas CT,2045,True,MW,2040.3,1602.7,437.6,0.0
TEMOA,BASN,Natural Gas CT,2050,True,MW,1602.7,1602.7,0.0,0.0
TEMOA,BASN,Natural Gas Other,2027,True,MW,689.9,683.0,6.9,0.0
TEMOA,BASN,Natural Gas Other,2030,True,MW,683.0,459.2,223.7,0.0
TEMOA,BASN,Natural Gas Other,2035,True,MW,219.2,219.2,0.0,0.0
TEMOA,BASN,Natural Gas Other,2040,True,MW,219.2,219.2,0.0,0.0
TEMOA,BASN,Natural Gas Other,2045,True,MW,219.2,219.2,0.0,0.0
TEMOA,BASN,Natural Gas Other,2050,True,MW,219.2,201.5,17.7,0.0
TEMOA,BASN,Other,2027,True,MW,46.4,45.0,1.4,0.0
TEMOA,BASN,Other,2030,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2035,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2040,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2045,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2050,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Solar,2027,True,MW,8006.2,8006.2,0.0,0.0
TEMOA,BASN,Solar,2030,False,MW,0.0,5933.9,0.0,0.0
TEMOA,BASN,Solar,2030,True,MW,8006.2,8006.2,0.0,0.0
TEMOA,BASN,Solar,2035,False,MW,5933.9,11886.6,0.0,5437.3
TEMOA,BASN,Solar,2035,True,MW,8006.2,8006.2,0.0,0.0
TEMOA,BASN,Solar,2040,False,MW,11886.6,16984.5,0.0,5097.9
TEMOA,BASN,Solar,2040,True,MW,8006.2,7934.0,72.3,0.0
TEMOA,BASN,Solar,2045,False,MW,16984.5,28492.9,0.1,11508.5
TEMOA,BASN,Solar,2045,True,MW,7934.0,7065.1,868.9,0.0
TEMOA,BASN,Solar,2050,False,MW,28492.9,36892.3,0.0,8399.4
TEMOA,BASN,Solar,2050,True,MW,7065.1,4272.4,2792.7,0.0
TEMOA,BASN,Wind,2027,False,MW,0.0,12536.0,0.0,12536.0
TEMOA,BASN,Wind,2027,True,MW,2030.1,2030.1,0.0,0.0
TEMOA,BASN,Wind,2030,False,MW,12536.0,18924.3,0.0,4178.9
TEMOA,BASN,Wind,2030,True,MW,2030.1,2030.1,0.0,0.0
TEMOA,BASN,Wind,2035,False,MW,18924.3,28536.6,0.0,9407.2
TEMOA,BASN,Wind,2035,True,MW,2030.1,2019.6,10.5,0.0
TEMOA,BASN,Wind,2040,False,MW,28536.6,33843.6,0.0,5307.1
TEMOA,BASN,Wind,2040,True,MW,2019.6,1453.9,565.7,0.0
TEMOA,BASN,Wind,2045,False,MW,33843.6,34111.5,0.0,267.9
TEMOA,BASN,Wind,2045,True,MW,1453.9,583.2,870.7,0.0
TEMOA,BASN,Wind,2050,False,MW,34111.5,34583.1,3.3,474.9
TEMOA,BASN,Wind,2050,True,MW,583.2,519.9,63.3,0.0
TEMOA,CANO,Battery,2027,True,MW,2650.6,2624.1,26.5,0.0
TEMOA,CANO,Battery,2027,True,MWh,10570.7,10465.0,105.7,0.0
TEMOA,CANO,Battery,2030,True,MW,2624.1,2624.1,0.0,0.0
TEMOA,CANO,Battery,2030,True,MWh,10465.0,10465.0,0.0,0.0
TEMOA,CANO,Battery,2035,False,MW,0.0,22.4,0.0,0.0
TEMOA,CANO,Battery,2035,False,MWh,0.0,65.1,0.0,0.0
TEMOA,CANO,Battery,2035,True,MW,2624.1,2622.5,1.6,0.0
TEMOA,CANO,Battery,2035,True,MWh,10465.0,10458.5,6.5,0.0
TEMOA,CANO,Battery,2040,False,MW,22.4,150.0,0.0,85.0
TEMOA,CANO,Battery,2040,False,MWh,65.1,627.7,0.0,285.1
TEMOA,CANO,Battery,2045,False,MW,150.0,735.9,0.0,585.9
TEMOA,CANO,Battery,2045,False,MWh,627.7,3108.0,0.0,2480.3
TEMOA,CANO,Battery,2050,False,MW,735.9,2843.1,0.0,2107.2
TEMOA,CANO,Battery,2050,False,MWh,3108.0,12359.6,0.0,9251.6
TEMOA,CANO,CCS,2030,False,MW,0.0,3280.3,0.0,0.0
TEMOA,CANO,CCS,2035,False,MW,3280.3,7187.8,0.0,3907.5
TEMOA,CANO,CCS,2040,False,MW,7187.8,9379.6,0.0,2191.9
TEMOA,CANO,CCS,2045,False,MW,9379.6,11845.2,0.0,2465.6
TEMOA,CANO,CCS,2050,False,MW,11845.2,12512.5,0.0,667.3
TEMOA,CANO,Distributed Solar,2027,True,MW,4470.0,4478.0,0.0,8.0
TEMOA,CANO,Distributed Solar,2030,True,MW,4478.0,5329.0,0.0,851.0
TEMOA,CANO,Distributed Solar,2035,True,MW,5329.0,6166.8,0.0,837.8
TEMOA,CANO,Distributed Solar,2040,True,MW,6166.8,6425.6,0.0,258.8
TEMOA,CANO,Distributed Solar,2045,True,MW,6425.6,6499.5,0.0,73.9
TEMOA,CANO,Distributed Solar,2050,True,MW,6499.5,6561.6,0.0,62.1
TEMOA,CANO,Hydro,2027,True,MW,9703.8,9619.6,94.8,10.5
TEMOA,CANO,Hydro,2030,True,MW,9619.6,9382.9,236.7,0.0
TEMOA,CANO,Hydro,2035,True,MW,9382.9,9314.5,68.3,0.0
TEMOA,CANO,Hydro,2040,True,MW,9314.5,9311.7,2.9,0.0
TEMOA,CANO,Hydro,2045,True,MW,9311.7,8855.8,455.8,0.0
TEMOA,CANO,Hydro,2050,True,MW,8855.8,8021.8,834.1,0.0
TEMOA,CANO,Natural Gas CC,2027,True,MW,11409.7,11378.5,31.2,0.0
TEMOA,CANO,Natural Gas CC,2030,True,MW,11378.5,11295.6,82.9,0.0
TEMOA,CANO,Natural Gas CC,2035,True,MW,11295.6,11295.6,0.0,0.0
TEMOA,CANO,Natural Gas CC,2040,True,MW,11295.6,11295.6,0.0,0.0
