model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2027,base_52,MW,100,100.326
TEMOA,2,BASN_to_CASO,2027,base_52,MW,5920,5920.21
TEMOA,3,BASN_to_NWPP,2027,base_52,MW,3350,3350.13
TEMOA,4,BASN_to_RMRG,2027,base_52,MW,3750,3750.51
TEMOA,5,BASN_to_SRSG,2027,base_52,MW,5385,5385.18
TEMOA,6,CANO_to_CASO,2027,base_52,MW,3675,3675.39
TEMOA,7,CANO_to_NWPP,2027,base_52,MW,3675,3675.2
TEMOA,8,CASO_to_NWPP,2027,base_52,MW,2858,2858.19
TEMOA,9,CASO_to_SRSG,2027,base_52,MW,4354,4354.55
TEMOA,10,FRCC_to_SRSE,2027,base_52,MW,3600,3600.22
TEMOA,11,ISNE_to_NYCW,2027,base_52,MW,760,761.09
TEMOA,12,ISNE_to_NYUP,2027,base_52,MW,1400,1404.82
TEMOA,14,MISC_to_MISS,2027,base_52,MW,1039,1039.57
TEMOA,15,MISC_to_MISW,2027,base_52,MW,1655,1655.53
TEMOA,16,MISC_to_PJMC,2027,base_52,MW,5244,5245.06
TEMOA,17,MISC_to_PJMW,2027,base_52,MW,5441,5441.67
TEMOA,18,MISC_to_SPPC,2027,base_52,MW,1430,1432.51
TEMOA,20,MISC_to_SPPS,2027,base_52,MW,1172,1173.95
TEMOA,21,MISC_to_SRCE,2027,base_52,MW,3745,3745.45
TEMOA,23,MISE_to_PJMW,2027,base_52,MW,2662,2662.59
TEMOA,25,MISS_to_SPPS,2027,base_52,MW,1697,1757.35
TEMOA,26,MISS_to_SRCE,2027,base_52,MW,4092,4092.41
TEMOA,27,MISS_to_SRSE,2027,base_52,MW,891,891.745
TEMOA,28,MISW_to_NWPP,2027,base_52,MW,200,200.345
TEMOA,29,MISW_to_PJMC,2027,base_52,MW,3200,3201.62
TEMOA,31,MISW_to_SPPN,2027,base_52,MW,5512,5512.31
TEMOA,32,NWPP_to_RMRG,2027,base_52,MW,400,400.47
TEMOA,33,NYCW_to_NYUP,2027,base_52,MW,2489,2489.59
TEMOA,34,NYCW_to_PJME,2027,base_52,MW,660,4578.68
TEMOA,35,NYUP_to_PJME,2027,base_52,MW,1255,1255.82
TEMOA,36,PJMC_to_PJMW,2027,base_52,MW,980,981.73
TEMOA,37,PJMD_to_PJME,2027,base_52,MW,1200,1208.21
TEMOA,38,PJMD_to_PJMW,2027,base_52,MW,6930,6930.26
TEMOA,39,PJMD_to_SRCA,2027,base_52,MW,1000,1000.57
