Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,43680.0,5.0,1.0
BASN_biomass_2,1,104832.0,12.0,1.0
BASN_conventional_hydroelectric_1,1,4.377998141163753e6,1419.0,0.35316735438041874
BASN_conventional_steam_coal_1,1,27774.63662548583,728.0,0.0043672130708168905
BASN_conventional_steam_coal_2,1,0.0,0.0,0.0
BASN_geothermal_1,1,424953.2166165053,56.0,0.8686412885443348
BASN_natural_gas_fired_combined_cycle_1,1,286046.78023754334,735.0,0.0445489117262128
BASN_natural_gas_fired_combined_cycle_2,1,6.276825122474681e6,6794.0,0.10575523171023224
BASN_natural_gas_fired_combustion_turbine_1,1,60233.90173724522,1383.0,0.0049854709576222875
BASN_natural_gas_fired_combustion_turbine_2,1,14827.2032781829,236.0,0.007191750519078904
BASN_natural_gas_internal_combustion_engine_1,1,48626.34861243322,204.0,0.02728530837711948
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,761181.782339887,520.0,0.16756079669006388
BASN_petroleum_liquids_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.240512e6,142.0,1.0
BASN_solar_photovoltaic_1,1,9.5756469790605e6,4272.0,0.2565808605448895
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,270816.0,31.0,1.0
CANO_biomass_2,2,227136.0,26.0,1.0
CANO_conventional_hydroelectric_1,2,1.4148286415829843e7,5619.0,0.2882253568607052
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.737527213906337e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,388604.97671708156,2492.0,0.017850389410816146
CANO_natural_gas_fired_combined_cycle_2,2,6.089890400858606e6,8297.0,0.08401866203761872
CANO_natural_gas_fired_combustion_turbine_1,2,29246.352132510052,1950.0,0.0017168188299820403
CANO_natural_gas_fired_combustion_turbine_2,2,18445.285516798514,997.0,0.0021177641804532776
CANO_natural_gas_internal_combustion_engine_1,2,142698.1265820435,434.0,0.03763707952000186
CANO_natural_gas_steam_turbine_1,2,3339.650873988086,3.0,0.127428681089289
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,92302.61095930211,62.0,0.17041572683907547
CANO_petroleum_liquids_1,2,1000.8814457206029,151.0,0.000758740149401277
CANO_small_hydroelectric_1,2,1.712256e6,196.0,1.0
CANO_solar_photovoltaic_1,2,5.276925038923311e6,2502.0,0.24142430739123494
CASO_batteries_1,3,0.0,0.0,0.0
CASO_biomass_1,3,489216.0,56.0,1.0
CASO_biomass_2,3,17472.0,2.0,1.0
CASO_conventional_hydroelectric_1,3,2.171204271739286e6,919.0,0.2704410092665331
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,188705.60228910745,24.0,0.9000381672061367
CASO_hydroelectric_pumped_storage_1,3,4.337038034855416e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,249866.32350280802,1080.0,0.026483254000348497
CASO_natural_gas_fired_combined_cycle_2,3,6.840742633293265e6,7482.0,0.10465811833157308
CASO_natural_gas_fired_combustion_turbine_1,3,31847.31020195104,1404.0,0.002596528087752862
CASO_natural_gas_fired_combustion_turbine_2,3,200197.5359008048,3953.0,0.005797213408558021
CASO_natural_gas_internal_combustion_engine_1,3,26958.565431280284,49.0,0.06297788515567831
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.14374618064428e6,416.0,0.3147195349494026
CASO_petroleum_liquids_1,3,411.8992165467181,3.0,0.01571654519790591
CASO_small_hydroelectric_1,3,576576.0,66.0,1.0
CASO_solar_photovoltaic_1,3,1.4740884557812305e7,6500.0,0.25959574101529137
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,34944.0,4.0,1.0
FRCC_biomass_2,4,690144.0,79.0,1.0
FRCC_conventional_hydroelectric_1,4,110833.20907876866,44.0,0.28833980883379295
FRCC_conventional_steam_coal_1,4,1988.771442087383,467.0,0.00048747839114314523
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,2.2581101238668486e7,28738.0,0.08994477755052023
FRCC_natural_gas_fired_combined_cycle_2,4,61514.77100490355,2280.0,0.003088388589909447
FRCC_natural_gas_fired_combustion_turbine_1,4,75762.83980320624,6701.0,0.0012942077661855702
FRCC_natural_gas_fired_combustion_turbine_2,4,1672.6529780044848,255.0,0.000750849753108384
FRCC_natural_gas_internal_combustion_engine_1,4,135608.0226668359,251.0,0.06184420863562047
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,2.989639703940191e7,3737.0,0.9157630775516881
FRCC_petroleum_liquids_1,4,620.8024424953715,4.0,0.017765637662985674
FRCC_solar_photovoltaic_1,4,1.0870055250540173e7,5878.0,0.21168473651635789
ISNE_batteries_1,5,0.0,0.0,0.0
