model,zone,planning_year,case,unit,value
GenX,BASN,2027,Results_p1,tons,2.75534e+07
GenX,CANO,2027,Results_p1,tons,1.94994e+07
GenX,CASO,2027,Results_p1,tons,2.01167e+07
GenX,FRCC,2027,Results_p1,tons,7.51658e+07
GenX,ISNE,2027,Results_p1,tons,2.83514e+07
GenX,MISC,2027,Results_p1,tons,3.75275e+07
GenX,MISE,2027,Results_p1,tons,3.27565e+07
GenX,MISS,2027,Results_p1,tons,5.2031e+07
GenX,MISW,2027,Results_p1,tons,4.33926e+07
GenX,NWPP,2027,Results_p1,tons,1.6218e+07
GenX,NYCW,2027,Results_p1,tons,9.94589e+06
GenX,NYUP,2027,Results_p1,tons,1.3614e+07
GenX,PJMC,2027,Results_p1,tons,1.33697e+07
GenX,PJMD,2027,Results_p1,tons,1.74678e+07
GenX,PJME,2027,Results_p1,tons,7.83847e+07
GenX,PJMW,2027,Results_p1,tons,9.40238e+07
GenX,RMRG,2027,Results_p1,tons,1.62989e+07
GenX,SPPC,2027,Results_p1,tons,1.95979e+07
GenX,SPPN,2027,Results_p1,tons,8.3442e+06
GenX,SPPS,2027,Results_p1,tons,2.01397e+07
GenX,SRCA,2027,Results_p1,tons,3.97422e+07
GenX,SRCE,2027,Results_p1,tons,3.62222e+07
GenX,SRSE,2027,Results_p1,tons,5.41574e+07
GenX,SRSG,2027,Results_p1,tons,2.06462e+07
GenX,TRE,2027,Results_p1,tons,7.06809e+07
GenX,TREW,2027,Results_p1,tons,7.75581e+06
GenX,BASN,2030,Results_p2,tons,9.22518e+06
GenX,CANO,2030,Results_p2,tons,1.44958e+07
GenX,CASO,2030,Results_p2,tons,1.40077e+07
GenX,FRCC,2030,Results_p2,tons,5.073e+07
GenX,ISNE,2030,Results_p2,tons,2.05604e+07
GenX,MISC,2030,Results_p2,tons,1.57669e+07
GenX,MISE,2030,Results_p2,tons,1.4519e+07
GenX,MISS,2030,Results_p2,tons,2.68346e+07
GenX,MISW,2030,Results_p2,tons,2.21323e+07
GenX,NWPP,2030,Results_p2,tons,5.93721e+06
GenX,NYCW,2030,Results_p2,tons,7.98313e+06
GenX,NYUP,2030,Results_p2,tons,7.93788e+06
GenX,PJMC,2030,Results_p2,tons,9.41722e+06
GenX,PJMD,2030,Results_p2,tons,1.04353e+07
GenX,PJME,2030,Results_p2,tons,5.8769e+07
GenX,PJMW,2030,Results_p2,tons,4.87708e+07
GenX,RMRG,2030,Results_p2,tons,2.97879e+06
GenX,SPPC,2030,Results_p2,tons,4.99554e+06
GenX,SPPN,2030,Results_p2,tons,2.25586e+06
GenX,SPPS,2030,Results_p2,tons,1.10722e+07
GenX,SRCA,2030,Results_p2,tons,2.0006e+07
GenX,SRCE,2030,Results_p2,tons,1.57321e+07
GenX,SRSE,2030,Results_p2,tons,3.52022e+07
GenX,SRSG,2030,Results_p2,tons,9.96514e+06
GenX,TRE,2030,Results_p2,tons,4.1991e+07
GenX,TREW,2030,Results_p2,tons,5.55808e+06
GenX,BASN,2035,Results_p3,tons,1.30966e+07
GenX,CANO,2035,Results_p3,tons,1.94235e+07
GenX,CASO,2035,Results_p3,tons,2.01862e+07
GenX,FRCC,2035,Results_p3,tons,5.48794e+07
GenX,ISNE,2035,Results_p3,tons,2.81745e+07
GenX,MISC,2035,Results_p3,tons,2.29392e+07
GenX,MISE,2035,Results_p3,tons,1.81887e+07
GenX,MISS,2035,Results_p3,tons,2.96346e+07
GenX,MISW,2035,Results_p3,tons,3.07138e+07
GenX,NWPP,2035,Results_p3,tons,9.91716e+06
GenX,NYCW,2035,Results_p3,tons,1.52421e+07
GenX,NYUP,2035,Results_p3,tons,6.03535e+06
GenX,PJMC,2035,Results_p3,tons,9.40399e+06
GenX,PJMD,2035,Results_p3,tons,7.60912e+06
GenX,PJME,2035,Results_p3,tons,7.31482e+07
GenX,PJMW,2035,Results_p3,tons,5.5281e+07
GenX,RMRG,2035,Results_p3,tons,5.82566e+06
GenX,SPPC,2035,Results_p3,tons,6.6877e+06
GenX,SPPN,2035,Results_p3,tons,3.50319e+06
GenX,SPPS,2035,Results_p3,tons,1.10886e+07
GenX,SRCA,2035,Results_p3,tons,2.66113e+07
GenX,SRCE,2035,Results_p3,tons,1.88418e+07
GenX,SRSE,2035,Results_p3,tons,4.30572e+07
GenX,SRSG,2035,Results_p3,tons,1.26957e+07
GenX,TRE,2035,Results_p3,tons,4.61123e+07
GenX,TREW,2035,Results_p3,tons,5.1141e+06
GenX,BASN,2040,Results_p4,tons,1.47004e+07
GenX,CANO,2040,Results_p4,tons,1.92107e+07
GenX,CASO,2040,Results_p4,tons,3.34263e+07
GenX,FRCC,2040,Results_p4,tons,5.73908e+07
GenX,ISNE,2040,Results_p4,tons,2.78413e+07
GenX,MISC,2040,Results_p4,tons,2.40911e+07
GenX,MISE,2040,Results_p4,tons,1.78636e+07
GenX,MISS,2040,Results_p4,tons,2.55044e+07
GenX,MISW,2040,Results_p4,tons,3.47805e+07
GenX,NWPP,2040,Results_p4,tons,1.15594e+07
GenX,NYCW,2040,Results_p4,tons,1.57056e+07
GenX,NYUP,2040,Results_p4,tons,5.03813e+06
GenX,PJMC,2040,Results_p4,tons,6.93792e+06
GenX,PJMD,2040,Results_p4,tons,4.55119e+06
GenX,PJME,2040,Results_p4,tons,7.83052e+07
GenX,PJMW,2040,Results_p4,tons,6.28787e+07
GenX,RMRG,2040,Results_p4,tons,3.74443e+06
GenX,SPPC,2040,Results_p4,tons,4.25043e+06
GenX,SPPN,2040,Results_p4,tons,2.74728e+06
GenX,SPPS,2040,Results_p4,tons,8.94378e+06
GenX,SRCA,2040,Results_p4,tons,2.64506e+07
GenX,SRCE,2040,Results_p4,tons,1.90491e+07
GenX,SRSE,2040,Results_p4,tons,3.67979e+07
GenX,SRSG,2040,Results_p4,tons,1.0218e+07
GenX,TRE,2040,Results_p4,tons,4.68701e+07
GenX,TREW,2040,Results_p4,tons,4.15639e+06
GenX,BASN,2045,Results_p5,tons,1.42681e+07
GenX,CANO,2045,Results_p5,tons,2.13694e+07
GenX,CASO,2045,Results_p5,tons,4.20318e+07
GenX,FRCC,2045,Results_p5,tons,6.25934e+07
GenX,ISNE,2045,Results_p5,tons,2.9954e+07
GenX,MISC,2045,Results_p5,tons,3.3953e+07
GenX,MISE,2045,Results_p5,tons,2.01959e+07
GenX,MISS,2045,Results_p5,tons,2.69494e+07
GenX,MISW,2045,Results_p5,tons,4.02547e+07
GenX,NWPP,2045,Results_p5,tons,1.87874e+07
GenX,NYCW,2045,Results_p5,tons,1.96798e+07
GenX,NYUP,2045,Results_p5,tons,5.34644e+06
GenX,PJMC,2045,Results_p5,tons,5.32795e+06
GenX,PJMD,2045,Results_p5,tons,3.31625e+06
GenX,PJME,2045,Results_p5,tons,8.67755e+07
GenX,PJMW,2045,Results_p5,tons,6.98407e+07
GenX,RMRG,2045,Results_p5,tons,2.7804e+06
GenX,SPPC,2045,Results_p5,tons,2.11106e+06
GenX,SPPN,2045,Results_p5,tons,1.38069e+06
GenX,SPPS,2045,Results_p5,tons,6.8049e+06
GenX,SRCA,2045,Results_p5,tons,3.16201e+07
GenX,SRCE,2045,Results_p5,tons,2.40462e+07
GenX,SRSE,2045,Results_p5,tons,3.97926e+07
GenX,SRSG,2045,Results_p5,tons,1.21057e+07
GenX,TRE,2045,Results_p5,tons,5.55886e+07
GenX,TREW,2045,Results_p5,tons,3.08793e+06
GenX,BASN,2050,Results_p6,tons,1.42536e+07
GenX,CANO,2050,Results_p6,tons,1.96386e+07
GenX,CASO,2050,Results_p6,tons,4.05991e+07
GenX,FRCC,2050,Results_p6,tons,6.25652e+07
GenX,ISNE,2050,Results_p6,tons,2.95229e+07
GenX,MISC,2050,Results_p6,tons,3.94032e+07
GenX,MISE,2050,Results_p6,tons,2.12535e+07
GenX,MISS,2050,Results_p6,tons,2.87491e+07
GenX,MISW,2050,Results_p6,tons,3.90405e+07
GenX,NWPP,2050,Results_p6,tons,2.18959e+07
GenX,NYCW,2050,Results_p6,tons,1.97493e+07
GenX,NYUP,2050,Results_p6,tons,6.88651e+06
GenX,PJMC,2050,Results_p6,tons,4.06839e+06
GenX,PJMD,2050,Results_p6,tons,2.14895e+06
GenX,PJME,2050,Results_p6,tons,9.14066e+07
GenX,PJMW,2050,Results_p6,tons,6.93809e+07
GenX,RMRG,2050,Results_p6,tons,3.1808e+06
GenX,SPPC,2050,Results_p6,tons,1.22628e+06
GenX,SPPN,2050,Results_p6,tons,858073
GenX,SPPS,2050,Results_p6,tons,5.41005e+06
