model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_batteries_1,Battery,2027,base_52_50,all,MWh,195120
TEMOA,BASN,BASN_biomass_2,Other,2027,base_52_50,all,MWh,164712
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,8.31136e+06
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2027,base_52_50,all,MWh,2.34144e+06
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2027,base_52_50,all,MWh,1.09101e+07
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,2.8275e+06
TEMOA,BASN,BASN_geothermal_1,Geothermal,2027,base_52_50,all,MWh,4.8582e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,base_52_50,all,MWh,2.971e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,base_52_50,all,MWh,1.53809e+07
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,base_52_50,all,MWh,592472
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,base_52_50,all,MWh,2.92961e+07
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2027,base_52_50,all,MWh,4959.12
TEMOA,BASN,BASN_onshore_wind_turbine_1,Wind,2027,base_52_50,all,MWh,3.99782e+06
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,1.62992e+06
TEMOA,BASN,BASN_solar_photovoltaic_1,Solar,2027,base_52_50,all,MWh,2.00227e+07
TEMOA,CANO,CANO_batteries_1,Battery,2027,base_52_50,all,MWh,319855
TEMOA,CANO,CANO_biomass_1,Other,2027,base_52_50,all,MWh,1.31521e+06
TEMOA,CANO,CANO_biomass_2,Other,2027,base_52_50,all,MWh,608659
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,1.9114e+07
TEMOA,CANO,CANO_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,1.0353e+07
TEMOA,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,base_52_50,all,MWh,55882.3
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,base_52_50,all,MWh,1.91581e+06
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,base_52_50,all,MWh,5.26742e+07
TEMOA,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,base_52_50,all,MWh,14944.7
TEMOA,CANO,CANO_onshore_wind_turbine_1,Wind,2027,base_52_50,all,MWh,2.44656e+06
TEMOA,CANO,CANO_small_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,2.10441e+06
TEMOA,CANO,CANO_solar_photovoltaic_1,Solar,2027,base_52_50,all,MWh,1.53909e+07
TEMOA,CASO,CASO_batteries_1,Battery,2027,base_52_50,all,MWh,3.7457e+06
TEMOA,CASO,CASO_biomass_1,Other,2027,base_52_50,all,MWh,890561
TEMOA,CASO,CASO_biomass_2,Other,2027,base_52_50,all,MWh,177930
TEMOA,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,2.40915e+06
TEMOA,CASO,CASO_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,1.61123e+07
TEMOA,CASO,CASO_geothermal_1,Geothermal,2027,base_52_50,all,MWh,207146
TEMOA,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,base_52_50,all,MWh,146296
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,base_52_50,all,MWh,211379
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,base_52_50,all,MWh,5.14262e+07
TEMOA,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,base_52_50,all,MWh,27621.3
TEMOA,CASO,CASO_onshore_wind_turbine_1,Wind,2027,base_52_50,all,MWh,1.2495e+07
TEMOA,CASO,CASO_small_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,576349
TEMOA,CASO,CASO_solar_photovoltaic_1,Solar,2027,base_52_50,all,MWh,3.16865e+07
TEMOA,FRCC,FRCC_batteries_1,Battery,2027,base_52_50,all,MWh,61283.3
TEMOA,FRCC,FRCC_biomass_1,Other,2027,base_52_50,all,MWh,739333
TEMOA,FRCC,FRCC_biomass_2,Other,2027,base_52_50,all,MWh,1.00602e+06
TEMOA,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,102789
TEMOA,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,base_52_50,all,MWh,871526
TEMOA,FRCC,FRCC_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,5.86716e+06
TEMOA,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,base_52_50,all,MWh,1.95075e+08
TEMOA,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,base_52_50,all,MWh,1.94529e+06
TEMOA,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,base_52_50,all,MWh,11919.1
TEMOA,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,base_52_50,all,MWh,25779.4
TEMOA,FRCC,FRCC_nuclear_1,Nuclear,2027,base_52_50,all,MWh,3.27359e+07
TEMOA,FRCC,FRCC_solar_photovoltaic_1,Solar,2027,base_52_50,all,MWh,1.86193e+07
TEMOA,ISNE,ISNE_batteries_1,Battery,2027,base_52_50,all,MWh,134357
TEMOA,ISNE,ISNE_biomass_1,Other,2027,base_52_50,all,MWh,863889
TEMOA,ISNE,ISNE_biomass_2,Other,2027,base_52_50,all,MWh,1.92108e+06
TEMOA,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,3.29115e+06
TEMOA,ISNE,ISNE_conventional_steam_coal_2,Coal,2027,base_52_50,all,MWh,2.88885e+06
TEMOA,ISNE,ISNE_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,6.88073e+06
TEMOA,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2027,base_52_50,all,MWh,303059
TEMOA,ISNE,ISNE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,base_52_50,all,MWh,1.10593e+07
TEMOA,ISNE,ISNE_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,base_52_50,all,MWh,1.29695e+06
TEMOA,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,base_52_50,all,MWh,2.52078e+06
TEMOA,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,base_52_50,all,MWh,6.06681e+07
TEMOA,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,base_52_50,all,MWh,72563.8
TEMOA,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,base_52_50,all,MWh,11420.5
TEMOA,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2027,base_52_50,all,MWh,23840
TEMOA,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2027,base_52_50,all,MWh,6962.31
TEMOA,ISNE,ISNE_naturalgas_hframe_cc_moderate_0,Natural Gas,2027,base_52_50,all,MWh,273362
TEMOA,ISNE,ISNE_nuclear_1,Nuclear,2027,base_52_50,all,MWh,2.93939e+07
TEMOA,ISNE,ISNE_offshore_wind_turbine_1,Wind,2027,base_52_50,all,MWh,100663
TEMOA,ISNE,ISNE_onshore_wind_turbine_1,Wind,2027,base_52_50,all,MWh,3.30353e+06
TEMOA,ISNE,ISNE_petroleum_liquids_1,Other,2027,base_52_50,all,MWh,14618.3
TEMOA,ISNE,ISNE_small_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,2.36928e+06
TEMOA,ISNE,ISNE_solar_photovoltaic_1,Solar,2027,base_52_50,all,MWh,5.21865e+06
TEMOA,MISC,MISC_batteries_1,Battery,2027,base_52_50,all,MWh,6004.58
TEMOA,MISC,MISC_biomass_1,Other,2027,base_52_50,all,MWh,294002
TEMOA,MISC,MISC_biomass_2,Other,2027,base_52_50,all,MWh,292314
TEMOA,MISC,MISC_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,1.42749e+06
TEMOA,MISC,MISC_conventional_steam_coal_1,Coal,2027,base_52_50,all,MWh,311144
TEMOA,MISC,MISC_conventional_steam_coal_2,Coal,2027,base_52_50,all,MWh,2.61647e+07
TEMOA,MISC,MISC_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,1.28815e+06
TEMOA,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2027,base_52_50,all,MWh,461529
TEMOA,MISC,MISC_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,base_52_50,all,MWh,2.3692e+07
TEMOA,MISC,MISC_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,base_52_50,all,MWh,1.11746e+07
TEMOA,MISC,MISC_landbasedwind_class3_moderate_2_anyQual_0,Wind,2027,base_52_50,all,MWh,1.44941e+07
TEMOA,MISC,MISC_landbasedwind_class3_moderate_3_anyQual_1,Wind,2027,base_52_50,all,MWh,1.83435e+07
TEMOA,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,base_52_50,all,MWh,5.79574e+06
TEMOA,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,base_52_50,all,MWh,2.02291e+07
TEMOA,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,base_52_50,all,MWh,154840
TEMOA,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,base_52_50,all,MWh,34319.3
TEMOA,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,base_52_50,all,MWh,4437.06
TEMOA,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2027,base_52_50,all,MWh,93890.2
TEMOA,MISC,MISC_nuclear_1,Nuclear,2027,base_52_50,all,MWh,2.04942e+07
TEMOA,MISC,MISC_onshore_wind_turbine_1,Wind,2027,base_52_50,all,MWh,1.41477e+07
TEMOA,MISC,MISC_small_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,124018
TEMOA,MISC,MISC_solar_photovoltaic_1,Solar,2027,base_52_50,all,MWh,8.06084e+06
TEMOA,MISE,MISE_biomass_1,Other,2027,base_52_50,all,MWh,518972
TEMOA,MISE,MISE_biomass_2,Other,2027,base_52_50,all,MWh,423185
TEMOA,MISE,MISE_conventional_hydroelectric_1,Hydro,2027,base_52_50,all,MWh,63125.5
TEMOA,MISE,MISE_conventional_steam_coal_1,Coal,2027,base_52_50,all,MWh,1.11647e+07
TEMOA,MISE,MISE_distributed_generation_1,Distributed Solar,2027,base_52_50,all,MWh,805042
TEMOA,MISE,MISE_hydroelectric_pumped_storage_1,Hydro,2027,base_52_50,all,MWh,252356
TEMOA,MISE,MISE_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,base_52_50,all,MWh,334650
TEMOA,MISE,MISE_landbasedwind_class3_moderate_10_anyQual_1,Wind,2027,base_52_50,all,MWh,906633
