region,marginal_price,total_demand
BASN,32.602532705425276,177158138.0
CASO,37.87567985128826,158791938.0
CANO,38.01454758125609,245898072.0
FRCC,35.90723126366724,334048179.0
ISNE,34.16099763328484,210413923.0
MISC,32.82357721872697,264171318.0
MISE,35.05437917530168,137137308.0
MISS,30.21203928506761,242486982.0
MISW,31.754734440000075,324181570.0
NWPP,35.88689015044925,300529644.0
NYCW,42.93266761616461,106442119.0
NYUP,26.401637051259332,92400602.0
PJMC,33.65258114001983,152682741.0
PJMD,33.17068187232463,145712440.0
PJME,32.856655467452555,389826566.0
PJMW,34.25866256125679,412215498.0
RMRG,25.448306465865965,150676430.0
SPPC,27.119076588096622,108907378.0
SPPN,26.039590055581236,74985567.0
SPPS,25.387883534836057,177543457.0
SRCA,34.83673237069018,287884867.0
SRCE,33.03222784665457,285639456.0
SRSE,35.03593778123723,333542368.0
SRSG,30.390298009613524,204888767.0
TRE,27.00423395614013,555402906.0
TREW,23.545778234932477,26667903.0
