Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,0.0,0.0,0.0
BASN_biomass_1,1,70761.60000000114,8.1,1.0000000000000162
BASN_biomass_2,1,145017.59999999404,16.6,0.9999999999999588
BASN_conventional_hydroelectric_1,1,5.380370934781558e6,1697.6,0.36279745012118747
BASN_conventional_steam_coal_1,1,5.218117540416136e6,728.2,0.8202581564357306
BASN_conventional_steam_coal_2,1,9.810891249839734e6,1363.0,0.8239483351406258
BASN_geothermal_1,1,2.3738803813261176e6,287.4,0.945495447582866
BASN_natural_gas_fired_combined_cycle_1,1,1.2478099750776137e6,735.2,0.19428099961922812
BASN_natural_gas_fired_combined_cycle_2,1,1.941504143713385e7,6794.0,0.32711476993297944
BASN_natural_gas_fired_combustion_turbine_1,1,226768.2466414477,1824.7,0.014225847367042202
BASN_natural_gas_fired_combustion_turbine_2,1,65763.43830842506,236.2,0.03187072864832192
BASN_natural_gas_internal_combustion_engine_1,1,187495.10612802723,221.4,0.09693925877120374
BASN_natural_gas_steam_turbine_1,1,8641.820053636517,5.0,0.1978438656968067
BASN_onshore_wind_turbine_1,1,2.4178941729913964e6,1454.0,0.19035323272916732
BASN_petroleum_liquids_1,1,296.90398944528414,13.6,0.0024989898917703967
BASN_small_hydroelectric_1,1,1.4161055999999738e6,162.1,0.9999999999999815
BASN_solar_photovoltaic_1,1,1.7419956831634652e7,7934.0,0.2513287972792862
CANO_batteries_1,2,0.0,0.0,0.0
CANO_biomass_1,2,268195.1999999892,30.7,0.9999999999999596
CANO_biomass_2,2,324105.6000000025,37.1,1.0000000000000078
CANO_conventional_hydroelectric_1,2,1.787899435367413e7,6903.7,0.29644801794839243
CANO_geothermal_1,2,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,5.0989834080171e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,7.102107357785015e6,3112.8,0.26117006058263237
CANO_natural_gas_fired_combined_cycle_2,2,4.476273418067241e7,8296.9,0.6175727503264107
CANO_natural_gas_fired_combustion_turbine_1,2,796603.2066790446,1999.7,0.04559997224624013
CANO_natural_gas_fired_combustion_turbine_2,2,1.0542158577832428e6,1502.8,0.08030003469890719
CANO_natural_gas_internal_combustion_engine_1,2,764643.9573170968,444.4,0.19695752816621726
CANO_natural_gas_steam_turbine_1,2,10351.485836740876,2.9,0.4085940790680212
CANO_nuclear_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,1.1182102950212974e6,698.0,0.18338146519839807
CANO_petroleum_liquids_1,2,1910.5137835340674,169.6,0.001289471364111195
CANO_small_hydroelectric_1,2,1.862515199999728e6,213.2,0.999999999999854
CANO_solar_photovoltaic_1,2,1.4920281048653506e7,6287.4,0.2716397285357517
CASO_batteries_1,3,119505.40465753547,84.0,0.0
CASO_biomass_1,3,665683.2000000074,76.2,1.000000000000011
CASO_biomass_2,3,86486.40000000138,9.9,1.0000000000000158
CASO_conventional_hydroelectric_1,3,2.297689821348222e6,955.0,0.27540727199099374
CASO_conventional_steam_coal_1,3,0.0,0.0,0.0
CASO_geothermal_1,3,192290.6285117371,23.6,0.9326817751585932
CASO_hydroelectric_pumped_storage_1,3,3.941867280140999e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,2.96580226124498e6,1986.9,0.17086517544109084
CASO_natural_gas_fired_combined_cycle_2,3,3.484648297216672e7,7481.6,0.5331529801857283
CASO_natural_gas_fired_combustion_turbine_1,3,557919.4142775566,1461.5,0.04369784592369885
CASO_natural_gas_fired_combustion_turbine_2,3,2.992260226742981e6,3953.4,0.08663950785415489
CASO_natural_gas_internal_combustion_engine_1,3,113075.29235564146,50.2,0.2578406437337679
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,1.0173581186814208e7,3464.4,0.33615006524547536
CASO_petroleum_liquids_1,3,253.99639031080403,7.8,0.003727522868983106
CASO_small_hydroelectric_1,3,588806.3999999758,67.4,0.9999999999999588
CASO_solar_photovoltaic_1,3,3.1034103387358982e7,13757.0,0.25822770768047704
FRCC_batteries_1,4,0.0,0.0,0.0
FRCC_biomass_1,4,283046.40000000456,32.4,1.0000000000000162
FRCC_biomass_2,4,802838.3999999687,91.9,0.999999999999961
FRCC_conventional_hydroelectric_1,4,113313.15118731807,43.5,0.29817994817933474
FRCC_conventional_steam_coal_1,4,2.0559527438410897e7,2549.0,0.9232741309891555
FRCC_conventional_steam_coal_2,4,814623.2577155405,442.0,0.210970586607749
FRCC_natural_gas_fired_combined_cycle_1,4,1.4016909023743707e8,28738.2,0.5583159903234446
FRCC_natural_gas_fired_combined_cycle_2,4,5.02071364366272e6,2335.7,0.24605702342484337
FRCC_natural_gas_fired_combustion_turbine_1,4,4.987355781560805e6,7768.4,0.07348964433055602
FRCC_natural_gas_fired_combustion_turbine_2,4,17022.401792048706,887.7,0.00219503774210722
FRCC_natural_gas_internal_combustion_engine_1,4,347263.8035704288,250.9,0.15843321349480186
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,3.1219628228841897e7,3737.0,0.9562952615722874
FRCC_petroleum_liquids_1,4,1177.7034616598764,149.7,0.0009005369267685834
FRCC_solar_photovoltaic_1,4,1.750474156314725e7,9409.8,0.21294266504648363
ISNE_batteries_1,5,0.0,0.0,0.0
ISNE_biomass_1,5,29702.400000004465,3.4,1.0000000000001503
ISNE_biomass_2,5,471744.0,54.0,1.0
ISNE_conventional_hydroelectric_1,5,1.950170989376134e6,516.7,0.43203765952004647
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,5,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,2.3750988348823856e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,958641.4938882403,3166.3,0.034657045522572955
ISNE_natural_gas_fired_combined_cycle_2,5,9.141871167613102e6,10513.3,0.09953674028871277
ISNE_natural_gas_fired_combustion_turbine_1,5,148966.78961422172,1338.4,0.012740630043867447
ISNE_natural_gas_fired_combustion_turbine_2,5,20721.20679810691,389.8,0.0060850000323340505
ISNE_natural_gas_internal_combustion_engine_1,5,18678.170529786534,54.9,0.038944789998187124
ISNE_natural_gas_steam_turbine_1,5,8900.141401071169,17.2,0.05923192324377588
ISNE_nuclear_1,5,2.711916248539193e7,3355.5,0.9251377544477553
ISNE_offshore_wind_turbine_1,5,101332.1484333267,29.3,0.39588313874926045
ISNE_onshore_wind_turbine_1,5,2.468159390992488e6,1240.7,0.22771613026120266
ISNE_petroleum_liquids_1,5,21067.25926760171,822.1,0.0029333964795444944
ISNE_small_hydroelectric_1,5,1.98132479999993e6,226.8,0.9999999999999646
ISNE_solar_photovoltaic_1,5,5.005460524699624e6,2679.1,0.21386636646862472
MISC_batteries_1,6,0.0,0.0,0.0
MISC_biomass_1,6,311001.60000000044,35.6,1.0000000000000016
MISC_biomass_2,6,362544.0,41.5,1.0
MISC_conventional_hydroelectric_1,6,885661.2515183756,279.5,0.3627214231319564
MISC_conventional_steam_coal_1,6,5.711508639848621e6,1067.0,0.6127365589574323
MISC_conventional_steam_coal_2,6,4.45573984082375e7,6872.7,0.7421297014968987
MISC_hydroelectric_pumped_storage_1,6,1.1371434443479609e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,3.1117870182774495e6,1583.6,0.2249322596938452
MISC_natural_gas_fired_combined_cycle_2,6,1.1231869777255092e7,3192.5,0.40272494260440034
MISC_natural_gas_fired_combustion_turbine_1,6,522581.13927684707,457.6,0.13072392833449778
MISC_natural_gas_fired_combustion_turbine_2,6,4.95830908354418e6,8900.4,0.06376926997426613
MISC_natural_gas_internal_combustion_engine_1,6,37093.94961251043,35.7,0.118938439518469
MISC_natural_gas_steam_turbine_1,6,53192.722646179405,98.4,0.061879172350766336
MISC_nuclear_1,6,1.9004286932746507e7,2373.0,0.916729517586166
MISC_onshore_wind_turbine_1,6,1.1490557458430465e7,5586.8,0.23543192245664363
MISC_petroleum_liquids_1,6,4097.435741442714,208.2,0.002252780098737211
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,7.640591409127794e6,3922.2,0.22298960340457388
MISE_batteries_1,7,0.0,0.0,0.0
MISE_biomass_1,7,269068.7999999566,30.8,0.9999999999998388
MISE_biomass_2,7,412339.1999999841,47.2,0.9999999999999615
MISE_conventional_hydroelectric_1,7,0.0,0.0,0.0
MISE_conventional_steam_coal_1,7,17728.686700568276,2.3,0.8823402761470913
MISE_conventional_steam_coal_2,7,0.0,0.0,0.0
MISE_hydroelectric_pumped_storage_1,7,3.953631436237508e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,1.706798171725535e7,6017.4,0.3246838312144048
MISE_natural_gas_fired_combined_cycle_2,7,1.3716433299195815e6,699.2,0.22455728608722328
MISE_natural_gas_fired_combustion_turbine_1,7,62446.16731555139,420.6,0.016995106664393453
MISE_natural_gas_fired_combustion_turbine_2,7,1.907091212270452e6,3971.5,0.05496728327008657
MISE_natural_gas_internal_combustion_engine_1,7,87834.92456013747,90.6,0.11097532091729925
MISE_natural_gas_steam_turbine_1,7,22366.29127972435,8.2,0.3122248738012088
MISE_nuclear_1,7,9.930924583602214e6,1161.0,0.9791401035408064
MISE_onshore_wind_turbine_1,7,8.427656029920278e6,3494.3,0.27607939097362927
MISE_petroleum_liquids_1,7,820.2368360987649,28.7,0.0032714835966466804
MISE_small_hydroelectric_1,7,99590.40000000288,11.4,1.0000000000000289
MISE_solar_photovoltaic_1,7,2.4189684812422567e6,1181.0,0.2344594201810117
MISS_batteries_1,8,0.0,0.0,0.0
MISS_biomass_1,8,23587.199999999062,2.7,0.9999999999999603
MISS_biomass_2,8,350313.6000000061,40.1,1.0000000000000173
MISS_conventional_hydroelectric_1,8,1.16189236352313e6,521.4,0.2550834282461408
MISS_conventional_steam_coal_1,8,1.0438874970182776e7,1574.4,0.7589724111847522
MISS_conventional_steam_coal_2,8,3.328777432096655e7,4521.1,0.8428067787080282
MISS_natural_gas_fired_combined_cycle_1,8,6.4900649219549246e7,17522.5,0.42397509598823785
MISS_natural_gas_fired_combined_cycle_2,8,1.5314781051907113e6,2203.2,0.07956906302655634
MISS_natural_gas_fired_combustion_turbine_1,8,1.4423143294776138e6,4088.6,0.04038059078962826
MISS_natural_gas_fired_combustion_turbine_2,8,182998.72208983332,750.2,0.027922761819350203
MISS_natural_gas_internal_combustion_engine_1,8,136368.918998254,107.8,0.1448051512669452
MISS_natural_gas_steam_turbine_1,8,12496.040956581766,30.0,0.047680253955211256
MISS_natural_gas_steam_turbine_2,8,0.0,0.0,0.0
MISS_nuclear_1,8,4.421699480833261e7,5426.0,0.9328177637183024
MISS_onshore_wind_turbine_1,8,334791.4462245984,184.5,0.20771380316107685
MISS_petroleum_liquids_1,8,510.1770906337458,39.3,0.0014859896245006067
MISS_small_hydroelectric_1,8,22713.599999998074,2.6,0.9999999999999153
MISS_solar_photovoltaic_1,8,4.468762750809427e6,2207.9,0.23168358968518243
MISW_batteries_1,9,0.0,0.0,0.0
MISW_biomass_1,9,490963.1999999826,56.2,0.9999999999999646
MISW_biomass_2,9,89107.2000000036,10.2,1.0000000000000406
MISW_conventional_hydroelectric_1,9,224546.33394394733,82.0,0.3134580959415864
MISW_conventional_steam_coal_1,9,4.6069612745228246e7,9226.2,0.571582694659405
MISW_conventional_steam_coal_2,9,41322.62213799379,330.9,0.014294813034185888
MISW_natural_gas_fired_combined_cycle_1,9,1.654966573086811e6,1110.1,0.17065322435381972
MISW_natural_gas_fired_combined_cycle_2,9,1.7677926770851575e7,7024.6,0.28806938524942627
MISW_natural_gas_fired_combustion_turbine_1,9,11504.893048435877,316.1,0.004166251322651652
MISW_natural_gas_fired_combustion_turbine_2,9,2.075690027418058e6,5391.8,0.044067265185632115
MISW_natural_gas_fired_combustion_turbine_3,9,354002.8336538522,598.3,0.06772906967594315
MISW_natural_gas_internal_combustion_engine_1,9,888200.2940706604,683.2,0.14881627500465452
MISW_natural_gas_steam_turbine_1,9,91590.63526556292,48.0,0.21842241697564418
MISW_nuclear_1,9,2.2357552425697908e7,2928.1,0.8740287689876527
MISW_onshore_wind_turbine_1,9,3.910130937996844e7,16194.0,0.27639140940908646
MISW_petroleum_liquids_1,9,15074.617081802126,778.0,0.002217961824751718
MISW_small_hydroelectric_1,9,3.3030815999998725e6,378.1,0.9999999999999613
MISW_solar_photovoltaic_1,9,5.855033684410025e6,3131.6,0.21401809211948122
NWPP_batteries_1,10,0.0,0.0,0.0
NWPP_biomass_1,10,253344.0,29.0,1.0
NWPP_biomass_2,10,323232.0,37.0,1.0
NWPP_conventional_hydroelectric_1,10,1.356467256601568e8,31047.7,0.5001119778675306
NWPP_conventional_steam_coal_1,10,1.0317161011379777e7,1481.5,0.797160786712848
NWPP_conventional_steam_coal_2,10,836405.6996256568,147.5,0.6491010892978649
NWPP_geothermal_1,10,180181.59766211428,21.6,0.9548695778966679
NWPP_hydroelectric_pumped_storage_1,10,713404.0831329109,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,7.028623634935866e6,2382.0,0.3377659808019023
NWPP_natural_gas_fired_combined_cycle_2,10,9.624089594595985e6,4016.2,0.27430372178676776
NWPP_natural_gas_fired_combustion_turbine_1,10,135265.8806740769,724.5,0.021371610437739826
NWPP_natural_gas_fired_combustion_turbine_2,10,0.0,0.0,0.0
NWPP_natural_gas_internal_combustion_engine_1,10,338513.74636441877,309.8,0.12507838655079473
NWPP_natural_gas_steam_turbine_1,10,7187.182955379603,3.0,0.27423622387742685
NWPP_nuclear_1,10,9.330802061641637e6,1172.0,0.9113364475937352
NWPP_onshore_wind_turbine_1,10,9.47516467649581e6,4088.3,0.265296416890632
NWPP_petroleum_liquids_1,10,475.09669390351075,15.3,0.0035544953636631738
NWPP_small_hydroelectric_1,10,3.5843807999994927e6,410.3,0.9999999999998584
NWPP_solar_photovoltaic_1,10,3.2877030714343246e6,1628.1,0.23115265481105898
NYCW_batteries_1,11,0.0,0.0,0.0
NYCW_biomass_1,11,0.0,0.0,0.0
NYCW_biomass_2,11,11356.800000000241,1.3,1.0000000000000213
NYCW_natural_gas_fired_combined_cycle_1,11,4.459949894425879e6,1504.6,0.33930971687023953
NYCW_natural_gas_fired_combined_cycle_2,11,7.275765456787446e6,2828.4,0.2944592737873879
NYCW_natural_gas_fired_combustion_turbine_1,11,0.0,0.0,0.0
NYCW_natural_gas_fired_combustion_turbine_2,11,362248.3712593628,1084.3,0.03824233119409287
NYCW_natural_gas_fired_combustion_turbine_3,11,832300.1139727734,1010.9,0.09424517651970507
NYCW_natural_gas_internal_combustion_engine_1,11,57009.156320665934,37.4,0.1744859194747224
NYCW_natural_gas_steam_turbine_1,11,0.0,0.0,0.0
NYCW_petroleum_liquids_1,11,11118.550867545197,286.4,0.004443882305681587
NYCW_solar_photovoltaic_1,11,286098.57085432665,157.3,0.208196939172662
NYUP_batteries_1,12,0.0,0.0,0.0
NYUP_biomass_1,12,516297.60000002047,59.1,1.0000000000000395
NYUP_biomass_2,12,0.0,0.0,0.0
NYUP_conventional_hydroelectric_1,12,1.7260225035790846e7,3443.1,0.5738312451930073
NYUP_hydroelectric_pumped_storage_1,12,2.5104657856014487e6,1406.7,0.0
NYUP_natural_gas_fired_combined_cycle_1,12,1.3810326518630752e7,6565.9,0.240767053188734
NYUP_natural_gas_fired_combined_cycle_2,12,712310.3557119842,1836.7,0.044393399884446974
NYUP_natural_gas_fired_combustion_turbine_1,12,0.0,0.0,0.0
NYUP_natural_gas_fired_combustion_turbine_2,12,10651.444920129803,51.9,0.0234924625233124
NYUP_natural_gas_internal_combustion_engine_1,12,16691.548317789977,18.5,0.10327905849538398
NYUP_natural_gas_steam_turbine_1,12,38723.82633259565,49.2,0.09009496805247431
NYUP_nuclear_1,12,2.6882289599859256e7,3358.3,0.9162925184822839
NYUP_onshore_wind_turbine_1,12,4.1188460547291697e6,2115.0,0.22292181125622243
NYUP_petroleum_liquids_1,12,1237.3696643648932,60.3,0.002348927038276439
NYUP_small_hydroelectric_1,12,3.105648e6,355.5,1.0
NYUP_solar_photovoltaic_1,12,2.9415981112688724e6,1742.8,0.19320713536877682
PJMC_batteries_1,13,0.0,0.0,0.0
PJMC_biomass_1,13,15724.800000000616,1.8,1.000000000000039
PJMC_biomass_2,13,76003.20000000313,8.7,1.0000000000000413
PJMC_conventional_hydroelectric_1,13,30948.99557295441,11.2,0.3163121767578576
PJMC_conventional_steam_coal_1,13,0.0,0.0,0.0
PJMC_conventional_steam_coal_2,13,0.0,0.0,0.0
PJMC_natural_gas_fired_combined_cycle_1,13,1.9669380660078667e7,4843.4,0.4648659348732397
PJMC_natural_gas_fired_combined_cycle_2,13,99586.7750857846,195.0,0.058459410565056234
PJMC_natural_gas_fired_combustion_turbine_1,13,102499.52503230878,87.0,0.13486211769018777
PJMC_natural_gas_fired_combustion_turbine_2,13,3.374170347753948e6,8523.9,0.04531229228779174
PJMC_natural_gas_internal_combustion_engine_1,13,179949.56935814657,111.4,0.1849068479900198
PJMC_natural_gas_steam_turbine_1,13,1917.6800210023182,44.2,0.004966394896352116
PJMC_nuclear_1,13,8.939278281109996e7,10898.1,0.938942599177695
PJMC_onshore_wind_turbine_1,13,5.6693614380426975e6,2538.5,0.2556491495277984
PJMC_petroleum_liquids_1,13,1262.7923741506002,49.9,0.002896801786151516
PJMC_small_hydroelectric_1,13,77750.40000000011,8.9,1.0000000000000016
PJMC_solar_photovoltaic_1,13,685988.3145456932,335.1,0.23433095614728655
PJMD_batteries_1,14,0.0,0.0,0.0
PJMD_biomass_1,14,257712.0,29.5,1.0
PJMD_biomass_2,14,44553.6000000018,5.1,1.0000000000000406
PJMD_conventional_hydroelectric_1,14,618473.9130324939,613.1,0.11547220115551265
PJMD_conventional_steam_coal_1,14,0.0,0.0,0.0
PJMD_conventional_steam_coal_2,14,2.5006996317967894e6,881.0,0.32491742023778203
PJMD_hydroelectric_pumped_storage_1,14,5.618922940496244e6,3003.0,0.0
PJMD_natural_gas_fired_combined_cycle_1,14,1.3003205583541792e7,6969.3,0.2135741290521612
PJMD_natural_gas_fired_combined_cycle_2,14,789025.1299028387,730.0,0.12372439816078934
PJMD_natural_gas_fired_combustion_turbine_1,14,37182.290506122554,1484.0,0.0028680691189941297
PJMD_natural_gas_fired_combustion_turbine_2,14,11599.480384450366,59.5,0.02231561929473783
PJMD_natural_gas_fired_combustion_turbine_3,14,149587.04716098824,2240.0,0.007644222958825358
PJMD_natural_gas_internal_combustion_engine_1,14,3900.0510961076643,2.3,0.19410192188782374
PJMD_natural_gas_steam_turbine_1,14,4559.099550042198,2.4,0.21744789520576724
PJMD_nuclear_1,14,3.1892744631516363e7,3708.0,0.9845540082969665
PJMD_onshore_wind_turbine_1,14,344088.98730591085,208.0,0.18936286371706315
PJMD_petroleum_liquids_1,14,613.7136398237409,35.4,0.001984494448013483
PJMD_small_hydroelectric_1,14,33196.80000000102,3.8,1.0000000000000309
PJMD_solar_photovoltaic_1,14,1.029792673145434e7,4753.6,0.24797879067089013
PJME_batteries_1,15,0.0,0.0,0.0
PJME_biomass_1,15,585312.0,67.0,1.0
PJME_biomass_2,15,141523.1999999909,16.2,0.9999999999999356
PJME_conventional_hydroelectric_1,15,1.750058524294967e6,579.1,0.3459285305303083
PJME_conventional_steam_coal_1,15,5.133125347275359e6,1794.0,0.32752677239629646
PJME_conventional_steam_coal_2,15,895800.9088556389,563.9,0.18184308002639077
