region,marginal_price,total_demand
BASN,40.75479711908593,223174656.0
CASO,45.06690743545473,199559149.0
CANO,42.90316767488224,309235468.0
FRCC,33.03057240503979,398150391.0
ISNE,31.52408343647677,233966756.0
MISC,30.819826314921272,302266317.0
MISE,28.96127894783073,154617099.0
MISS,33.325852463576844,285422687.0
MISW,31.073067855262728,372086880.0
NWPP,60.60603516046814,372645986.0
NYCW,36.30324442729196,120232798.0
NYUP,30.100744126571,103480882.0
PJMC,33.16258195899052,168907776.0
PJMD,34.42385472266229,168177932.0
PJME,33.42708953937363,442681870.0
PJMW,29.580588622036498,466199508.0
RMRG,37.70375610879574,188991709.0
SPPC,33.47982722497663,124929928.0
SPPN,32.911989783340275,88318595.0
SPPS,32.926859224677145,210273247.0
SRCA,30.2143965059053,340830683.0
SRCE,32.57682982756841,332833523.0
SRSE,35.539527822490776,398994725.0
SRSG,37.04670078599599,258600147.0
TRE,31.527385055637907,648762932.0
TREW,29.877491870604782,31419683.0
