model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
SWITCH,BASN,Battery,2027,False,MW,0.0,0.2,0.0,0.2
SWITCH,BASN,Battery,2027,False,MWh,0.0,0.1,0.0,0.1
SWITCH,BASN,Battery,2027,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2027,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2030,False,MW,0.2,0.7,0.0,0.5
SWITCH,BASN,Battery,2030,False,MWh,0.1,0.6,0.0,0.5
SWITCH,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2035,False,MW,0.7,7.9,0.0,7.2
SWITCH,BASN,Battery,2035,False,MWh,0.6,15.8,0.0,15.1
SWITCH,BASN,Battery,2035,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2035,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2040,False,MW,7.9,823.4,0.0,815.5
SWITCH,BASN,Battery,2040,False,MWh,15.8,2464.4,0.0,2448.6
SWITCH,BASN,Battery,2040,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2040,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2045,False,MW,823.4,1222.9,0.0,399.5
SWITCH,BASN,Battery,2045,False,MWh,2464.4,2463.8,0.6,0.0
SWITCH,BASN,Battery,2045,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2045,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2050,False,MW,1222.9,1246.1,0.0,23.2
SWITCH,BASN,Battery,2050,False,MWh,2463.8,2491.4,0.0,27.6
SWITCH,BASN,Battery,2050,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2050,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Coal,2027,True,MW,3000.2,2739.3,260.9,0.0
