Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,521773.30472863064,935.8,0.0
BASN_biomass_2,1,179961.59999999273,20.6,0.9999999999999596
BASN_conventional_hydroelectric_1,1,8.557404226465747e6,2522.6,0.3883121955936714
BASN_conventional_steam_coal_1,1,9.634496357426422e6,1176.14,0.9376858688285522
BASN_conventional_steam_coal_2,1,1.5168710865327915e7,1820.88,0.9535747046541304
BASN_geothermal_1,1,4.33649084411814e6,497.8,0.9971739307067717
BASN_natural_gas_fired_combined_cycle_1,1,22433.611711978214,34.09,0.07532854381359826
BASN_natural_gas_fired_combined_cycle_2,1,2.092905417429089e7,7279.19,0.32911973251672594
BASN_natural_gas_fired_combustion_turbine_1,1,3966.965421660505,66.71,0.006806985867257206
BASN_natural_gas_fired_combustion_turbine_2,1,3152.099508041638,35.65,0.010121101020431771
BASN_natural_gas_internal_combustion_engine_1,1,3403.417767892888,13.48,0.028900991632333548
BASN_onshore_wind_turbine_1,1,3.9720211438225037e6,2029.7299999999998,0.22400651809830976
BASN_small_hydroelectric_1,1,2.0066592000000705e6,229.7,1.000000000000035
BASN_solar_photovoltaic_1,1,1.9958125662907314e7,8005.710000000001,0.28536931534615956
CANO_batteries_1,2,1.8814197809518953e6,2652.6,0.0
CANO_biomass_1,2,1.3829087999999437e6,158.3,0.9999999999999591
CANO_biomass_2,2,647337.6000000266,74.1,1.0000000000000413
CANO_conventional_hydroelectric_1,2,1.9904760917767923e7,7519.1,0.3030250136028416
CANO_geothermal_1,2,6.8274522416712195e6,782.0,0.9993998789252018
CANO_hydroelectric_pumped_storage_1,2,1.3555889935698141e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,16314.58014511547,32.71,0.05709298268106542
CANO_natural_gas_fired_combined_cycle_2,2,3.834589804580353e7,8293.83,0.5292381693791625
CANO_natural_gas_fired_combustion_turbine_1,2,4772.886676737625,74.08,0.007375093387212852
CANO_natural_gas_fired_combustion_turbine_2,2,2831.264443570008,37.42,0.008660919985743726
CANO_natural_gas_internal_combustion_engine_1,2,4832.35086225244,14.82,0.03732481214016025
CANO_onshore_wind_turbine_1,2,2.4993855738022025e6,1473.27,0.19419510918093721
CANO_petroleum_liquids_1,2,238.48718796983175,12.29,0.0022212658744734967
CANO_small_hydroelectric_1,2,2.3517312000000197e6,269.2,1.0000000000000084
CANO_solar_photovoltaic_1,2,1.5348291195120621e7,6327.91,0.2776432447115917
CASO_batteries_1,3,8.746247402183574e6,8929.3,0.0
CASO_biomass_1,3,1.1985792000000493e6,137.2,1.0000000000000413
CASO_biomass_2,3,207916.80000000657,23.8,1.0000000000000318
CASO_conventional_hydroelectric_1,3,3.3518226353728445e6,1346.4,0.28496682336019474
CASO_conventional_steam_coal_1,3,468428.2785243727,55.73,0.9621470146741418
CASO_geothermal_1,3,1.5579776860415202e6,178.6,0.99854387787795
CASO_hydroelectric_pumped_storage_1,3,1.4452899017023884e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,10232.727162557718,31.46,0.03723231591601041
CASO_natural_gas_fired_combined_cycle_2,3,3.7848219520114206e7,7478.88,0.5792903095965951
CASO_natural_gas_fired_combustion_turbine_1,3,6566.1975714520695,42.43,0.017714475132744142
CASO_natural_gas_fired_combustion_turbine_2,3,19345.46316209277,124.63,0.01776821953613903
CASO_natural_gas_internal_combustion_engine_1,3,9466.007843460678,13.23,0.08190197799654637
CASO_natural_gas_steam_turbine_1,3,16244.314918750533,12.06,0.1541847664033174
CASO_onshore_wind_turbine_1,3,1.3911471785840776e7,4527.71,0.35170767969146427
CASO_small_hydroelectric_1,3,934752.0,107.0,1.0
CASO_solar_photovoltaic_1,3,3.159792899954551e7,13796.2,0.2621721236388119
FRCC_batteries_1,4,80156.37136801293,555.2,0.0
FRCC_biomass_1,4,1.279824e6,146.5,1.0
FRCC_biomass_2,4,1.190716799999951e6,136.3,0.9999999999999588
FRCC_conventional_hydroelectric_1,4,116777.31211905423,43.5,0.30729577733320235
FRCC_conventional_steam_coal_1,4,1.0132725911681231e6,116.15,0.9986066543989582
FRCC_natural_gas_fired_combined_cycle_1,4,1.8999793822887397e8,34732.1,0.626188691167095
