region,marginal_price,total_demand
BASN,38.205152364122746,223174656.0
CASO,43.24507320790196,199559149.0
CANO,44.21301222700337,309235468.0
FRCC,33.5833651482584,398150391.0
ISNE,27.285393294443953,233966756.0
MISC,31.55993841189225,302266317.0
MISE,32.31590245859026,154617099.0
MISS,33.70491255780342,285422687.0
MISW,30.027296905015717,372086880.0
NWPP,50.928963550703884,372645986.0
NYCW,47.49309818929696,120232798.0
NYUP,26.66428745365189,103480882.0
PJMC,35.06308466299497,168907776.0
PJMD,39.658868766817136,168177932.0
PJME,37.63347973654632,442681870.0
PJMW,32.95483851813702,466199508.0
RMRG,31.032753664807206,188991709.0
SPPC,32.68913221815854,124929928.0
SPPN,31.47465173503657,88318595.0
SPPS,29.57220298420729,210273247.0
SRCA,37.54744663911744,340830683.0
SRCE,34.027562770594606,332833523.0
SRSE,35.618535579825995,398994725.0
SRSG,36.38451535236467,258600147.0
TRE,28.980779314747746,648762932.0
TREW,25.168169544442442,31419683.0
