region,marginal_price,total_demand
BASN,50.95598076193186,117622650.0
CASO,62.33454941567398,115510879.0
CANO,63.52601062348561,178550343.0
FRCC,32.58362964599864,263664150.0
ISNE,28.943624554507323,149354094.0
MISC,26.235951764234795,200796305.0
MISE,29.756826078573038,108618551.0
MISS,26.938981655071487,185407544.0
MISW,23.606135515569253,244560055.0
NWPP,61.1881674098109,213747716.0
NYCW,33.907182671054336,83015898.0
NYUP,22.193054826033787,74762455.0
PJMC,25.911486926931847,125041636.0
PJMD,30.38138137393689,116835353.0
PJME,26.687598023048963,308414943.0
PJMW,28.890005428601185,328889729.0
RMRG,40.25787309219366,100288099.0
SPPC,22.509461627164942,83557695.0
SPPN,20.77935523450266,54220969.0
SPPS,22.112049991176015,131322851.0
SRCA,32.442510021014634,228687588.0
SRCE,27.049372729958453,225061849.0
SRSE,31.768258992974364,255962582.0
SRSG,48.3448271420573,147664933.0
TRE,22.991921843668162,442846698.0
TREW,20.496455513454038,20819394.0
