model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
SWITCH,BASN,Battery,2027,False,MW,0.0,5.2,0.0,5.2
SWITCH,BASN,Battery,2027,False,MWh,0.0,3.3,0.0,3.3
SWITCH,BASN,Battery,2027,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2027,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2030,False,MW,5.2,0.6,4.7,0.0
SWITCH,BASN,Battery,2030,False,MWh,3.3,3.3,0.0,0.0
SWITCH,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2035,False,MW,0.6,1.6,0.0,1.1
SWITCH,BASN,Battery,2035,False,MWh,3.3,3.3,0.0,0.0
SWITCH,BASN,Battery,2035,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2035,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2040,False,MW,1.6,901.7,0.0,900.0
SWITCH,BASN,Battery,2040,False,MWh,3.3,1803.4,0.0,1800.1
SWITCH,BASN,Battery,2040,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2040,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2045,False,MW,901.7,1633.0,0.0,731.3
SWITCH,BASN,Battery,2045,False,MWh,1803.4,1800.1,3.3,0.0
SWITCH,BASN,Battery,2045,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2045,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Battery,2050,False,MW,1633.0,2260.7,0.0,627.7
SWITCH,BASN,Battery,2050,False,MWh,1800.1,3882.0,0.0,2081.9
SWITCH,BASN,Battery,2050,True,MW,935.8,935.8,0.0,0.0
SWITCH,BASN,Battery,2050,True,MWh,2195.6,2195.6,0.0,0.0
SWITCH,BASN,Coal,2027,True,MW,3000.2,2999.6,0.6,0.0
SWITCH,BASN,Coal,2030,True,MW,2999.6,3000.2,0.0,0.6
SWITCH,BASN,Coal,2035,True,MW,3000.2,3000.2,0.0,0.0
SWITCH,BASN,Coal,2040,True,MW,3000.2,2091.2,909.0,0.0
SWITCH,BASN,Coal,2045,True,MW,2091.2,2091.2,0.0,0.0
SWITCH,BASN,Coal,2050,True,MW,2091.2,2091.2,0.0,0.0
SWITCH,BASN,Distributed Solar,2027,True,MW,1193.0,1193.0,0.0,0.0
SWITCH,BASN,Distributed Solar,2030,True,MW,1193.0,1642.0,0.0,449.0
SWITCH,BASN,Distributed Solar,2035,True,MW,1642.0,2008.0,0.0,366.0
SWITCH,BASN,Distributed Solar,2040,True,MW,2008.0,2011.0,0.0,3.0
SWITCH,BASN,Distributed Solar,2045,True,MW,2011.0,2029.0,0.0,18.0
SWITCH,BASN,Distributed Solar,2050,True,MW,2029.0,2057.0,0.0,28.0
SWITCH,BASN,Geothermal,2027,True,MW,462.4,962.0,0.0,499.6
SWITCH,BASN,Geothermal,2030,True,MW,962.0,962.0,0.0,0.0
SWITCH,BASN,Geothermal,2035,True,MW,962.0,962.0,0.0,0.0
SWITCH,BASN,Geothermal,2040,True,MW,962.0,962.0,0.0,0.0
SWITCH,BASN,Geothermal,2045,True,MW,962.0,962.0,0.0,0.0
SWITCH,BASN,Geothermal,2050,True,MW,962.0,962.0,0.0,0.0
SWITCH,BASN,Hydro,2027,True,MW,2662.7,3017.1,0.0,354.4
SWITCH,BASN,Hydro,2030,True,MW,3017.1,3017.1,0.0,0.0
SWITCH,BASN,Hydro,2035,True,MW,3017.1,3017.1,0.0,0.0
SWITCH,BASN,Hydro,2040,True,MW,3017.1,3017.1,0.0,0.0
SWITCH,BASN,Hydro,2045,True,MW,3017.1,3017.1,0.0,0.0
SWITCH,BASN,Hydro,2050,True,MW,3017.1,3017.1,0.0,0.0
SWITCH,BASN,Hydrogen,2027,False,MW,0.0,0.7,0.0,0.7
SWITCH,BASN,Hydrogen,2030,False,MW,0.7,0.0,0.7,0.0
SWITCH,BASN,Hydrogen,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Hydrogen,2040,False,MW,0.0,0.7,0.0,0.7
SWITCH,BASN,Hydrogen,2045,False,MW,0.7,0.7,0.0,0.0
SWITCH,BASN,Hydrogen,2050,False,MW,0.7,0.7,0.0,0.0
SWITCH,BASN,Natural Gas CC,2027,False,MW,0.0,0.8,0.0,0.8
SWITCH,BASN,Natural Gas CC,2027,True,MW,8312.3,7308.7,1003.6,0.0
SWITCH,BASN,Natural Gas CC,2030,False,MW,0.8,0.8,0.0,0.0
SWITCH,BASN,Natural Gas CC,2030,True,MW,7308.7,7294.0,18.9,4.2
SWITCH,BASN,Natural Gas CC,2035,False,MW,0.8,0.8,0.0,0.0
SWITCH,BASN,Natural Gas CC,2035,True,MW,7294.0,8029.2,0.0,735.2
SWITCH,BASN,Natural Gas CC,2040,False,MW,0.8,0.8,0.0,0.0
SWITCH,BASN,Natural Gas CC,2040,True,MW,8029.2,8029.2,0.0,0.0
SWITCH,BASN,Natural Gas CC,2045,False,MW,0.8,5466.4,0.0,5465.6
SWITCH,BASN,Natural Gas CC,2045,True,MW,8029.2,8029.2,0.0,0.0
SWITCH,BASN,Natural Gas CC,2050,False,MW,5466.4,9164.1,0.0,3697.6
SWITCH,BASN,Natural Gas CC,2050,True,MW,8029.2,8029.2,0.0,0.0
SWITCH,BASN,Natural Gas CT,2027,False,MW,0.0,0.5,0.0,0.5
SWITCH,BASN,Natural Gas CT,2027,True,MW,2183.0,50.3,2132.7,0.0
SWITCH,BASN,Natural Gas CT,2030,False,MW,0.5,0.0,0.5,0.0
SWITCH,BASN,Natural Gas CT,2030,True,MW,50.3,0.0,50.3,0.0
SWITCH,BASN,Natural Gas CT,2035,False,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Natural Gas CT,2035,True,MW,0.0,1883.7,0.0,1883.7
SWITCH,BASN,Natural Gas CT,2040,False,MW,0.0,0.5,0.0,0.5
SWITCH,BASN,Natural Gas CT,2040,True,MW,1883.7,2158.9,0.0,275.2
SWITCH,BASN,Natural Gas CT,2045,False,MW,0.5,0.5,0.0,0.0
SWITCH,BASN,Natural Gas CT,2045,True,MW,2158.9,2158.9,0.0,0.0
SWITCH,BASN,Natural Gas CT,2050,False,MW,0.5,0.5,0.0,0.0
SWITCH,BASN,Natural Gas CT,2050,True,MW,2158.9,2158.9,0.0,0.0
SWITCH,BASN,Natural Gas Other,2027,True,MW,689.9,12.0,677.9,0.0
SWITCH,BASN,Natural Gas Other,2030,True,MW,12.0,0.0,12.0,0.0
SWITCH,BASN,Natural Gas Other,2035,True,MW,0.0,0.0,0.0,0.0
SWITCH,BASN,Natural Gas Other,2040,True,MW,0.0,221.4,0.0,221.4
SWITCH,BASN,Natural Gas Other,2045,True,MW,221.4,221.4,0.0,0.0
SWITCH,BASN,Natural Gas Other,2050,True,MW,221.4,346.1,0.0,124.7
SWITCH,BASN,Nuclear,2027,False,MW,0.0,0.2,0.0,0.2
SWITCH,BASN,Nuclear,2030,False,MW,0.2,0.2,0.0,0.0
SWITCH,BASN,Nuclear,2035,False,MW,0.2,0.2,0.0,0.0
SWITCH,BASN,Nuclear,2040,False,MW,0.2,0.2,0.0,0.0
SWITCH,BASN,Nuclear,2045,False,MW,0.2,0.2,0.0,0.0
SWITCH,BASN,Nuclear,2050,False,MW,0.2,0.2,0.0,0.0
SWITCH,BASN,Other,2027,True,MW,54.5,52.3,18.1,15.9
SWITCH,BASN,Other,2030,True,MW,52.3,44.6,7.7,0.0
SWITCH,BASN,Other,2035,True,MW,44.6,44.6,0.0,0.0
SWITCH,BASN,Other,2040,True,MW,44.6,95.8,0.0,51.2
SWITCH,BASN,Other,2045,True,MW,95.8,95.8,0.0,0.0
SWITCH,BASN,Other,2050,True,MW,95.8,95.8,0.0,0.0
SWITCH,BASN,Solar,2027,False,MW,0.0,96.4,0.0,96.4
SWITCH,BASN,Solar,2027,True,MW,8006.2,8006.0,0.1,0.0
SWITCH,BASN,Solar,2030,False,MW,96.4,96.6,0.0,0.2
SWITCH,BASN,Solar,2030,True,MW,8006.0,8006.2,0.0,0.1
SWITCH,BASN,Solar,2035,False,MW,96.6,8103.5,0.0,8006.8
SWITCH,BASN,Solar,2035,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2040,False,MW,8103.5,16890.5,0.0,8787.0
SWITCH,BASN,Solar,2040,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2045,False,MW,16890.5,16890.5,0.0,0.0
SWITCH,BASN,Solar,2045,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Solar,2050,False,MW,16890.5,20150.0,0.0,3259.5
SWITCH,BASN,Solar,2050,True,MW,8006.2,8006.2,0.0,0.0
SWITCH,BASN,Wind,2027,False,MW,0.0,11630.4,0.0,11630.4
SWITCH,BASN,Wind,2027,True,MW,2030.1,2029.6,0.5,0.0
SWITCH,BASN,Wind,2030,False,MW,11630.4,16752.2,0.0,5121.9
SWITCH,BASN,Wind,2030,True,MW,2029.6,2030.1,0.0,0.5
SWITCH,BASN,Wind,2035,False,MW,16752.2,16752.2,0.0,0.0
SWITCH,BASN,Wind,2035,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2040,False,MW,16752.2,19728.7,0.0,2976.4
SWITCH,BASN,Wind,2040,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2045,False,MW,19728.7,19728.7,0.0,0.0
SWITCH,BASN,Wind,2045,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,BASN,Wind,2050,False,MW,19728.7,19728.7,0.0,0.0
SWITCH,BASN,Wind,2050,True,MW,2030.1,2030.1,0.0,0.0
SWITCH,CANO,Battery,2027,False,MW,0.0,4.9,0.0,4.9
SWITCH,CANO,Battery,2027,False,MWh,0.0,3.3,0.0,3.3
SWITCH,CANO,Battery,2027,True,MW,2650.6,2652.6,0.0,2.0
SWITCH,CANO,Battery,2027,True,MWh,10570.7,10574.7,0.0,4.0
SWITCH,CANO,Battery,2030,False,MW,4.9,0.5,4.3,0.0
SWITCH,CANO,Battery,2030,False,MWh,3.3,3.3,0.0,0.0
SWITCH,CANO,Battery,2030,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2030,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2035,False,MW,0.5,0.7,0.0,0.1
SWITCH,CANO,Battery,2035,False,MWh,3.3,3.3,0.0,0.0
SWITCH,CANO,Battery,2035,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2035,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2040,False,MW,0.7,4.9,0.0,4.2
SWITCH,CANO,Battery,2040,False,MWh,3.3,4.9,0.0,1.6
SWITCH,CANO,Battery,2040,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2040,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2045,False,MW,4.9,0.8,4.1,0.0
SWITCH,CANO,Battery,2045,False,MWh,4.9,1.6,3.3,0.0
SWITCH,CANO,Battery,2045,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2045,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,Battery,2050,False,MW,0.8,1.6,0.0,0.8
SWITCH,CANO,Battery,2050,False,MWh,1.6,1.6,0.0,0.0
SWITCH,CANO,Battery,2050,True,MW,2652.6,2652.6,0.0,0.0
SWITCH,CANO,Battery,2050,True,MWh,10574.7,10574.7,0.0,0.0
SWITCH,CANO,CCS,2027,False,MW,0.0,0.5,0.0,0.5
SWITCH,CANO,CCS,2030,False,MW,0.5,0.5,0.0,0.0
SWITCH,CANO,CCS,2035,False,MW,0.5,0.5,0.0,0.0
SWITCH,CANO,CCS,2040,False,MW,0.5,0.5,0.0,0.0
SWITCH,CANO,CCS,2045,False,MW,0.5,0.5,0.0,0.0
SWITCH,CANO,CCS,2050,False,MW,0.5,0.5,0.0,0.0
SWITCH,CANO,Distributed Solar,2027,True,MW,4470.0,4478.0,0.0,8.0
SWITCH,CANO,Distributed Solar,2030,True,MW,4478.0,5329.0,0.0,851.0
SWITCH,CANO,Distributed Solar,2035,True,MW,5329.0,6167.0,0.0,838.0
SWITCH,CANO,Distributed Solar,2040,True,MW,6167.0,6426.0,0.0,259.0
SWITCH,CANO,Distributed Solar,2045,True,MW,6426.0,6500.0,0.0,74.0
SWITCH,CANO,Distributed Solar,2050,True,MW,6500.0,6562.0,0.0,62.0
SWITCH,CANO,Geothermal,2027,True,MW,0.0,987.4,0.0,987.4
SWITCH,CANO,Geothermal,2030,True,MW,987.4,987.4,0.0,0.0
SWITCH,CANO,Geothermal,2035,True,MW,987.4,987.4,0.0,0.0
SWITCH,CANO,Geothermal,2040,True,MW,987.4,987.4,0.0,0.0
SWITCH,CANO,Geothermal,2045,True,MW,987.4,987.4,0.0,0.0
SWITCH,CANO,Geothermal,2050,True,MW,987.4,987.4,0.0,0.0
SWITCH,CANO,Hydro,2027,True,MW,9703.8,10541.1,0.0,837.3
SWITCH,CANO,Hydro,2027,True,MWh,35292.0,35291.9,0.1,0.0
SWITCH,CANO,Hydro,2030,True,MW,10541.1,10541.1,0.0,0.0
SWITCH,CANO,Hydro,2030,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2035,True,MW,10541.1,10541.1,0.0,0.0
SWITCH,CANO,Hydro,2035,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2040,True,MW,10541.1,10541.1,0.0,0.0
SWITCH,CANO,Hydro,2040,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2045,True,MW,10541.1,10541.1,0.0,0.0
SWITCH,CANO,Hydro,2045,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydro,2050,True,MW,10541.1,10541.1,0.0,0.0
SWITCH,CANO,Hydro,2050,True,MWh,35291.9,35291.9,0.0,0.0
SWITCH,CANO,Hydrogen,2027,False,MW,0.0,0.6,0.0,0.6
SWITCH,CANO,Hydrogen,2030,False,MW,0.6,0.0,0.6,0.0
SWITCH,CANO,Hydrogen,2035,False,MW,0.0,0.0,0.0,0.0
