period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2027,502121.4722682646,SWITCH,BASN,BASN_batteries_1,Battery,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,14985.687772445486,SWITCH,BASN,BASN_battery_moderate_0,Battery,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,50946.14672010725,SWITCH,BASN,BASN_biomass_1,Other,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,165352.6976331101,SWITCH,BASN,BASN_biomass_2,Other,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,8575120.156852389,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,9355406.376583438,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,14939877.923002776,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,2821604.7142282757,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,4338925.8700537635,SWITCH,BASN,BASN_geothermal_1,Geothermal,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,207.7144122595154,SWITCH,BASN,BASN_hydrogen_fframe_ct_moderate_0,Hydro,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,350.9409716467811,SWITCH,BASN,BASN_hydrogen_hframe_cc_moderate_0,Hydro,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,11976018.832233654,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,8620.273347863511,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,8439.935796903694,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,30681389.103809834,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,32110.284540999713,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,25850.630230396808,SWITCH,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
2027,13700.22576064669,SWITCH,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,current_policies_52_week_retire_high_ccs,all,MWh,2027
