Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,431949.92727489275,620.7,0.0
BASN_biomass_2,1,167469.11999999094,19.17,0.9999999999999458
BASN_conventional_hydroelectric_1,1,8.051105051108111e6,2390.87,0.3854667350880159
BASN_conventional_steam_coal_1,1,9.287496828304434e6,1178.16,0.9023640385806586
BASN_conventional_steam_coal_2,1,1.4685890399182534e7,1821.98,0.9226650115306553
BASN_geothermal_1,1,4.798405008762052e6,554.58,0.990421530914753
BASN_natural_gas_fired_combined_cycle_2,1,1.9179604094515484e7,7293.28,0.30102608177138007
BASN_natural_gas_fired_combustion_turbine_1,1,989.070800512302,20.5,0.005522820068973365
BASN_natural_gas_fired_combustion_turbine_2,1,1435.812876050232,12.65,0.012992558854643834
BASN_onshore_wind_turbine_1,1,3.9342522048358344e6,2029.9999999999998,0.22184698641462286
BASN_petroleum_liquids_1,1,49.98309307213229,25.8,0.00022176387234916858
BASN_small_hydroelectric_1,1,1.626905279999968e6,186.23,0.9999999999999802
BASN_solar_photovoltaic_1,1,1.993314054323513e7,8006.2,0.2849946245762546
CANO_batteries_1,2,2.391735477996023e6,2645.54,0.0
CANO_biomass_2,2,609073.9200000088,69.72,1.0000000000000144
CANO_conventional_hydroelectric_1,2,1.49666264388138e7,5661.79,0.3025920660039847
CANO_natural_gas_fired_combined_cycle_2,2,4.498955638171825e7,8296.6,0.6207245657224938
CANO_natural_gas_fired_combustion_turbine_1,2,125292.08754149087,1527.07,0.00939187004381464
CANO_onshore_wind_turbine_1,2,2.4392136944937767e6,1441.9,0.19364312490852784
CANO_small_hydroelectric_1,2,2.0994355200000526e6,240.32,1.000000000000025
CANO_solar_photovoltaic_1,2,1.5340303371540094e7,6328.21,0.2774855934850594
CASO_batteries_1,3,9.408639599103088e6,8924.87,0.0
CASO_biomass_1,3,890373.1200000382,101.92,1.0000000000000429
CASO_biomass_2,3,180573.1199999905,20.67,0.9999999999999474
CASO_conventional_hydroelectric_1,3,1.8453028522694057e6,747.21,0.28269124088333347
CASO_geothermal_1,3,204829.97754186895,23.73,0.9880596265655606
CASO_natural_gas_fired_combined_cycle_2,3,3.736562229056411e7,7481.39,0.5717119885172894
CASO_natural_gas_fired_combustion_turbine_2,3,696552.7871125244,4569.72,0.017448247722703657
CASO_natural_gas_internal_combustion_engine_1,3,40804.401823657594,50.2,0.09304449287022604
CASO_onshore_wind_turbine_1,3,1.2441131060438445e7,4055.49,0.35115908193503337
CASO_petroleum_liquids_1,3,69.87781549809203,14.1,0.0005672932050802421
CASO_small_hydroelectric_1,3,575527.6800000175,65.88,1.0000000000000304
CASO_solar_photovoltaic_1,3,3.1588153541121505e7,13797.1,0.2620739189047205
FRCC_batteries_1,4,137339.61886642445,550.21,0.0
FRCC_biomass_1,4,740987.5200000386,84.82,1.000000000000052
FRCC_conventional_hydroelectric_1,4,116799.64941951045,43.5,0.3073545572278811
FRCC_conventional_steam_coal_1,4,1.636608838787276e7,1874.25,0.9995505154365018
FRCC_natural_gas_fired_combined_cycle_1,4,1.7329227518364298e8,31113.3,0.6375591776345677
FRCC_natural_gas_fired_combined_cycle_2,4,38497.29322693052,30.51,0.14443596987255466
FRCC_natural_gas_fired_combustion_turbine_1,4,1.7612918433200466e6,7509.96,0.026846092030199744
FRCC_natural_gas_fired_combustion_turbine_2,4,668.7104159350359,12.06,0.006347141125255855
FRCC_nuclear_1,4,3.24649146661849e7,3716.24,0.9999951340378367
FRCC_solar_photovoltaic_1,4,1.857229054250762e7,9458.53,0.22476526574284564
ISNE_batteries_1,5,281436.8609971257,367.38,0.0
ISNE_biomass_2,5,194812.8000000053,22.3,1.0000000000000273
ISNE_conventional_hydroelectric_1,5,3.3488008019430595e6,875.45,0.4378701526424636
ISNE_conventional_steam_coal_2,5,2.807855915329677e6,329.96,0.9740940666140508
ISNE_hydroelectric_pumped_storage_1,5,187973.0121484128,126.35,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.953212426782049e6,3370.61,0.06633280283397255
ISNE_natural_gas_fired_combined_cycle_2,5,3.8323589239854395e7,10513.2,0.417271405723978
ISNE_natural_gas_fired_combustion_turbine_1,5,156905.01223462995,1338.29,0.01342066262168243
ISNE_natural_gas_fired_combustion_turbine_2,5,21076.103695839935,437.58,0.00551340933655751
ISNE_natural_gas_internal_combustion_engine_1,5,46578.490650641324,63.62,0.08380677355316776
ISNE_natural_gas_steam_turbine_1,5,8759.199842625865,41.9,0.02392972934704628
ISNE_nuclear_1,5,2.7397523471323345e7,3321.95,0.9440730297028688
ISNE_offshore_wind_turbine_1,5,114143.9013612414,29.3,0.4459359308828456
ISNE_onshore_wind_turbine_1,5,3.292789410373098e6,1542.05,0.2444290812493177
ISNE_petroleum_liquids_1,5,25392.38018332482,1043.39,0.0027857626829343664
ISNE_small_hydroelectric_1,5,2.363612160000039e6,270.56,1.0000000000000164
ISNE_solar_photovoltaic_1,5,5.200905590376004e6,2681.87,0.2219875523944525
MISC_batteries_1,6,25255.339562021683,36.3,0.0
MISC_biomass_1,6,302702.40000000095,34.65,1.000000000000003
MISC_biomass_2,6,300867.8400000093,34.44,1.0000000000000309
MISC_conventional_hydroelectric_1,6,1.1381723237549812e6,350.33,0.37189305360694624
MISC_conventional_steam_coal_2,6,5.9061419403082006e7,8330.72,0.8115377317915087
MISC_natural_gas_fired_combined_cycle_1,6,2.4799454275047123e6,1583.53,0.1792681774460964
MISC_natural_gas_fired_combined_cycle_2,6,1.0311439639321825e7,3192.46,0.36972704013594737
MISC_natural_gas_fired_combustion_turbine_1,6,548193.0603160674,577.24,0.10870874701006854
MISC_natural_gas_fired_combustion_turbine_2,6,4.635700850119939e6,9055.11,0.058601542370062765
MISC_natural_gas_internal_combustion_engine_1,6,51070.20814504894,76.7,0.07621836681293749
MISC_nuclear_1,6,1.9626485623720944e7,2349.27,0.9563062240022772
MISC_onshore_wind_turbine_1,6,1.40551205862519e7,6436.84,0.24994775285407367
MISC_small_hydroelectric_1,6,125099.51999999788,14.32,0.9999999999999829
MISC_solar_photovoltaic_1,6,8.026179741151593e6,3922.21,0.23424234831705273
MISE_biomass_1,7,519180.4800000782,59.43,1.0000000000001508
MISE_biomass_2,7,425443.19999997295,48.7,0.9999999999999363
MISE_conventional_hydroelectric_1,7,96251.93058932679,32.3,0.3411098822754241
MISE_conventional_steam_coal_1,7,3.529263082046641e7,4358.17,0.9269733337932292
