region,marginal_price,total_demand
BASN,40.96531143223541,154373402.0
CASO,51.68459159082841,141559023.0
CANO,52.64207138625261,219102255.0
FRCC,40.627635544030895,305390926.0
ISNE,54.73153085396055,185912448.0
MISC,38.18530415152402,243790194.0
MISE,41.985115637091496,126030936.0
MISS,37.13441941542355,223677305.0
MISW,36.558119998963235,294141188.0
NWPP,28.063744000449965,260888430.0
NYCW,66.48607737227331,97972883.0
NYUP,25.83877466513056,85901025.0
PJMC,38.93082597576556,142659266.0
PJMD,43.272819891834,134294097.0
PJME,42.24529233281171,361596414.0
PJMW,40.628291110986694,381430632.0
RMRG,29.375246177294432,129535560.0
SPPC,33.4900737633599,101870818.0
SPPN,30.374632495552454,67540119.0
SPPS,32.12333470763553,162787259.0
SRCA,43.74690770665896,263347390.0
SRCE,39.446015885783325,264512199.0
SRSE,44.505233710974636,303257618.0
SRSG,43.74670211266454,183293864.0
TRE,34.47118263546595,515960435.0
TREW,29.759998358892318,24676479.0
