model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
TEMOA,BASN,Battery,2027,True,MW,935.8,620.7,315.1,0.0
TEMOA,BASN,Battery,2027,True,MWh,2195.6,1456.3,739.3,0.0
TEMOA,BASN,Battery,2030,False,MW,0.0,45.6,0.0,0.0
TEMOA,BASN,Battery,2030,False,MWh,0.0,164.5,0.0,0.0
TEMOA,BASN,Battery,2030,True,MW,620.7,614.3,6.4,0.0
TEMOA,BASN,Battery,2030,True,MWh,1456.3,1441.3,15.0,0.0
TEMOA,BASN,Battery,2035,False,MW,45.6,1069.6,0.0,1024.1
TEMOA,BASN,Battery,2035,False,MWh,164.5,2347.5,0.0,2183.1
TEMOA,BASN,Battery,2035,True,MW,614.3,614.1,0.2,0.0
TEMOA,BASN,Battery,2035,True,MWh,1441.3,1440.8,0.5,0.0
TEMOA,BASN,Battery,2040,False,MW,1069.6,4788.3,0.0,3718.6
TEMOA,BASN,Battery,2040,False,MWh,2347.5,15895.0,0.0,13547.4
TEMOA,BASN,Battery,2045,False,MW,4767.3,4801.0,0.0,33.7
TEMOA,BASN,Battery,2045,False,MWh,15768.9,15843.2,0.0,74.3
TEMOA,BASN,Battery,2050,False,MW,4801.0,5139.2,47.6,385.8
TEMOA,BASN,Battery,2050,False,MWh,15843.2,16424.5,190.4,771.7
TEMOA,BASN,Coal,2027,True,MW,3000.2,3000.1,0.1,0.0
TEMOA,BASN,Coal,2030,True,MW,3000.1,2999.8,0.3,0.0
TEMOA,BASN,Coal,2035,True,MW,2999.8,2999.8,0.0,0.0
TEMOA,BASN,Coal,2040,True,MW,2999.8,2091.2,908.6,0.0
TEMOA,BASN,Coal,2045,True,MW,2091.2,1199.1,892.1,0.0
TEMOA,BASN,Coal,2050,True,MW,728.2,728.2,0.0,0.0
TEMOA,BASN,Distributed Solar,2027,True,MW,1193.0,1192.9,0.1,0.0
TEMOA,BASN,Distributed Solar,2030,True,MW,1192.9,1641.5,0.0,448.6
TEMOA,BASN,Distributed Solar,2035,True,MW,1641.5,2007.9,0.0,366.4
TEMOA,BASN,Distributed Solar,2040,True,MW,2007.9,2010.8,0.0,2.9
TEMOA,BASN,Distributed Solar,2045,True,MW,2010.8,2028.8,0.0,18.0
TEMOA,BASN,Distributed Solar,2050,True,MW,2028.8,2057.0,0.0,28.2
TEMOA,BASN,Geothermal,2027,True,MW,462.4,554.6,0.0,92.2
TEMOA,BASN,Geothermal,2030,True,MW,554.6,519.3,35.3,0.0
TEMOA,BASN,Geothermal,2035,True,MW,519.3,496.7,22.6,0.0
TEMOA,BASN,Geothermal,2040,True,MW,496.7,344.7,152.0,0.0
TEMOA,BASN,Geothermal,2045,True,MW,344.7,181.8,162.9,0.0
TEMOA,BASN,Hydro,2027,True,MW,2662.7,2577.1,98.7,13.1
TEMOA,BASN,Hydro,2030,True,MW,2577.1,2563.5,13.6,0.0
TEMOA,BASN,Hydro,2035,True,MW,2563.5,2563.2,0.3,0.0
TEMOA,BASN,Hydro,2040,True,MW,2563.2,1871.6,691.7,0.0
TEMOA,BASN,Hydro,2045,True,MW,1871.6,1741.3,130.3,0.0
TEMOA,BASN,Hydro,2050,True,MW,1741.3,1571.6,169.8,0.0
TEMOA,BASN,Hydrogen,2045,False,MW,0.0,30.8,0.0,0.0
TEMOA,BASN,Hydrogen,2050,False,MW,30.8,36.9,0.0,6.1
TEMOA,BASN,Natural Gas CC,2027,True,MW,7294.0,7293.3,0.7,0.0
TEMOA,BASN,Natural Gas CC,2030,True,MW,7293.3,7292.5,0.8,0.0
TEMOA,BASN,Natural Gas CC,2035,False,MW,0.0,3156.3,0.0,0.0
TEMOA,BASN,Natural Gas CC,2035,True,MW,7292.5,7292.4,0.0,0.0
TEMOA,BASN,Natural Gas CC,2040,False,MW,3156.3,6612.2,0.0,3455.9
TEMOA,BASN,Natural Gas CC,2040,True,MW,7292.4,6794.0,498.5,0.0
TEMOA,BASN,Natural Gas CC,2045,False,MW,6612.2,10890.6,0.0,4278.4
TEMOA,BASN,Natural Gas CC,2045,True,MW,6794.0,6793.8,0.1,0.0
TEMOA,BASN,Natural Gas CC,2050,False,MW,10890.6,16850.8,0.0,5960.2
TEMOA,BASN,Natural Gas CC,2050,True,MW,6793.8,6793.8,0.0,0.0
TEMOA,BASN,Natural Gas CT,2027,True,MW,2183.0,33.2,2149.8,0.0
TEMOA,BASN,Natural Gas CT,2030,True,MW,33.2,29.8,3.3,0.0
TEMOA,BASN,Natural Gas CT,2035,True,MW,29.8,29.7,0.1,0.0
TEMOA,BASN,Natural Gas CT,2040,True,MW,29.7,29.7,0.0,0.0
TEMOA,BASN,Natural Gas CT,2045,True,MW,29.7,29.3,0.4,0.0
TEMOA,BASN,Natural Gas CT,2050,True,MW,29.3,29.2,0.1,0.0
TEMOA,BASN,Other,2027,True,MW,46.4,45.0,1.4,0.0
TEMOA,BASN,Other,2030,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2035,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2040,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2045,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Other,2050,True,MW,45.0,45.0,0.0,0.0
TEMOA,BASN,Solar,2027,True,MW,8006.2,8006.2,0.0,0.0
TEMOA,BASN,Solar,2030,False,MW,0.0,465.7,0.0,0.0
TEMOA,BASN,Solar,2030,True,MW,8006.2,8006.1,0.1,0.0
TEMOA,BASN,Solar,2035,False,MW,465.7,11105.2,0.0,10639.5
TEMOA,BASN,Solar,2035,True,MW,8006.1,8006.1,0.0,0.0
TEMOA,BASN,Solar,2040,False,MW,11105.2,20310.1,0.0,9205.0
TEMOA,BASN,Solar,2040,True,MW,8006.1,7933.9,72.2,0.0
TEMOA,BASN,Solar,2045,False,MW,20310.1,20419.0,0.0,108.9
TEMOA,BASN,Solar,2045,True,MW,7933.9,7064.9,869.0,0.0
TEMOA,BASN,Solar,2050,False,MW,20419.0,26041.7,1.8,5624.5
TEMOA,BASN,Solar,2050,True,MW,7064.9,4272.4,2792.5,0.0
TEMOA,BASN,Wind,2027,False,MW,0.0,12641.5,0.0,12641.5
TEMOA,BASN,Wind,2027,True,MW,2030.1,2030.0,0.1,0.0
TEMOA,BASN,Wind,2030,False,MW,12641.5,16811.5,0.0,4069.8
TEMOA,BASN,Wind,2030,True,MW,2030.0,2029.5,0.5,0.0
TEMOA,BASN,Wind,2035,False,MW,16811.5,16887.1,0.0,75.6
TEMOA,BASN,Wind,2035,True,MW,2029.5,2019.5,9.9,0.0
TEMOA,BASN,Wind,2040,False,MW,16887.1,17010.9,0.0,123.8
TEMOA,BASN,Wind,2040,True,MW,2019.5,1454.0,565.6,0.0
TEMOA,BASN,Wind,2045,False,MW,17010.9,17061.8,1.5,52.4
TEMOA,BASN,Wind,2045,True,MW,1454.0,583.4,870.6,0.0
TEMOA,BASN,Wind,2050,False,MW,17061.8,17065.5,27.4,31.1
TEMOA,BASN,Wind,2050,True,MW,583.4,520.0,63.4,0.0
TEMOA,CANO,Battery,2027,True,MW,2650.6,2645.5,5.1,0.0
TEMOA,CANO,Battery,2027,True,MWh,10570.7,10550.5,20.2,0.0
TEMOA,CANO,Battery,2030,False,MW,0.0,45.9,0.0,0.0
TEMOA,CANO,Battery,2030,False,MWh,0.0,166.7,0.0,0.0
TEMOA,CANO,Battery,2030,True,MW,2645.5,2642.6,2.9,0.0
TEMOA,CANO,Battery,2030,True,MWh,10550.5,10539.0,11.5,0.0
TEMOA,CANO,Battery,2035,False,MW,45.9,1148.0,0.0,1102.2
TEMOA,CANO,Battery,2035,False,MWh,166.7,2601.7,0.0,2435.0
TEMOA,CANO,Battery,2035,True,MW,2642.6,2642.6,0.1,0.0
TEMOA,CANO,Battery,2035,True,MWh,10539.0,10538.6,0.4,0.0
TEMOA,CANO,Battery,2040,False,MW,1148.0,6250.5,0.0,5102.5
TEMOA,CANO,Battery,2040,False,MWh,2601.7,21262.1,0.0,18660.4
TEMOA,CANO,Battery,2045,False,MW,6250.5,6302.1,2.8,54.5
TEMOA,CANO,Battery,2045,False,MWh,21262.1,21363.2,16.9,118.0
TEMOA,CANO,Battery,2050,False,MW,6302.1,8134.2,107.8,1939.8
TEMOA,CANO,Battery,2050,False,MWh,21363.2,24777.0,465.9,3879.6
TEMOA,CANO,CCS,2035,False,MW,0.0,1627.9,0.0,0.0
TEMOA,CANO,CCS,2040,False,MW,1627.9,5177.3,0.0,3549.4
TEMOA,CANO,CCS,2045,False,MW,5177.3,5180.9,0.0,3.6
TEMOA,CANO,CCS,2050,False,MW,5180.9,5177.7,3.2,0.0
TEMOA,CANO,Distributed Solar,2027,True,MW,4470.0,4478.0,0.0,8.0
TEMOA,CANO,Distributed Solar,2030,True,MW,4478.0,5328.8,0.0,850.8
TEMOA,CANO,Distributed Solar,2035,True,MW,5328.8,6167.0,0.0,838.2
TEMOA,CANO,Distributed Solar,2040,True,MW,6167.0,6425.9,0.0,258.9
TEMOA,CANO,Distributed Solar,2045,True,MW,6425.9,6499.8,0.0,73.9
TEMOA,CANO,Distributed Solar,2050,True,MW,6499.8,6562.0,0.0,62.1
TEMOA,CANO,Hydro,2027,True,MW,7426.9,5902.1,1535.3,10.5
TEMOA,CANO,Hydro,2030,True,MW,5902.1,5752.9,149.2,0.0
TEMOA,CANO,Hydro,2035,True,MW,5752.9,5752.8,0.2,0.0
TEMOA,CANO,Hydro,2040,True,MW,5752.8,5749.4,3.3,0.0
TEMOA,CANO,Hydro,2045,True,MW,5749.4,5735.6,13.8,0.0
TEMOA,CANO,Hydro,2050,True,MW,5735.6,5727.5,8.1,0.0
TEMOA,CANO,Natural Gas CC,2027,True,MW,8296.9,8296.6,0.3,0.0
TEMOA,CANO,Natural Gas CC,2030,True,MW,8296.6,8296.3,0.3,0.0
TEMOA,CANO,Natural Gas CC,2035,False,MW,0.0,90.6,0.0,0.0
TEMOA,CANO,Natural Gas CC,2035,True,MW,8296.3,8296.3,0.0,0.0
TEMOA,CANO,Natural Gas CC,2040,False,MW,90.6,96.2,0.0,5.6
TEMOA,CANO,Natural Gas CC,2040,True,MW,8296.3,8296.3,0.0,0.0
TEMOA,CANO,Natural Gas CC,2045,False,MW,96.2,3703.4,0.0,3607.2
TEMOA,CANO,Natural Gas CC,2045,True,MW,8296.3,8296.2,0.1,0.0
TEMOA,CANO,Natural Gas CC,2050,False,MW,3703.4,4914.0,0.0,1210.6
TEMOA,CANO,Natural Gas CC,2050,True,MW,8296.2,8296.2,0.0,0.0
TEMOA,CANO,Natural Gas CT,2027,True,MW,2248.7,1527.1,721.6,0.0
TEMOA,CANO,Natural Gas CT,2030,True,MW,1527.1,1394.4,132.6,0.0
TEMOA,CANO,Natural Gas CT,2035,True,MW,1394.4,1394.4,0.0,0.0
TEMOA,CANO,Natural Gas CT,2040,True,MW,1394.4,1394.4,0.0,0.0
TEMOA,CANO,Natural Gas CT,2045,True,MW,1394.4,1394.2,0.2,0.0
