model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_batteries_1,Battery,2027,current_policies_52_week_retire,all,MWh,500234
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,8.11975e+06
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2027,current_policies_52_week_retire,all,MWh,9.54467e+06
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2027,current_policies_52_week_retire,all,MWh,1.50538e+07
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2027,current_policies_52_week_retire,all,MWh,2.7915e+06
TEMOA,BASN,BASN_geothermal_1,Geothermal,2027,current_policies_52_week_retire,all,MWh,4.83425e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,current_policies_52_week_retire,all,MWh,1.94318e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,current_policies_52_week_retire,all,MWh,3.0821e+07
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week_retire,all,MWh,2050.75
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week_retire,all,MWh,1.73877e+07
TEMOA,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_52_week_retire,all,MWh,1930.31
TEMOA,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_52_week_retire,all,MWh,121.236
TEMOA,BASN,BASN_onshore_wind_turbine_1,Wind,2027,current_policies_52_week_retire,all,MWh,3.96252e+06
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,1.61135e+06
TEMOA,BASN,BASN_solar_photovoltaic_1,Solar,2027,current_policies_52_week_retire,all,MWh,1.99687e+07
TEMOA,CANO,CANO_batteries_1,Battery,2027,current_policies_52_week_retire,all,MWh,1.61039e+06
TEMOA,CANO,CANO_biomass_2,Other,2027,current_policies_52_week_retire,all,MWh,596729
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,1.84759e+07
TEMOA,CANO,CANO_distributed_generation_1,Distributed Solar,2027,current_policies_52_week_retire,all,MWh,1.0329e+07
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week_retire,all,MWh,4260.38
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week_retire,all,MWh,4.54813e+07
TEMOA,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_52_week_retire,all,MWh,81064.3
TEMOA,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_52_week_retire,all,MWh,1138.1
TEMOA,CANO,CANO_onshore_wind_turbine_1,Wind,2027,current_policies_52_week_retire,all,MWh,2.44085e+06
TEMOA,CANO,CANO_small_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,2.10019e+06
TEMOA,CANO,CANO_solar_photovoltaic_1,Solar,2027,current_policies_52_week_retire,all,MWh,1.53787e+07
TEMOA,CASO,CASO_batteries_1,Battery,2027,current_policies_52_week_retire,all,MWh,7.42902e+06
TEMOA,CASO,CASO_biomass_1,Other,2027,current_policies_52_week_retire,all,MWh,873321
TEMOA,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,2.24126e+06
TEMOA,CASO,CASO_distributed_generation_1,Distributed Solar,2027,current_policies_52_week_retire,all,MWh,1.60791e+07
TEMOA,CASO,CASO_geothermal_1,Geothermal,2027,current_policies_52_week_retire,all,MWh,202957
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week_retire,all,MWh,120.324
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week_retire,all,MWh,3.91111e+07
TEMOA,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,current_policies_52_week_retire,all,MWh,1375.78
TEMOA,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,current_policies_52_week_retire,all,MWh,712982
TEMOA,CASO,CASO_onshore_wind_turbine_1,Wind,2027,current_policies_52_week_retire,all,MWh,1.24812e+07
TEMOA,CASO,CASO_small_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,573076
TEMOA,CASO,CASO_solar_photovoltaic_1,Solar,2027,current_policies_52_week_retire,all,MWh,3.167e+07
TEMOA,CASO,CASO_utilitypv_class1_moderate_1_anyQual_1,Solar,2027,current_policies_52_week_retire,all,MWh,7.75385e+06
TEMOA,FRCC,FRCC_batteries_1,Battery,2027,current_policies_52_week_retire,all,MWh,99522
TEMOA,FRCC,FRCC_biomass_2,Other,2027,current_policies_52_week_retire,all,MWh,112226
TEMOA,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week_retire,all,MWh,100464
TEMOA,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,current_policies_52_week_retire,all,MWh,2.11605e+07
TEMOA,FRCC,FRCC_distributed_generation_1,Distributed Solar,2027,current_policies_52_week_retire,all,MWh,5.8659e+06
