model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2027,current_policies_52_week_retire,MW,100,100.738
TEMOA,2,BASN_to_CASO,2027,current_policies_52_week_retire,MW,5920,5920.91
TEMOA,3,BASN_to_NWPP,2027,current_policies_52_week_retire,MW,3350,3350.51
TEMOA,4,BASN_to_RMRG,2027,current_policies_52_week_retire,MW,3750,3752.62
TEMOA,5,BASN_to_SRSG,2027,current_policies_52_week_retire,MW,5385,5385.59
TEMOA,6,CANO_to_CASO,2027,current_policies_52_week_retire,MW,3675,3676.08
TEMOA,7,CANO_to_NWPP,2027,current_policies_52_week_retire,MW,3675,3675.73
TEMOA,8,CASO_to_NWPP,2027,current_policies_52_week_retire,MW,2858,2858.64
TEMOA,9,CASO_to_SRSG,2027,current_policies_52_week_retire,MW,4354,4355.7
TEMOA,10,FRCC_to_SRSE,2027,current_policies_52_week_retire,MW,3600,3600.89
TEMOA,11,ISNE_to_NYCW,2027,current_policies_52_week_retire,MW,760,762.639
TEMOA,12,ISNE_to_NYUP,2027,current_policies_52_week_retire,MW,1400,2634.22
TEMOA,14,MISC_to_MISS,2027,current_policies_52_week_retire,MW,1039,1040.68
TEMOA,15,MISC_to_MISW,2027,current_policies_52_week_retire,MW,1655,1656.1
TEMOA,16,MISC_to_PJMC,2027,current_policies_52_week_retire,MW,5244,5246
TEMOA,17,MISC_to_PJMW,2027,current_policies_52_week_retire,MW,5441,5442.39
TEMOA,18,MISC_to_SPPC,2027,current_policies_52_week_retire,MW,1430,1615.62
TEMOA,19,MISC_to_SPPN,2027,current_policies_52_week_retire,MW,0,19.4089
TEMOA,20,MISC_to_SPPS,2027,current_policies_52_week_retire,MW,1172,1194.64
TEMOA,21,MISC_to_SRCE,2027,current_policies_52_week_retire,MW,3745,3746.32
TEMOA,23,MISE_to_PJMW,2027,current_policies_52_week_retire,MW,2662,2663.74
TEMOA,24,MISS_to_SPPC,2027,current_policies_52_week_retire,MW,0,254.804
TEMOA,25,MISS_to_SPPS,2027,current_policies_52_week_retire,MW,1697,4706.84
TEMOA,26,MISS_to_SRCE,2027,current_policies_52_week_retire,MW,4092,4093.67
TEMOA,27,MISS_to_SRSE,2027,current_policies_52_week_retire,MW,891,895.122
TEMOA,28,MISW_to_NWPP,2027,current_policies_52_week_retire,MW,200,200.849
TEMOA,29,MISW_to_PJMC,2027,current_policies_52_week_retire,MW,3200,3202.99
TEMOA,31,MISW_to_SPPN,2027,current_policies_52_week_retire,MW,5512,5513.49
TEMOA,32,NWPP_to_RMRG,2027,current_policies_52_week_retire,MW,400,403.211
TEMOA,33,NYCW_to_NYUP,2027,current_policies_52_week_retire,MW,2489,6128.84
TEMOA,34,NYCW_to_PJME,2027,current_policies_52_week_retire,MW,660,812.225
TEMOA,35,NYUP_to_PJME,2027,current_policies_52_week_retire,MW,1255,3705.42
TEMOA,36,PJMC_to_PJMW,2027,current_policies_52_week_retire,MW,980,982.496
TEMOA,37,PJMD_to_PJME,2027,current_policies_52_week_retire,MW,1200,2128.12
TEMOA,38,PJMD_to_PJMW,2027,current_policies_52_week_retire,MW,6930,6931.11
TEMOA,39,PJMD_to_SRCA,2027,current_policies_52_week_retire,MW,1000,1004.21
TEMOA,40,PJME_to_PJMW,2027,current_policies_52_week_retire,MW,3885,3886.61
TEMOA,41,PJMW_to_SRCA,2027,current_policies_52_week_retire,MW,1219,1220.89
TEMOA,42,PJMW_to_SRCE,2027,current_policies_52_week_retire,MW,3333,3334.29
TEMOA,43,RMRG_to_SPPC,2027,current_policies_52_week_retire,MW,210,1060.36
TEMOA,44,RMRG_to_SPPN,2027,current_policies_52_week_retire,MW,410,2727.78
TEMOA,45,RMRG_to_SRSG,2027,current_policies_52_week_retire,MW,614,622.368
TEMOA,46,SPPC_to_SPPN,2027,current_policies_52_week_retire,MW,1433,2305.56
TEMOA,47,SPPC_to_SPPS,2027,current_policies_52_week_retire,MW,3372,3379
TEMOA,48,SPPN_to_SPPS,2027,current_policies_52_week_retire,MW,0,1533.92
TEMOA,49,SPPS_to_SRSG,2027,current_policies_52_week_retire,MW,1010,3712.48
TEMOA,50,SPPS_to_TRE,2027,current_policies_52_week_retire,MW,600,2082.13
TEMOA,52,SRCA_to_SRCE,2027,current_policies_52_week_retire,MW,216,217.547
TEMOA,53,SRCA_to_SRSE,2027,current_policies_52_week_retire,MW,1400,1401.07
TEMOA,54,SRCE_to_SRSE,2027,current_policies_52_week_retire,MW,3196,3198.92
TEMOA,1,BASN_to_CANO,2030,current_policies_52_week_retire,MW,100.738,107.735
TEMOA,2,BASN_to_CASO,2030,current_policies_52_week_retire,MW,5920.91,5930.87
TEMOA,3,BASN_to_NWPP,2030,current_policies_52_week_retire,MW,3350.51,3355.86
TEMOA,4,BASN_to_RMRG,2030,current_policies_52_week_retire,MW,3752.62,3788.51
TEMOA,5,BASN_to_SRSG,2030,current_policies_52_week_retire,MW,5385.59,5394.34
TEMOA,6,CANO_to_CASO,2030,current_policies_52_week_retire,MW,3676.08,3687.72
TEMOA,7,CANO_to_NWPP,2030,current_policies_52_week_retire,MW,3675.73,3684.27
TEMOA,8,CASO_to_NWPP,2030,current_policies_52_week_retire,MW,2858.64,2866.22
TEMOA,9,CASO_to_SRSG,2030,current_policies_52_week_retire,MW,4355.7,4388.65
TEMOA,10,FRCC_to_SRSE,2030,current_policies_52_week_retire,MW,3600.89,3608.85
TEMOA,11,ISNE_to_NYCW,2030,current_policies_52_week_retire,MW,762.639,772.296
TEMOA,12,ISNE_to_NYUP,2030,current_policies_52_week_retire,MW,2634.22,5117.03
TEMOA,13,MISC_to_MISE,2030,current_policies_52_week_retire,MW,0,14.0002
TEMOA,14,MISC_to_MISS,2030,current_policies_52_week_retire,MW,1040.68,1051.87
TEMOA,15,MISC_to_MISW,2030,current_policies_52_week_retire,MW,1656.1,1667.91
TEMOA,16,MISC_to_PJMC,2030,current_policies_52_week_retire,MW,5246,5266.12
TEMOA,17,MISC_to_PJMW,2030,current_policies_52_week_retire,MW,5442.39,5461.1
TEMOA,18,MISC_to_SPPC,2030,current_policies_52_week_retire,MW,1615.62,3290.37
TEMOA,19,MISC_to_SPPN,2030,current_policies_52_week_retire,MW,19.4089,288.118
TEMOA,20,MISC_to_SPPS,2030,current_policies_52_week_retire,MW,1194.64,1730.17
TEMOA,21,MISC_to_SRCE,2030,current_policies_52_week_retire,MW,3746.32,3760.69
TEMOA,22,MISE_to_MISW,2030,current_policies_52_week_retire,MW,0,22.1751
TEMOA,23,MISE_to_PJMW,2030,current_policies_52_week_retire,MW,2663.74,2678.86
TEMOA,24,MISS_to_SPPC,2030,current_policies_52_week_retire,MW,254.804,802.078
TEMOA,25,MISS_to_SPPS,2030,current_policies_52_week_retire,MW,4706.84,7744.66
TEMOA,26,MISS_to_SRCE,2030,current_policies_52_week_retire,MW,4093.67,4108.8
TEMOA,27,MISS_to_SRSE,2030,current_policies_52_week_retire,MW,895.122,950.707
TEMOA,28,MISW_to_NWPP,2030,current_policies_52_week_retire,MW,200.849,209.664
TEMOA,29,MISW_to_PJMC,2030,current_policies_52_week_retire,MW,3202.99,3284.71
TEMOA,30,MISW_to_SPPC,2030,current_policies_52_week_retire,MW,0,13.0372
TEMOA,31,MISW_to_SPPN,2030,current_policies_52_week_retire,MW,5513.49,5531.98
TEMOA,32,NWPP_to_RMRG,2030,current_policies_52_week_retire,MW,403.211,429.588
TEMOA,33,NYCW_to_NYUP,2030,current_policies_52_week_retire,MW,6128.84,6214.01
TEMOA,34,NYCW_to_PJME,2030,current_policies_52_week_retire,MW,812.225,1698.04
TEMOA,35,NYUP_to_PJME,2030,current_policies_52_week_retire,MW,3705.42,6898.66
