Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_batteries_1,1,768602.273869077,936.0,0.0
BASN_biomass_2,1,183456.0,21.0,1.0
BASN_conventional_hydroelectric_1,1,8.286280448188818e6,2523.0,0.3759497081152308
BASN_conventional_steam_coal_1,1,8.203769822876628e6,1178.0,0.797178451603247
BASN_conventional_steam_coal_2,1,1.3209719931167984e7,1822.0,0.8299130847818472
BASN_geothermal_1,1,4.264884962844642e6,498.0,0.9803143349139787
BASN_natural_gas_fired_combined_cycle_2,1,1.498675557516786e7,7294.0,0.23519562555002588
BASN_onshore_wind_turbine_1,1,3.7540572064676057e6,2029.9999999999998,0.21168604215542086
BASN_small_hydroelectric_1,1,2.00928e6,230.0,1.0
BASN_solar_photovoltaic_1,1,1.974479247516529e7,8006.0,0.28230876515182995
CANO_batteries_1,2,3.051040555273114e6,2653.0,0.0
CANO_biomass_1,2,1.380288e6,158.0,1.0
CANO_biomass_2,2,646464.0,74.0,1.0
CANO_conventional_hydroelectric_1,2,1.9754557079500794e7,7519.0,0.30074234831438
CANO_geothermal_1,2,6.748075912129023e6,782.0,0.9877808018044836
CANO_hydroelectric_pumped_storage_1,2,3.36002276881396e6,2277.0,0.0
CANO_natural_gas_fired_combined_cycle_2,2,3.2892006162965517e7,8297.0,0.45379180373358496
CANO_onshore_wind_turbine_1,2,2.4419254373723036e6,1473.0,0.18976539846140042
CANO_small_hydroelectric_1,2,2.349984e6,269.0,1.0
CANO_solar_photovoltaic_1,2,1.5280535349524697e7,6328.0,0.2764136425310422
CASO_batteries_1,3,1.0703409132642273e7,8929.0,0.0
CASO_biomass_1,3,1.196832e6,137.0,1.0
CASO_biomass_2,3,209664.0,24.0,1.0
CASO_conventional_hydroelectric_1,3,3.2678627060275157e6,1346.0,0.27791124308998544
CASO_conventional_steam_coal_1,3,435721.5244503796,57.0,0.8750271601487284
CASO_geothermal_1,3,1.5253268799686993e6,179.0,0.975432602758955
CASO_hydroelectric_pumped_storage_1,3,2.824287706537555e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_2,3,3.134824654221641e7,7482.0,0.4796041412426516
CASO_onshore_wind_turbine_1,3,1.3793939676692871e7,4528.0,0.34871391593265205
CASO_small_hydroelectric_1,3,934752.0,107.0,1.0
CASO_solar_photovoltaic_1,3,3.1497589236481637e7,13797.0,0.2613244381682091
FRCC_batteries_1,4,289023.7785082294,555.0,0.0
FRCC_biomass_1,4,1.188096e6,136.0,1.0
FRCC_biomass_2,4,1.188096e6,136.0,1.0
FRCC_conventional_hydroelectric_1,4,116745.92489426401,44.0,0.3037221239548577
FRCC_natural_gas_fired_combined_cycle_1,4,1.5081957019412562e8,34740.0,0.4969529343639539
FRCC_natural_gas_fired_combustion_turbine_1,4,38008.72893083104,3822.0,0.001138361078131111
FRCC_nuclear_1,4,3.1967068315864664e7,3737.0,0.9791902623804238
FRCC_solar_photovoltaic_1,4,1.8485855441431303e7,9458.0,0.22373174890211678
ISNE_batteries_1,5,310135.3127267848,368.0,0.0
ISNE_biomass_1,5,733824.0,84.0,1.0
ISNE_biomass_2,5,1.423968e6,163.0,1.0
ISNE_conventional_hydroelectric_1,5,4.1173338082907377e6,1083.0,0.4351860809550379
ISNE_conventional_steam_coal_1,5,819080.1485112886,97.0,0.9665894279286192
ISNE_conventional_steam_coal_2,5,3.7014690848723375e6,438.0,0.9673583630409666
ISNE_hydroelectric_pumped_storage_1,5,2.9106103077758458e6,1830.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.9757642384881114e6,3842.0,0.05886608246692473
ISNE_natural_gas_fired_combined_cycle_2,5,2.8710842308972284e7,10513.0,0.3126127192098058
ISNE_natural_gas_fired_combustion_turbine_1,5,231478.96420799333,1338.0,0.019803538252106064
ISNE_natural_gas_fired_combustion_turbine_2,5,40346.04889073708,438.0,0.010544215530429139
ISNE_natural_gas_internal_combustion_engine_1,5,16559.100381104305,12.0,0.15795845143757922
ISNE_nuclear_1,5,2.7504841330479696e7,3356.0,0.9381549328058112
ISNE_offshore_wind_turbine_1,5,102434.50279323192,29.0,0.40432969714393047
ISNE_onshore_wind_turbine_1,5,3.138634410106673e6,1547.0,0.23224041170511642
ISNE_small_hydroelectric_1,5,3.433248e6,393.0,1.0
ISNE_solar_photovoltaic_1,5,5.024760939409736e6,2682.0,0.21445886613040163
MISC_batteries_1,6,33563.198954222185,36.0,0.0
MISC_biomass_1,6,366912.0,42.0,1.0
MISC_biomass_2,6,366912.0,42.0,1.0
MISC_conventional_hydroelectric_1,6,1.8778097696113e6,598.0,0.3594494180868654
MISC_conventional_steam_coal_2,6,3.634920657856202e7,6010.0,0.6923215310136727
MISC_hydroelectric_pumped_storage_1,6,1.0964068287508958e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,2.66813683572568e6,1894.0,0.16125585735642436
MISC_natural_gas_fired_combined_cycle_2,6,1.0123720823010929e7,3383.0,0.34255123464672155
MISC_natural_gas_fired_combustion_turbine_1,6,470459.4891864743,675.0,0.07978216815670776
MISC_natural_gas_fired_combustion_turbine_2,6,1.9736675138454624e6,9055.0,0.024950135742570614
MISC_nuclear_1,6,1.8761967720053688e7,2373.0,0.9050405141660496
MISC_onshore_wind_turbine_1,6,1.350148480674575e7,6437.0,0.24009626137514556
MISC_small_hydroelectric_1,6,200928.0,23.0,1.0
MISC_solar_photovoltaic_1,6,7.844288461938406e6,3922.0,0.22894614808880795
MISE_biomass_1,7,620256.0,71.0,1.0
MISE_biomass_2,7,506688.0,58.0,1.0
MISE_conventional_hydroelectric_1,7,93218.31015222985,32.0,0.33345606596350535
MISE_conventional_steam_coal_1,7,1.907128367567991e7,3088.0,0.7069521328752173
MISE_hydroelectric_pumped_storage_1,7,3.202942732713849e6,2115.0,0.0
MISE_natural_gas_fired_combined_cycle_1,7,6.966833535544005e6,6017.0,0.13253872756478752
MISE_natural_gas_fired_combined_cycle_2,7,186466.1485834326,744.0,0.028688935873962488
MISE_natural_gas_fired_combustion_turbine_2,7,31585.384557897713,3541.0,0.0010210514273241904
MISE_nuclear_1,7,9.741630511923159e6,1161.0,0.9604766432171291
MISE_onshore_wind_turbine_1,7,8.751639567192819e6,3677.0,0.27244771376049676
MISE_small_hydroelectric_1,7,410592.0,47.0,1.0
MISE_solar_photovoltaic_1,7,2.428522589770071e6,1181.0,0.23538545570530567
MISS_batteries_1,8,14790.14213907845,10.0,0.0
MISS_biomass_1,8,157248.0,18.0,1.0
MISS_biomass_2,8,1.799616e6,206.0,1.0
MISS_conventional_hydroelectric_1,8,1.314435669221764e6,583.0,0.2580822615320536
MISS_conventional_steam_coal_2,8,1.4908147723218293e6,217.0,0.7864141664566291
MISS_natural_gas_fired_combined_cycle_1,8,5.906348349368793e7,18450.0,0.3664460643413538
MISS_natural_gas_fired_combustion_turbine_1,8,157425.36652987447,1687.0,0.010681863038096926
MISS_nuclear_1,8,4.43273756097138e7,5426.0,0.9351463971486874
MISS_onshore_wind_turbine_1,8,349570.44038218335,184.0,0.21747245305668159
MISS_solar_photovoltaic_1,8,4.745855756361162e6,2208.0,0.24603836927703177
MISW_batteries_1,9,39366.7968564924,31.0,0.0
MISW_biomass_1,9,1.13568e6,130.0,1.0
MISW_biomass_2,9,445536.0,51.0,1.0
MISW_conventional_hydroelectric_1,9,528257.4315817212,206.0,0.29353897252620625
MISW_conventional_steam_coal_1,9,3.505378991105764e7,7132.0,0.5626146279373117
MISW_natural_gas_fired_combined_cycle_1,9,2.0787658888023382e6,1408.0,0.16900139970725386
MISW_natural_gas_fired_combined_cycle_2,9,1.8898582065460727e7,7025.0,0.3079429507622686
MISW_natural_gas_fired_combustion_turbine_1,9,7132.480842556751,874.0,0.0009341498660107563
MISW_natural_gas_fired_combustion_turbine_2,9,2.194694188115196e6,5817.0,0.04318792359806823
MISW_natural_gas_fired_combustion_turbine_3,9,576760.0966115816,967.0,0.06827411926585349
MISW_natural_gas_internal_combustion_engine_1,9,925418.1048476744,804.0,0.1317556711702013
MISW_nuclear_1,9,2.1349213586844828e7,2928.0,0.8346380589444605
MISW_onshore_wind_turbine_1,9,5.7575295698846415e7,23793.0,0.27699654184449396
MISW_petroleum_liquids_1,9,363.73105433313106,31.0,0.0013430929277927857
MISW_small_hydroelectric_1,9,6.368544e6,729.0,1.0
MISW_solar_photovoltaic_1,9,5.831871117938652e6,3132.0,0.2131442096421471
NWPP_batteries_1,10,65636.0083971697,141.0,0.0
NWPP_biomass_1,10,532896.0,61.0,1.0
NWPP_biomass_2,10,1.153152e6,132.0,1.0
NWPP_conventional_hydroelectric_1,10,1.4148158922016206e8,32307.000000000004,0.5012918829133713
NWPP_conventional_steam_coal_1,10,9.273960475894667e6,1481.0,0.7167992740072873
NWPP_geothermal_1,10,185686.4411360975,22.0,0.9661507301869875
NWPP_hydroelectric_pumped_storage_1,10,372627.2622776111,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,5.835694157154558e6,2899.0,0.23042610678063793
