region,marginal_price,total_demand
BASN,44.279640928396205,177158138.0
CASO,48.08192452823357,158791938.0
CANO,49.97486571991389,245898072.0
FRCC,38.10205725490406,334048179.0
ISNE,55.05248321499803,210413923.0
MISC,37.13930184304686,264171318.0
MISE,41.00701280786805,137137308.0
MISS,31.470694827101894,242486982.0
MISW,38.726101942648626,324181570.0
NWPP,69.9381243209388,300529644.0
NYCW,58.11602371349267,106442119.0
NYUP,28.67866950406504,92400602.0
PJMC,39.76645152390371,152682741.0
PJMD,38.78282864250123,145712440.0
PJME,40.81800250802363,389826566.0
PJMW,40.278445737764045,412215498.0
RMRG,35.19782348017925,150676430.0
SPPC,31.834758358219737,108907378.0
SPPN,31.282134036078304,74985567.0
SPPS,27.884432786570336,177543457.0
SRCA,39.677481685751054,287884867.0
SRCE,37.74015742149033,285639456.0
SRSE,36.6499057815418,333542368.0
SRSG,37.886725839265594,204888767.0
TRE,32.38169027596295,555402906.0
TREW,28.210644728225844,26667903.0
