Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,145017.59999999404,16.6,0.9999999999999588
BASN_conventional_hydroelectric_1,1,5.1094565707241185e6,1697.6,0.3445297429923234
BASN_conventional_steam_coal_1,1,5.206879403061811e6,728.2,0.8184915856836094
BASN_conventional_steam_coal_2,1,9.848121798050975e6,1363.0,0.8270750692398877
BASN_geothermal_1,1,2.338614896977396e6,287.4,0.9314495187438171
BASN_natural_gas_fired_combined_cycle_1,1,1.0666040697155579e6,735.2,0.1660676777723197
BASN_natural_gas_fired_combined_cycle_2,1,1.7317649531967036e7,6794.0,0.2917768144236133
BASN_natural_gas_fired_combustion_turbine_1,1,244187.9280010547,1824.7,0.015318635849885224
BASN_natural_gas_fired_combustion_turbine_2,1,54957.30219463154,236.2,0.026633784828500026
BASN_natural_gas_internal_combustion_engine_1,1,205470.5427318314,221.4,0.10623297067892518
BASN_onshore_wind_turbine_1,1,2.266162561702065e6,1454.0,0.17840787836305944
BASN_petroleum_liquids_1,1,553.0703652906565,13.6,0.004655098285750112
BASN_small_hydroelectric_1,1,1.4161055999999738e6,162.1,0.9999999999999815
BASN_solar_photovoltaic_1,1,1.5645496941053538e7,7934.0,0.22572753578188695
CANO_biomass_1,2,268195.1999999892,30.7,0.9999999999999596
CANO_biomass_2,2,324105.6000000025,37.1,1.0000000000000078
CANO_conventional_hydroelectric_1,2,1.720647348431919e7,6903.7,0.2852970843552941
CANO_hydroelectric_pumped_storage_1,2,5.341422429363072e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,5.428143165721202e6,3112.8,0.1996123696846997
CANO_natural_gas_fired_combined_cycle_2,2,3.719462003061497e7,8296.9,0.5131586398842191
CANO_natural_gas_fired_combustion_turbine_1,2,634602.9152754064,1999.7,0.0363265865380841
CANO_natural_gas_fired_combustion_turbine_2,2,887929.2694960132,1502.8,0.06763392015429663
CANO_natural_gas_internal_combustion_engine_1,2,715097.3061106491,444.4,0.18419526691095855
CANO_onshore_wind_turbine_1,2,1.0540425270911024e6,698.0,0.17285823951004414
CANO_petroleum_liquids_1,2,5083.856634304894,169.6,0.003431269434265238
CANO_small_hydroelectric_1,2,1.862515200000068e6,213.2,1.0000000000000364
CANO_solar_photovoltaic_1,2,1.3776044884891842e7,6287.4,0.2508076812109422
CASO_batteries_1,3,123027.45167096576,84.0,0.0
CASO_biomass_1,3,665683.2000000074,76.2,1.000000000000011
CASO_conventional_hydroelectric_1,3,2.168240361462321e6,955.0,0.25989111211743676
CASO_geothermal_1,3,184472.84858247475,23.6,0.8947626060412144
CASO_hydroelectric_pumped_storage_1,3,4.0602333937013503e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,2.4336665954418597e6,1986.9,0.14020788750115104
CASO_natural_gas_fired_combined_cycle_2,3,3.0725736435035568e7,7481.6,0.4701053464082733
CASO_natural_gas_fired_combustion_turbine_1,3,588156.7224134661,1461.5,0.04606611847033773
CASO_natural_gas_fired_combustion_turbine_2,3,2.8842704910611496e6,3953.4,0.08351271511428743
CASO_natural_gas_internal_combustion_engine_1,3,106900.93824563838,50.2,0.24376153409630336
CASO_onshore_wind_turbine_1,3,9.691578567818806e6,3464.4,0.3202239907542439
CASO_small_hydroelectric_1,3,588806.3999999758,67.4,0.9999999999999588
CASO_solar_photovoltaic_1,3,2.9450898463310186e7,13757.0,0.24505422001039054
FRCC_biomass_1,4,283046.40000000456,32.4,1.0000000000000162
FRCC_biomass_2,4,802838.3999999687,91.9,0.999999999999961
FRCC_conventional_hydroelectric_1,4,102722.70329352336,43.5,0.2703115218662461
FRCC_conventional_steam_coal_1,4,1.9283205582604375e7,2549.0,0.865957884017415
FRCC_conventional_steam_coal_2,4,639894.1248061088,442.0,0.1657193525946903
FRCC_natural_gas_fired_combined_cycle_1,4,1.2858969487082367e8,28738.2,0.5121933995260994
FRCC_natural_gas_fired_combined_cycle_2,4,4.516500216226806e6,2335.7,0.22134634204943415
FRCC_natural_gas_fired_combustion_turbine_1,4,4.172485910691426e6,7768.4,0.06148238043988253
FRCC_natural_gas_fired_combustion_turbine_2,4,31490.950487511647,887.7,0.004060756272784378
FRCC_natural_gas_internal_combustion_engine_1,4,327400.8340694622,250.9,0.14937107095293126
FRCC_nuclear_1,4,2.9486153469002295e7,3737.0,0.9031968170059839
FRCC_petroleum_liquids_1,4,1613.3062495175893,149.7,0.0012336228084355444
FRCC_solar_photovoltaic_1,4,1.158380525454781e7,9409.8,0.14091532590666683
ISNE_biomass_2,5,471744.0,54.0,1.0
ISNE_conventional_hydroelectric_1,5,1.8654479470545112e6,516.7,0.41326825667719036
ISNE_hydroelectric_pumped_storage_1,5,2.8758345984293353e6,1801.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.417531004050278e6,3166.3,0.051246933134271755
ISNE_natural_gas_fired_combined_cycle_2,5,9.940814752547594e6,10513.3,0.10823564215036754
ISNE_natural_gas_fired_combustion_turbine_1,5,175260.76748961402,1338.4,0.014989465810279283
ISNE_natural_gas_fired_combustion_turbine_2,5,21879.14322717378,389.8,0.006425040227722497
ISNE_natural_gas_internal_combustion_engine_1,5,26955.50843669129,54.9,0.05620339602784969
ISNE_natural_gas_steam_turbine_1,5,11972.023330552911,17.2,0.07967580907227585
ISNE_nuclear_1,5,2.6562159620891217e7,3355.5,0.9061362687063452
ISNE_offshore_wind_turbine_1,5,94272.5659886095,29.3,0.36830285253522943
ISNE_onshore_wind_turbine_1,5,2.322134461590395e6,1240.7,0.2142436487162654
ISNE_petroleum_liquids_1,5,18407.208512245343,822.1,0.0025630121109820464
