Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_2,1,167469.11999999094,19.17,0.9999999999999458
BASN_conventional_hydroelectric_1,1,4.790562697530476e6,1418.72,0.3865246645942919
BASN_conventional_steam_coal_1,1,5.858279165803362e6,728.17,0.9209258330487626
BASN_natural_gas_fired_combined_cycle_1,1,438690.9091144329,727.85,0.06899285597189388
BASN_natural_gas_fired_combined_cycle_2,1,8.703360155931761e6,6793.96,0.14663962609627787
BASN_natural_gas_fired_combustion_turbine_1,1,73378.32441815661,1382.62,0.006075084602258277
BASN_natural_gas_fired_combustion_turbine_2,1,22608.205310582543,233.84,0.01106712106389555
BASN_natural_gas_internal_combustion_engine_1,1,90514.74912651871,203.32,0.05095967219258676
BASN_onshore_wind_turbine_1,1,997004.836854407,520.0,0.21947309912440277
BASN_petroleum_liquids_1,1,880.8352470606243,25.8,0.003908070175007029
BASN_small_hydroelectric_1,1,1.3345987200000035e6,152.77,1.0000000000000024
BASN_solar_photovoltaic_1,1,1.0634747137376137e7,4272.38,0.28493425882738743
CANO_biomass_2,2,609073.9200000088,69.72,1.0000000000000144
CANO_conventional_hydroelectric_1,2,1.4710094226343758e7,5615.95,0.29983311502409554
CANO_hydroelectric_pumped_storage_1,2,4.904027648320669e6,2254.13,0.0
CANO_natural_gas_fired_combined_cycle_1,2,2.8008779637704273e6,2491.48,0.12868388268365233
CANO_natural_gas_fired_combined_cycle_2,2,2.654001698500533e7,8213.93,0.36986017743734556
CANO_natural_gas_fired_combustion_turbine_1,2,188218.85523418128,1950.16,0.011047913314951757
CANO_natural_gas_fired_combustion_turbine_2,2,182890.4190922583,997.14,0.02099530516850747
CANO_natural_gas_internal_combustion_engine_1,2,380170.9210666825,433.81,0.10031519245426673
CANO_petroleum_liquids_1,2,2259.0843690998513,150.46,0.0017186948190231362
CANO_small_hydroelectric_1,2,1.786861439999938e6,204.54,0.9999999999999655
CANO_solar_photovoltaic_1,2,5.76838705349966e6,2501.19,0.26399462489095393
CASO_biomass_2,3,180573.1199999905,20.67,0.9999999999999474
CASO_conventional_hydroelectric_1,3,2.276412928216348e6,917.82,0.2839101381046044
CASO_geothermal_1,3,202792.88195595238,23.73,0.9782330771119404
CASO_hydroelectric_pumped_storage_1,3,3.349892583739147e6,1648.35,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1.4552479926886023e6,1080.07,0.15423128616076617
CASO_natural_gas_fired_combined_cycle_2,3,2.0727217442395773e7,7481.48,0.31713257861148936
CASO_natural_gas_fired_combustion_turbine_1,3,208524.908001971,1403.76,0.017004052995141655
CASO_natural_gas_fired_combustion_turbine_2,3,1.406057563386229e6,3953.36,0.04071215691429064
CASO_natural_gas_internal_combustion_engine_1,3,69285.93806456824,50.2,0.1579896943010199
CASO_onshore_wind_turbine_1,3,1.263433861079015e6,415.91,0.34772868988297445
CASO_petroleum_liquids_1,3,700.4693609566604,14.1,0.005686661868364543
CASO_small_hydroelectric_1,3,575527.6800000175,65.88,1.0000000000000304
CASO_solar_photovoltaic_1,3,1.4879409366701975e7,6500.5,0.2620150902505593
FRCC_biomass_1,4,740987.5200000386,84.82,1.000000000000052
FRCC_conventional_hydroelectric_1,4,111744.89723311401,43.5,0.294053137849759
FRCC_conventional_steam_coal_1,4,3.7066317607729314e6,466.82,0.9089026362621678
FRCC_natural_gas_fired_combined_cycle_1,4,8.900500242863019e7,28737.1,0.3545347846530729
FRCC_natural_gas_fired_combined_cycle_2,4,2.407215328551559e6,2279.67,0.12087328656838114
FRCC_natural_gas_fired_combustion_turbine_1,4,898886.6384950327,6701.2,0.015354642869151953
FRCC_natural_gas_fired_combustion_turbine_2,4,13392.837198982856,255.30000000000004,0.006004946596881843
FRCC_natural_gas_internal_combustion_engine_1,4,157562.6243310358,248.39,0.07261167796573108
FRCC_nuclear_1,4,3.0478232113957252e7,3699.63,0.9430155505018516
FRCC_solar_photovoltaic_1,4,1.071811946769646e7,5877.7,0.2087365746310366
ISNE_conventional_hydroelectric_1,5,1.7383076743149704e6,465.15,0.42778051290196145
