model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_batteries_1,Battery,2027,current_policies_52_week,all,MWh,417616
TEMOA,BASN,BASN_biomass_2,Other,2027,current_policies_52_week,all,MWh,165015
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,8.2777e+06
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2027,current_policies_52_week,all,MWh,9.8341e+06
TEMOA,BASN,BASN_conventional_steam_coal_2,Coal,2027,current_policies_52_week,all,MWh,1.54673e+07
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2027,current_policies_52_week,all,MWh,2.82819e+06
TEMOA,BASN,BASN_geothermal_1,Geothermal,2027,current_policies_52_week,all,MWh,4.85857e+06
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,current_policies_52_week,all,MWh,1.68249e+07
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,current_policies_52_week,all,MWh,3.08353e+07
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week,all,MWh,360832
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week,all,MWh,1.4814e+07
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_52_week,all,MWh,1390.31
TEMOA,BASN,BASN_onshore_wind_turbine_1,Wind,2027,current_policies_52_week,all,MWh,3.99843e+06
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,1.63002e+06
TEMOA,BASN,BASN_solar_photovoltaic_1,Solar,2027,current_policies_52_week,all,MWh,2.00234e+07
TEMOA,CANO,CANO_batteries_1,Battery,2027,current_policies_52_week,all,MWh,729759
TEMOA,CANO,CANO_biomass_1,Other,2027,current_policies_52_week,all,MWh,1.28656e+06
TEMOA,CANO,CANO_biomass_2,Other,2027,current_policies_52_week,all,MWh,607801
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,1.91137e+07
TEMOA,CANO,CANO_distributed_generation_1,Distributed Solar,2027,current_policies_52_week,all,MWh,1.0353e+07
TEMOA,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,current_policies_52_week,all,MWh,216972
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week,all,MWh,1.06707e+06
TEMOA,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week,all,MWh,4.36387e+07
TEMOA,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_52_week,all,MWh,11075.7
TEMOA,CANO,CANO_onshore_wind_turbine_1,Wind,2027,current_policies_52_week,all,MWh,2.4465e+06
TEMOA,CANO,CANO_small_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,2.10432e+06
TEMOA,CANO,CANO_solar_photovoltaic_1,Solar,2027,current_policies_52_week,all,MWh,1.53909e+07
TEMOA,CASO,CASO_batteries_1,Battery,2027,current_policies_52_week,all,MWh,5.77205e+06
TEMOA,CASO,CASO_biomass_1,Other,2027,current_policies_52_week,all,MWh,889184
TEMOA,CASO,CASO_biomass_2,Other,2027,current_policies_52_week,all,MWh,176158
TEMOA,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,2.40865e+06
TEMOA,CASO,CASO_distributed_generation_1,Distributed Solar,2027,current_policies_52_week,all,MWh,1.61123e+07
TEMOA,CASO,CASO_geothermal_1,Geothermal,2027,current_policies_52_week,all,MWh,206997
TEMOA,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,current_policies_52_week,all,MWh,465846
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week,all,MWh,104429
TEMOA,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week,all,MWh,3.91214e+07
TEMOA,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,current_policies_52_week,all,MWh,14959.7
TEMOA,CASO,CASO_onshore_wind_turbine_1,Wind,2027,current_policies_52_week,all,MWh,1.2495e+07
TEMOA,CASO,CASO_small_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,576018
TEMOA,CASO,CASO_solar_photovoltaic_1,Solar,2027,current_policies_52_week,all,MWh,3.16865e+07
TEMOA,CASO,CASO_utilitypv_class1_moderate_1_anyQual_1,Solar,2027,current_policies_52_week,all,MWh,462732
TEMOA,FRCC,FRCC_batteries_1,Battery,2027,current_policies_52_week,all,MWh,14788.9
TEMOA,FRCC,FRCC_biomass_1,Other,2027,current_policies_52_week,all,MWh,734925
TEMOA,FRCC,FRCC_biomass_2,Other,2027,current_policies_52_week,all,MWh,995292
TEMOA,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,current_policies_52_week,all,MWh,106124
TEMOA,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,current_policies_52_week,all,MWh,2.71864e+07
TEMOA,FRCC,FRCC_conventional_steam_coal_2,Coal,2027,current_policies_52_week,all,MWh,7748.94
TEMOA,FRCC,FRCC_distributed_generation_1,Distributed Solar,2027,current_policies_52_week,all,MWh,5.86716e+06
TEMOA,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,current_policies_52_week,all,MWh,1.63675e+08
TEMOA,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,current_policies_52_week,all,MWh,354536
