region,marginal_price,total_demand
BASN,28.141284176954592,154373402.0
CASO,31.988467788212063,141559023.0
CANO,33.170430774247414,219102255.0
FRCC,30.117679708631474,305390926.0
ISNE,24.545033578137854,185912448.0
MISC,25.911417798808486,243790194.0
MISE,33.37749889288398,126030936.0
MISS,25.954209615770903,223677305.0
MISW,26.960302333448162,294141188.0
NWPP,60.468147217911934,260888430.0
NYCW,30.525862080994703,97972883.0
NYUP,23.51679148247307,85901025.0
PJMC,28.62373978356562,142659266.0
PJMD,28.355754633300393,134294097.0
PJME,28.456735225473306,361596414.0
PJMW,28.425763713595536,381430632.0
RMRG,22.55777698508154,129535560.0
SPPC,23.074580158485098,101870818.0
SPPN,21.53832960682766,67540119.0
SPPS,20.46531017873242,162787259.0
SRCA,28.640068437352635,263347390.0
SRCE,28.397521326672404,264512199.0
SRSE,28.23644467814846,303257618.0
SRSG,26.76350255279159,183293864.0
TRE,22.995455081197232,515960435.0
TREW,19.659568854321893,24676479.0
