model,zone,planning_year,case,unit,value
USENSYS,BASN,2027,full-current-policies,tons,41795309
USENSYS,BASN,2030,full-current-policies,tons,44173324
USENSYS,BASN,2035,full-current-policies,tons,37474331
USENSYS,BASN,2040,full-current-policies,tons,33700186
USENSYS,BASN,2045,full-current-policies,tons,34454432
USENSYS,BASN,2050,full-current-policies,tons,29337436
USENSYS,CANO,2027,full-current-policies,tons,19471823
USENSYS,CANO,2030,full-current-policies,tons,25534794
USENSYS,CANO,2035,full-current-policies,tons,25279973
USENSYS,CANO,2040,full-current-policies,tons,16206864
USENSYS,CANO,2045,full-current-policies,tons,21610422
USENSYS,CANO,2050,full-current-policies,tons,20410658
USENSYS,CASO,2027,full-current-policies,tons,20416204
USENSYS,CASO,2030,full-current-policies,tons,22843292
USENSYS,CASO,2035,full-current-policies,tons,30086664
USENSYS,CASO,2040,full-current-policies,tons,33015153
USENSYS,CASO,2045,full-current-policies,tons,48879529
USENSYS,CASO,2050,full-current-policies,tons,55482859
USENSYS,FRCC,2027,full-current-policies,tons,89610510
USENSYS,FRCC,2030,full-current-policies,tons,91577025
USENSYS,FRCC,2035,full-current-policies,tons,104456304
USENSYS,FRCC,2040,full-current-policies,tons,71355926
USENSYS,FRCC,2045,full-current-policies,tons,88368700
USENSYS,FRCC,2050,full-current-policies,tons,80141526
USENSYS,ISNE,2027,full-current-policies,tons,15523867
USENSYS,ISNE,2030,full-current-policies,tons,18049601
USENSYS,ISNE,2035,full-current-policies,tons,23273184
USENSYS,ISNE,2040,full-current-policies,tons,23275958
USENSYS,ISNE,2045,full-current-policies,tons,23272911
USENSYS,ISNE,2050,full-current-policies,tons,23275214
USENSYS,MISC,2027,full-current-policies,tons,119191181
USENSYS,MISC,2030,full-current-policies,tons,122805297
USENSYS,MISC,2035,full-current-policies,tons,112180387
USENSYS,MISC,2040,full-current-policies,tons,74110182
USENSYS,MISC,2045,full-current-policies,tons,83487180
USENSYS,MISC,2050,full-current-policies,tons,83697302
USENSYS,MISE,2027,full-current-policies,tons,49419817
USENSYS,MISE,2030,full-current-policies,tons,44021815
USENSYS,MISE,2035,full-current-policies,tons,46882764
USENSYS,MISE,2040,full-current-policies,tons,30589309
USENSYS,MISE,2045,full-current-policies,tons,35904800
USENSYS,MISE,2050,full-current-policies,tons,39720737
USENSYS,MISS,2027,full-current-policies,tons,84084029
USENSYS,MISS,2030,full-current-policies,tons,86006009
USENSYS,MISS,2035,full-current-policies,tons,92173325
USENSYS,MISS,2040,full-current-policies,tons,82479014
USENSYS,MISS,2045,full-current-policies,tons,84850503
USENSYS,MISS,2050,full-current-policies,tons,54742037
USENSYS,MISW,2027,full-current-policies,tons,88997784
USENSYS,MISW,2030,full-current-policies,tons,96056558
USENSYS,MISW,2035,full-current-policies,tons,105625615
USENSYS,MISW,2040,full-current-policies,tons,90913170
USENSYS,MISW,2045,full-current-policies,tons,97994640
USENSYS,MISW,2050,full-current-policies,tons,95894235
USENSYS,NWPP,2027,full-current-policies,tons,22414576
USENSYS,NWPP,2030,full-current-policies,tons,27024146
USENSYS,NWPP,2035,full-current-policies,tons,35947207
USENSYS,NWPP,2040,full-current-policies,tons,47574189
USENSYS,NWPP,2045,full-current-policies,tons,56968136
USENSYS,NWPP,2050,full-current-policies,tons,51211424
USENSYS,NYCW,2027,full-current-policies,tons,14981679
USENSYS,NYCW,2030,full-current-policies,tons,13792022
USENSYS,NYCW,2035,full-current-policies,tons,23273184
USENSYS,NYCW,2040,full-current-policies,tons,23275958
USENSYS,NYCW,2045,full-current-policies,tons,23272911
USENSYS,NYCW,2050,full-current-policies,tons,23275214
USENSYS,NYUP,2027,full-current-policies,tons,13616966
USENSYS,NYUP,2030,full-current-policies,tons,14717283
USENSYS,NYUP,2035,full-current-policies,tons,23273184
USENSYS,NYUP,2040,full-current-policies,tons,23275958
USENSYS,NYUP,2045,full-current-policies,tons,23272911
USENSYS,NYUP,2050,full-current-policies,tons,23275214
USENSYS,PJMC,2027,full-current-policies,tons,11686815
USENSYS,PJMC,2030,full-current-policies,tons,18841345
USENSYS,PJMC,2035,full-current-policies,tons,19491226
USENSYS,PJMC,2040,full-current-policies,tons,9028181
USENSYS,PJMC,2045,full-current-policies,tons,10094988
USENSYS,PJMC,2050,full-current-policies,tons,13292432
USENSYS,PJMD,2027,full-current-policies,tons,9890439
USENSYS,PJMD,2030,full-current-policies,tons,15786514
USENSYS,PJMD,2035,full-current-policies,tons,15942721
USENSYS,PJMD,2040,full-current-policies,tons,11686017
USENSYS,PJMD,2045,full-current-policies,tons,21977054
USENSYS,PJMD,2050,full-current-policies,tons,17218939
USENSYS,PJME,2027,full-current-policies,tons,28201142
USENSYS,PJME,2030,full-current-policies,tons,23274012
USENSYS,PJME,2035,full-current-policies,tons,23273184
USENSYS,PJME,2040,full-current-policies,tons,23275958
USENSYS,PJME,2045,full-current-policies,tons,23272911
