model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,BASN_to_CANO,2027,full-current-policies,MW,100,100
USENSYS,BASN_to_CASO,2027,full-current-policies,MW,5920,5920
USENSYS,BASN_to_NWPP,2027,full-current-policies,MW,3350,3350
USENSYS,BASN_to_RMRG,2027,full-current-policies,MW,3750,3750
USENSYS,BASN_to_SRSG,2027,full-current-policies,MW,5385,5385
USENSYS,CANO_to_CASO,2027,full-current-policies,MW,3675,3675
USENSYS,CANO_to_NWPP,2027,full-current-policies,MW,3675,3675
USENSYS,CASO_to_NWPP,2027,full-current-policies,MW,2858,2858
USENSYS,CASO_to_SRSG,2027,full-current-policies,MW,4354,4354
USENSYS,FRCC_to_SRSE,2027,full-current-policies,MW,3600,3600
USENSYS,ISNE_to_NYCW,2027,full-current-policies,MW,760,760
USENSYS,ISNE_to_NYUP,2027,full-current-policies,MW,1400,4024
USENSYS,MISC_to_MISS,2027,full-current-policies,MW,1039,1039
USENSYS,MISC_to_MISW,2027,full-current-policies,MW,1655,1655
USENSYS,MISC_to_PJMC,2027,full-current-policies,MW,5244,5244
USENSYS,MISC_to_PJMW,2027,full-current-policies,MW,5441,5441
USENSYS,MISC_to_SPPC,2027,full-current-policies,MW,1430,1430
USENSYS,MISC_to_SPPS,2027,full-current-policies,MW,1172,1172
USENSYS,MISC_to_SRCE,2027,full-current-policies,MW,3745,3745
USENSYS,MISE_to_PJMW,2027,full-current-policies,MW,2662,2662
USENSYS,MISS_to_SPPS,2027,full-current-policies,MW,1697,1697
USENSYS,MISS_to_SRCE,2027,full-current-policies,MW,4092,4092
USENSYS,MISS_to_SRSE,2027,full-current-policies,MW,891,891
USENSYS,MISW_to_NWPP,2027,full-current-policies,MW,200,200
USENSYS,MISW_to_PJMC,2027,full-current-policies,MW,3200,3200
USENSYS,MISW_to_SPPN,2027,full-current-policies,MW,5512,5512
USENSYS,NWPP_to_RMRG,2027,full-current-policies,MW,400,400
USENSYS,NYCW_to_NYUP,2027,full-current-policies,MW,2489,4773
USENSYS,NYCW_to_PJME,2027,full-current-policies,MW,660,3389
USENSYS,NYUP_to_PJME,2027,full-current-policies,MW,1255,1255
USENSYS,PJMC_to_PJMW,2027,full-current-policies,MW,980,980
USENSYS,PJMD_to_PJME,2027,full-current-policies,MW,1200,1200
USENSYS,PJMD_to_PJMW,2027,full-current-policies,MW,6930,6930
USENSYS,PJMD_to_SRCA,2027,full-current-policies,MW,1000,1000
USENSYS,PJME_to_PJMW,2027,full-current-policies,MW,3885,3885
USENSYS,PJMW_to_SRCA,2027,full-current-policies,MW,1219,1219
USENSYS,PJMW_to_SRCE,2027,full-current-policies,MW,3333,3333
USENSYS,RMRG_to_SPPC,2027,full-current-policies,MW,210,210
USENSYS,RMRG_to_SPPN,2027,full-current-policies,MW,410,410
USENSYS,RMRG_to_SRSG,2027,full-current-policies,MW,614,614
USENSYS,SPPC_to_SPPN,2027,full-current-policies,MW,1433,1433
USENSYS,SPPC_to_SPPS,2027,full-current-policies,MW,3372,3372
USENSYS,SPPS_to_SRSG,2027,full-current-policies,MW,1010,1010
USENSYS,SPPS_to_TRE,2027,full-current-policies,MW,600,600
USENSYS,SPPS_to_TREW,2027,full-current-policies,MW,220,589
USENSYS,SRCA_to_SRCE,2027,full-current-policies,MW,216,216
USENSYS,SRCA_to_SRSE,2027,full-current-policies,MW,1400,1400
USENSYS,SRCE_to_SRSE,2027,full-current-policies,MW,3196,3196
USENSYS,TRE_to_TREW,2027,full-current-policies,MW,16529,16528
USENSYS,BASN_to_CANO,2030,full-current-policies,MW,100,100
USENSYS,BASN_to_CASO,2030,full-current-policies,MW,5920,5919
USENSYS,BASN_to_NWPP,2030,full-current-policies,MW,3350,3349
USENSYS,BASN_to_RMRG,2030,full-current-policies,MW,3750,3749
USENSYS,BASN_to_SRSG,2030,full-current-policies,MW,5385,5384
USENSYS,CANO_to_CASO,2030,full-current-policies,MW,3675,3674
USENSYS,CANO_to_NWPP,2030,full-current-policies,MW,3675,3674
USENSYS,CASO_to_NWPP,2030,full-current-policies,MW,2858,2857
USENSYS,CASO_to_SRSG,2030,full-current-policies,MW,4354,4353
USENSYS,FRCC_to_SRSE,2030,full-current-policies,MW,3600,3599
USENSYS,ISNE_to_NYCW,2030,full-current-policies,MW,760,760
USENSYS,ISNE_to_NYUP,2030,full-current-policies,MW,4024,10518
USENSYS,MISC_to_MISS,2030,full-current-policies,MW,1039,1039
USENSYS,MISC_to_MISW,2030,full-current-policies,MW,1655,1655
USENSYS,MISC_to_PJMC,2030,full-current-policies,MW,5244,5243
USENSYS,MISC_to_PJMW,2030,full-current-policies,MW,5441,5440
USENSYS,MISC_to_SPPC,2030,full-current-policies,MW,1430,1430
USENSYS,MISC_to_SPPS,2030,full-current-policies,MW,1172,1172
USENSYS,MISC_to_SRCE,2030,full-current-policies,MW,3745,3744
USENSYS,MISE_to_PJMW,2030,full-current-policies,MW,2662,2661
USENSYS,MISS_to_SPPS,2030,full-current-policies,MW,1697,1697
USENSYS,MISS_to_SRCE,2030,full-current-policies,MW,4092,4091
USENSYS,MISS_to_SRSE,2030,full-current-policies,MW,891,891
USENSYS,MISW_to_NWPP,2030,full-current-policies,MW,200,200
USENSYS,MISW_to_PJMC,2030,full-current-policies,MW,3200,3199
USENSYS,MISW_to_SPPN,2030,full-current-policies,MW,5512,5511
USENSYS,NWPP_to_RMRG,2030,full-current-policies,MW,400,400
USENSYS,NYCW_to_NYUP,2030,full-current-policies,MW,4773,6618
USENSYS,NYCW_to_PJME,2030,full-current-policies,MW,3389,3388
USENSYS,NYUP_to_PJME,2030,full-current-policies,MW,1255,3246
USENSYS,PJMC_to_PJMW,2030,full-current-policies,MW,980,980
USENSYS,PJMD_to_PJME,2030,full-current-policies,MW,1200,1200
USENSYS,PJMD_to_PJMW,2030,full-current-policies,MW,6930,6929
USENSYS,PJMD_to_SRCA,2030,full-current-policies,MW,1000,1000
USENSYS,PJME_to_PJMW,2030,full-current-policies,MW,3885,3884
USENSYS,PJMW_to_SRCA,2030,full-current-policies,MW,1219,1219
USENSYS,PJMW_to_SRCE,2030,full-current-policies,MW,3333,3332
USENSYS,RMRG_to_SPPC,2030,full-current-policies,MW,210,210
USENSYS,RMRG_to_SPPN,2030,full-current-policies,MW,410,1518
USENSYS,RMRG_to_SRSG,2030,full-current-policies,MW,614,614
USENSYS,SPPC_to_SPPN,2030,full-current-policies,MW,1433,1433
USENSYS,SPPC_to_SPPS,2030,full-current-policies,MW,3372,3371
USENSYS,SPPS_to_SRSG,2030,full-current-policies,MW,1010,1010
USENSYS,SPPS_to_TRE,2030,full-current-policies,MW,600,600
USENSYS,SPPS_to_TREW,2030,full-current-policies,MW,589,1089
USENSYS,SRCA_to_SRCE,2030,full-current-policies,MW,216,216
USENSYS,SRCA_to_SRSE,2030,full-current-policies,MW,1400,1400
USENSYS,SRCE_to_SRSE,2030,full-current-policies,MW,3196,3195
USENSYS,TRE_to_TREW,2030,full-current-policies,MW,16529,16526
USENSYS,MISE_to_MISW,2030,full-current-policies,MW,,1
USENSYS,BASN_to_CANO,2035,full-current-policies,MW,100,100
USENSYS,BASN_to_CASO,2035,full-current-policies,MW,5920,5919
USENSYS,BASN_to_NWPP,2035,full-current-policies,MW,3350,3350
USENSYS,BASN_to_RMRG,2035,full-current-policies,MW,3750,3750
USENSYS,BASN_to_SRSG,2035,full-current-policies,MW,5385,5385
USENSYS,CANO_to_CASO,2035,full-current-policies,MW,3675,3675
USENSYS,CANO_to_NWPP,2035,full-current-policies,MW,3675,3675
USENSYS,CASO_to_NWPP,2035,full-current-policies,MW,2858,2858
USENSYS,CASO_to_SRSG,2035,full-current-policies,MW,4354,4354
USENSYS,FRCC_to_SRSE,2035,full-current-policies,MW,3600,3600
USENSYS,ISNE_to_NYCW,2035,full-current-policies,MW,760,760
USENSYS,ISNE_to_NYUP,2035,full-current-policies,MW,10518,10517
USENSYS,MISC_to_MISS,2035,full-current-policies,MW,1039,1039
USENSYS,MISC_to_MISW,2035,full-current-policies,MW,1655,1655
USENSYS,MISC_to_PJMC,2035,full-current-policies,MW,5244,5244
USENSYS,MISC_to_PJMW,2035,full-current-policies,MW,5441,5440
USENSYS,MISC_to_SPPC,2035,full-current-policies,MW,1430,2766
USENSYS,MISC_to_SPPS,2035,full-current-policies,MW,1172,1725
USENSYS,MISC_to_SRCE,2035,full-current-policies,MW,3745,3745
USENSYS,MISE_to_MISW,2035,full-current-policies,MW,1,1
USENSYS,MISE_to_PJMW,2035,full-current-policies,MW,2662,2662
USENSYS,MISS_to_SPPS,2035,full-current-policies,MW,1697,1697
USENSYS,MISS_to_SRCE,2035,full-current-policies,MW,4092,4092
USENSYS,MISS_to_SRSE,2035,full-current-policies,MW,891,891
USENSYS,MISW_to_NWPP,2035,full-current-policies,MW,200,200
USENSYS,MISW_to_PJMC,2035,full-current-policies,MW,3200,3200
USENSYS,MISW_to_SPPN,2035,full-current-policies,MW,5512,5511
