Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,141330.1082730219,0.0,0.0,141330.1082730219
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,228092.77705514818,0.0,228092.77705514818
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,4395.90529985029,0.0,4395.90529985029
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,104195.08026281308,0.0,104195.08026281308
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,19145.10306225339,0.0,19145.10306225339
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,86861.45473165886,86861.45473165886
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,188276.86809732136,188276.86809732136
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,153898.7722118321,0.0,0.0,153898.7722118321
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,1.3077530593188312e6,0.0,0.0,1.3077530593188312e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,3.6940273104827474e6,0.0,0.0,3.6940273104827474e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,327895.7399326016,0.0,0.0,327895.7399326016
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,211663.51602668717,0.0,0.0,211663.51602668717
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.1790120679587375e6,0.0,0.0,1.1790120679587375e6
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,67006.39879794056,0.0,67006.39879794056
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,7080.261938856373,0.0,7080.261938856373
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,6778.974649232815,0.0,6778.974649232815
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,17941.686474381564,0.0,17941.686474381564
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,18017.005442175596,0.0,18017.005442175596
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,0.03743548553633666,0.0,0.03743548553633666
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,1.7217674434213828,0.0,1.7217674434213828
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0,16013.443641924681,0.0,16013.443641924681
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0,406738.25388112094,0.0,406738.25388112094
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.0,42180.287533639224,0.0,42180.287533639224
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0,13708.59260096336,0.0,13708.59260096336
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,0.0,527223.4617816171,0.0,527223.4617816171
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.0,44183.84970016887,0.0,44183.84970016887
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,0.0,112455.65853899223,0.0,112455.65853899223
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0,3268.9717887687707,0.0,3268.9717887687707
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.0,12623.942411590737,0.0,12623.942411590737
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,0.0,3735.956944392768,0.0,3735.956944392768
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,0.0,113977.16258414577,0.0,113977.16258414577
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,0.0,426081.1618011768,0.0,426081.1618011768
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.0,113947.033192024,0.0,113947.033192024
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,0.0,244193.73574217502,0.0,244193.73574217502
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.0,33156.71842105884,0.0,33156.71842105884
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,0.0,79524.90470285997,0.0,79524.90470285997
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,0.0,50495.82968319597,0.0,50495.82968319597
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,0.0,80368.51184164522,0.0,80368.51184164522
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,0.0,0.0,794766.4264746025,794766.4264746025
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,0.0,0.0,4.814490290332419e6,4.814490290332419e6
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,313329.574220284,313329.574220284
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,223128.635183847,223128.635183847
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,1.1897353605626726e6,1.1897353605626726e6
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,619436.581833668,619436.581833668
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,2.9814188599062935e6,2.9814188599062935e6
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.19434853952442843,0.19434853952442843
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,1.201202199830534e7,1.201202199830534e7
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,865855.9689133535,865855.9689133535
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,9.838435025003282e6,9.838435025003282e6
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.0,0.0,249462.60072354015,249462.60072354015
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.0,0.0,9.871301765737794e6,9.871301765737794e6
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0,0.0,338608.558932872,338608.558932872
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.0,0.0,146845.33970704934,146845.33970704934
PJM_Rest,PJM_Rest_nuclear_1,11,1,0.0,0.0,1.2030849022936353e6,1.2030849022936353e6
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,0.2593491799732493,0.0,0.0,0.2593491799732493
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.5938078127663365,0.0,0.0,0.5938078127663365
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.05251317936245831,0.0,0.0,0.05251317936245831
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.09027306910789956,0.0,0.0,0.09027306910789956
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.0,0.1017270830975114,0.0,0.1017270830975114
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.0,0.08153579472813668,0.0,0.08153579472813668
NY_Z_A,NY_Z_A_nuclear_nuclear_moderate_0,2,0,0.0,0.023919767095050632,0.0,0.023919767095050632
NY_Z_A,NY_Z_A_naturalgas_ccs100_moderate_0,2,0,0.0,0.02796347080450392,0.0,0.02796347080450392
NY_Z_B,NY_Z_B_naturalgas_ccavgcf_moderate_0,3,0,0.0,0.2718033598485606,0.0,0.2718033598485606
NY_Z_B,NY_Z_B_naturalgas_ctavgcf_moderate_0,3,0,0.0,0.0902051814230976,0.0,0.0902051814230976
NY_Z_B,NY_Z_B_nuclear_nuclear_moderate_0,3,0,0.0,0.02261008166948916,0.0,0.02261008166948916
NY_Z_B,NY_Z_B_naturalgas_ccs100_moderate_0,3,0,0.0,0.03737772523091083,0.0,0.03737772523091083
NY_Z_C&E,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,4,0,0.0,0.1840767510460845,0.0,0.1840767510460845
NY_Z_C&E,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,4,0,0.0,0.20439305315379974,0.0,0.20439305315379974
NY_Z_C&E,NY_Z_C&E_nuclear_nuclear_moderate_0,4,0,0.0,0.027989264904229427,0.0,0.027989264904229427
NY_Z_C&E,NY_Z_C&E_naturalgas_ccs100_moderate_0,4,0,0.0,0.036824170761184195,0.0,0.036824170761184195
NY_Z_D,NY_Z_D_naturalgas_ccavgcf_moderate_0,5,0,0.0,0.1623987401469877,0.0,0.1623987401469877
NY_Z_D,NY_Z_D_naturalgas_ctavgcf_moderate_0,5,0,0.0,0.21272332511906245,0.0,0.21272332511906245
NY_Z_D,NY_Z_D_nuclear_nuclear_moderate_0,5,0,0.0,0.02195882412895667,0.0,0.02195882412895667
NY_Z_D,NY_Z_D_naturalgas_ccs100_moderate_0,5,0,0.0,0.032251143930190684,0.0,0.032251143930190684
NY_Z_F,NY_Z_F_naturalgas_ccavgcf_moderate_0,6,0,0.0,752697.8315475177,0.0,752697.8315475177
NY_Z_F,NY_Z_F_naturalgas_ctavgcf_moderate_0,6,0,0.0,0.22976031326866184,0.0,0.22976031326866184
NY_Z_F,NY_Z_F_nuclear_nuclear_moderate_0,6,0,0.0,0.03008914054901835,0.0,0.03008914054901835
NY_Z_F,NY_Z_F_naturalgas_ccs100_moderate_0,6,0,0.0,0.04050381087408693,0.0,0.04050381087408693
NY_Z_G-I,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,0,0.0,0.1640118913046318,0.0,0.1640118913046318
NY_Z_G-I,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,0,0.0,0.10146200310071421,0.0,0.10146200310071421
NY_Z_G-I,NY_Z_G-I_nuclear_nuclear_moderate_0,7,0,0.0,0.027863957093625297,0.0,0.027863957093625297
NY_Z_G-I,NY_Z_G-I_naturalgas_ccs100_moderate_0,7,0,0.0,0.03066228059530124,0.0,0.03066228059530124
NY_Z_J,NY_Z_J_naturalgas_ccavgcf_moderate_0,8,0,0.0,0.11393304075082522,0.0,0.11393304075082522
NY_Z_J,NY_Z_J_naturalgas_ctavgcf_moderate_0,8,0,0.0,0.14174760020294197,0.0,0.14174760020294197
NY_Z_J,NY_Z_J_nuclear_nuclear_moderate_0,8,0,0.0,0.022804321444024094,0.0,0.022804321444024094
NY_Z_J,NY_Z_J_naturalgas_ccs100_moderate_0,8,0,0.0,0.030278183010880942,0.0,0.030278183010880942
