Constraint,CapRes_1,CapRes_2,CapRes_3
t1,1.9908946729662693e-10,5.585084634855494e-10,5.870762103024816e-11
t2,1.8433329258966528e-10,5.264422709563418e-10,5.4277578658872296e-11
t3,1.8700277305084384e-10,5.302995612758804e-10,5.6210238480892197e-11
t4,1.7666619645976446e-10,5.100028128622176e-10,6.03547100030757e-11
t5,2.0384470730170425e-10,6.172283601445619e-10,6.7918787759882e-11
t6,2.0674716476366338e-10,6.889781024254439e-10,8.51883054508184e-11
t7,2.427275984718685e-10,7.734925300739268e-10,1.0673384631407243e-10
t8,2.829621469232522e-10,9.522389283063103e-10,1.3372821349484372e-10
t9,4.026361330011449e-10,2.138217504695956e-9,1.6201882061896642e-10
t10,3.5792510044985836e-10,1.0202227643157866e-9,5.4408392038493585e-11
t11,3.6347207315439113e-10,4.3335695632760273e-10,4.500547938845052e-11
t12,3.686146050241638e-10,3.7257066443105173e-10,3.462392953128797e-11
t13,3.0356301448843193e-10,3.8667009983191597e-10,3.120764840077804e-11
t14,2.7062336507578157e-10,3.534487610934681e-10,3.0606102781137035e-11
t15,2.9233038442880503e-10,3.127408200512551e-10,3.05415434555877e-11
t16,2.4988024154565874e-10,3.232811308980757e-10,3.4212598770555425e-11
t17,2.65782363521403e-10,5.895625643184529e-10,5.0231835117212336e-11
t18,4.32263984631499e-10,1.474032884302766e-9,1.004967712619375e-10
t19,4.506212704563457e-10,2.257603566444761e-9,1.350743198414342e-10
t20,3.514129320448875e-10,1.760483070474171e-9,9.779352093697347e-11
t21,2.873546783621278e-10,2.006071505313284e-9,8.772214205261788e-11
t22,2.9467494691225663e-10,1.859216316145373e-9,1.7381157288192047e-10
t23,2.5136346133144874e-10,8.975333303791822e-10,5.990959222160012e-11
t24,2.1742371167590335e-10,7.64396529059819e-10,1.014796501156646e-10
t25,3.17330348662251e-10,6.003569194393191e-10,6.564509290575759e-11
t26,1.9494164739313049e-10,5.379264372132041e-10,4.16400673356085e-11
t27,2.0757315977934027e-10,5.375633668529691e-10,4.817806301311775e-11
t28,2.064896339957835e-10,5.606094070575983e-10,5.2098525955096257e-11
t29,2.3134864426174197e-10,5.749671923191308e-10,4.3882215129212036e-11
t30,3.0566237555219133e-10,5.648241084810492e-10,4.702575210051311e-11
t31,3.1645570976106157e-10,5.751331116536821e-10,6.011350017287974e-11
t32,2.723597972784157e-10,5.494897075379298e-10,6.996986731401518e-11
t33,3.497350643576132e-10,5.314829123078513e-10,6.767199291495479e-11
t34,3.1291354845105695e-10,3.275334227216984e-10,3.714721306854864e-11
t35,3.028198092608442e-10,3.100616442181299e-10,2.7675660990502872e-11
t36,2.8016660316611675e-10,2.3357545731149026e-10,2.4706490599408457e-11
t37,2.4990488907116556e-10,2.0130675687546978e-10,2.3524551342226255e-11
t38,2.332696419697569e-10,2.05281068415689e-10,2.2925026140434924e-11
t39,2.432627315513113e-10,2.1235454797830704e-10,2.3845295827874622e-11
t40,2.2030067142150106e-10,2.508012447417615e-10,2.5721681808177925e-11
t41,8.000674966317763e-10,4.358354024034128e-10,3.226927609925878e-11
t42,4.0840950020570574e-10,5.48114339919853e-10,5.410842062323319e-11
t43,3.866632360062771e-10,5.414987855947782e-10,7.054656057489302e-11
t44,3.130127779759327e-10,4.3447509674502415e-10,5.454949856073173e-11
t45,2.9315463748307934e-10,4.031440030190467e-10,4.970902430944142e-11
t46,2.64404616068766e-10,3.746062149907146e-10,4.5088150171045455e-11
t47,2.1742009274278918e-10,3.47040015945792e-10,4.014178388773652e-11
t48,2.031436131207702e-10,3.149959743347891e-10,3.7733554510236194e-11
