Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,799.9999982826907,1.3363999971312348e7
3,599.9999846542598,1.4278799634802075e7
4,8.564595736828386,211682.54823145038
5,1.8407201319893236e-5,0.0947418651934905
6,499.99998108159076,1.2059999543687971e7
7,231.3532466764969,2.0745445629481475e6
8,1599.9993831104587,2.048319210258009e7
9,3249.9999727710833,3.128449973789445e7
10,2149.9999767709805,2.5610799723295923e7
11,754.9999794107345,2.6722469271263536e7
12,2915.6386150740655,3.108070763668954e7
13,3563.74142304584,2.2180726617037307e7
14,1289.9999852047563,9.92138988620978e6
15,174.99997852475238,803599.9013856628
16,659.999948168151,9.225479275494415e6
17,299.9999666607191,9.31169896518206e6
