Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,157706.17350234193,0.0,0.0,157706.17350234193
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,351979.21720876556,0.0,351979.21720876556
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,6619.236014668147,0.0,6619.236014668147
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,157954.2919738603,0.0,157954.2919738603
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,28746.700224479697,0.0,28746.700224479697
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,85468.40062968864,85468.40062968864
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,190111.21164039697,190111.21164039697
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,153671.53962763483,0.0,0.0,153671.53962763483
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,1.3058221516643716e6,0.0,0.0,1.3058221516643716e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,3.688573054330407e6,0.0,0.0,3.688573054330407e6
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,327411.5998409889,0.0,0.0,327411.5998409889
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,211350.9938227113,0.0,0.0,211350.9938227113
NENG_Rest,NENG_Rest_nuclear_1,1,1,0.9283231820261387,0.0,0.0,0.9283231820261387
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,103658.30890204018,0.0,103658.30890204018
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,10953.102082693507,0.0,10953.102082693507
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,10487.014079888431,0.0,10487.014079888431
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,27755.628682886854,0.0,27755.628682886854
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,27872.15298677814,0.0,27872.15298677814
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,0.14861272680737003,0.0,0.14861272680737003
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,412069.74237971054,0.0,412069.74237971054
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0,3.4208904385995065,0.0,3.4208904385995065
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0,629220.234500824,0.0,629220.234500824
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.0,65252.532359410056,0.0,65252.532359410056
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0,21207.072758777933,0.0,21207.072758777933
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,0.0,815610.0492247642,0.0,815610.0492247642
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.0,68352.02789640317,0.0,68352.02789640317
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,0.0,173967.9118575184,0.0,173967.9118575184
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0,5057.070796675822,0.0,5057.070796675822
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.0,19529.14834234555,0.0,19529.14834234555
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,0.0,5779.508005849138,0.0,5779.508005849138
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,0.0,176321.66366821204,0.0,176321.66366821204
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,0.0,659143.7939617705,0.0,659143.7939617705
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.0,176275.055642361,0.0,176275.055642361
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,0.0,377765.55495376827,0.0,377765.55495376827
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.0,51293.15146399867,0.0,51293.15146399867
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,0.0,123024.32678214597,0.0,123024.32678214597
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,0.0,78116.60286944783,0.0,78116.60286944783
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,0.0,124329.37830026927,0.0,124329.37830026927
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,0.0,0.0,791316.1265680856,791316.1265680856
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,0.0,0.0,4.793589522965204e6,4.793589522965204e6
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,311969.3413387959,311969.3413387959
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,222159.98496555895,222159.98496555895
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,1.1845704565823977e6,1.1845704565823977e6
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,616747.470656467,616747.470656467
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,2.9684759506168985e6,2.9684759506168985e6
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.5472817757503311,0.5472817757503311
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,1.1959875161378484e7,1.1959875161378484e7
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,862097.0966588359,862097.0966588359
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,9.795724206840618e6,9.795724206840618e6
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.0,0.0,248379.629125163,248379.629125163
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,0.0,0.0,9.828448264735742e6,9.828448264735742e6
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0,0.0,337138.5851029903,337138.5851029903
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,0.0,0.0,146207.85315324157,146207.85315324157
PJM_Rest,PJM_Rest_nuclear_1,11,1,0.0,0.0,1.1978623717529261e6,1.1978623717529261e6
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,435060.6201960923,0.0,0.0,435060.6201960923
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.4698869159069186,0.0,0.0,0.4698869159069186
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.08015390795349235,0.0,0.0,0.08015390795349235
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.14880791388563425,0.0,0.0,0.14880791388563425
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.0,0.6570827054001511,0.0,0.6570827054001511
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.0,0.2723419486278305,0.0,0.2723419486278305
