Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.997438260338092e10,6.063866933304671e9,3.5829021480651724e8,1.7583293943815093e7,4.438283462537246e9,5.2879644149630326e8,1.1098929770494554e9,5.932212185316579e8,3.1082223898683343e9,1.779793636726505e8,9.705238150759956e9,2.3627450769504044e10
cFix,3.474642282356551e10,4.390028837104325e9,3.494635545895794e8,1.689422255506595e7,4.2363513311185236e9,5.2873579522473997e8,4.1894518145950663e8,3.3424746653761464e8,2.7205630407847657e9,3.2311121577722844e7,7.975869838798066e9,1.3743012433815636e10
cVar,1.4219867321426196e9,2.0548952264984965e8,1.4758490914053353e6,560719.9244221325,8.341454607662883e6,3322.881045755987,9.440694028843339e7,3.786643606700776e7,5.232655860232282e7,2.2209906970809534e7,1.552948226797246e8,8.440111983799816e8
cFuel,1.3262694436688005e10,1.287271942497285e9,7.250382395465142e6,44.2153331523736,1.9191844828385273e8,18202.220066842136,5.822326947916234e8,2.1784943047906074e8,3.2236463494495255e8,1.166538778674906e8,1.5494029174163141e9,8.987731861576578e9
cNSE,2.061243131020491e8,1.5429058537242055e8,100419.6590800501,128300.10090973818,254121.52124000737,29039.50769599635,156526.88574770401,281846.32990859763,1.057139630096328e6,337565.0368690581,2.7856582103221854e6,4.6703110847759016e7
cStart,9.159690997636469e7,2.6786045680789817e7,9.070987340943827,7.148084127923937,1.4181070059666953e6,10081.662754570456,1.4151633624144334e7,2.976039118066157e6,1.1911015906196568e7,6.4668922197584845e6,2.188491365553106e7,5.992164884086059e6
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.3942741000570142e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
