Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.5820763282911295e8,1.785385683876691e7,1.0084388594494446e8,1.4255497003362188e8,3.4470279484540075e8,3.2238400928944357,650.8780809998,4.301005440871895e7,15.219455449442501,7.589154844723956e6,1.4327109334363721e7,3.7316807790903295e6,20.980496389829167,10.809355408364096,4.743272110581487e7,4.067106219969325e7,6.809920748755884e6,1.828846194825124e7,0.0,351587.26222818287,7.88246459936632e6,1.6047303768172865e6,3.839505590990953e6,8.38631640737611e6,32228.539750022934,24051.68339506429,45760.34237102322,5442.073217342962,27985.06759011332,47773.86921005579,162704.58749234304,49284.933895887276,389846.9026288096,1.9347599873300074e6,325617.1380375859,1.1178780987632917e6,830679.2239665816,1.5992082983184166e6,182587.30483923855,1.005057110229052e6,1.784979535896597e6,6.731036597243845e6,2.4991641994051007e6,2.9814714893315844e7,6.6371029972672835e7,1.866567954375494e7,1.10173608111259e9
t1,25985.931337018836,3168.0560742564658,17972.205539594353,18870.809133810133,51586.9979561719,0.00041149731785086323,0.09770968364610624,10027.196391013262,0.002922886972137322,1400.6081693340254,3842.168633351454,743.353984724937,0.0035583682223069937,0.0018606072556343759,8562.570176216746,10424.53149338209,549.6894596696793,1891.1869656397396,0.0,32.50067153909221,758.0984054491913,153.34795170560355,330.20979823264264,504.1225777381558,5.789839214982181,4.371828661518398,8.684984396957393,1.0040056334920942,5.317187182363218,9.807634573493383,35.21387845239486,11.993778098060053,89.8910071710566,390.9848741461241,75.99514397313416,383.934133088915,290.90749358921187,575.7416676201866,66.4927286644456,351.80640591206475,650.8663699545463,2331.5795483675233,794.5621620984809,7088.571161513846,22209.936286355132,5880.24775153604,198067.3910520957
t2,25985.93131747745,3168.0559093793713,17972.205507961302,18870.809131318027,51586.99793313774,0.0004094630685023036,0.09754280268954223,10027.196228979452,0.002921369885689844,1400.607997190666,3842.168566546936,743.3538186697172,0.003530703733519676,0.0018597157176745826,8562.570167909218,10424.531432877264,664.0715124954735,1892.4043853297042,0.0,40.13684927779283,859.4717634485219,175.49178878352254,397.11051718064294,741.9449099685762,2.701787005960233,2.00221984370156,4.000943121046195,0.4528323275551146,2.440071437314582,5.7622222367010165,20.689069518127482,7.046675354812557,41.185981980409935,142.56521333157374,44.961873697837454,234.41830729951874,176.2487470315751,363.2920864669234,39.43317729220671,217.06298990990987,450.84558536969257,1615.0510013483542,550.3815847727377,4743.209260961975,14227.10838955799,4066.861003750765,184312.8870256031
t3,25985.93130779605,3168.0557424625495,17972.205475676084,18870.809128827826,51586.997909950616,0.00041489173280383614,0.09737452382169867,10027.196066228833,0.0029214184110057597,1400.6078232540076,3842.168501995503,743.3537393447016,0.003511140942443557,0.0018637786429870718,8562.570159429868,10424.531374713264,866.9825762647954,2092.593639531836,0.0,53.04541777027036,1014.8337119463398,220.48185667585372,450.2895037577803,980.3087248308732,2.0016516271838722,1.5114288735030104,3.0025747693234326,0.3471703143719241,1.838285110355998,3.390671868188542,12.173913889547691,4.1464391568464904,32.12173351333976,64.39933660932843,26.59957333823841,162.94534048823252,123.46395522217763,244.35032617157378,28.220234399723996,149.31006831263977,276.233936832619,989.5446669118244,337.21979868896506,2939.9447567160882,7397.423158887913,2484.3174622298397,173547.57523014236
t4,25985.931304192567,3168.055701588803,17972.20546521774,18870.80913114452,51586.997886570854,0.00043782968637538864,0.09733464466557555,10027.196027568216,0.002950119619017074,1400.6078066127388,3842.168491795169,743.3537272004849,0.003511334233420255,0.0019117952357716205,8562.570166582835,10424.53131864311,1011.5876456496737,2496.340412900954,0.0,60.79330482578625,1103.2419843451498,258.90934653698633,534.9112118569399,1175.5663819039348,1.2614318182040798,0.9524760050810065,0.8749999436107408,0.09983711327687458,0.5344876910291857,0.9892765636653196,3.5215527274012124,1.2064275216226834,10.505825028701215,35.53859240728586,7.404258705876211,83.37633651840655,63.17436847572114,82.14606133558824,9.618475720787071,49.819800957885924,88.8644380071956,322.3448651924103,109.73596700330141,1217.4885407805361,2885.047154362273,392.044801099805,164592.43343583957
t5,25985.931300912547,3168.0556813635853,17972.20545494225,18870.80913352556,51586.99786313061,0.000464551275370536,0.09731992043008547,10027.196013330697,0.0029897550159973204,1400.607790409534,3842.168482593366,743.3537156383181,0.0035123836960695024,0.001991178661166181,8562.570173589593,10424.53126474939,1067.5999944654955,2699.45165198064,0.0,63.29997671409339,1124.6963566256047,274.59998128815226,571.9997523075249,1246.2180440063523,3.0334681539416013e-5,3.0303292066231183e-5,2.9947865291885737e-5,3.1712281700344696e-5,2.9534798259520197e-5,3.1397434565943077e-5,3.126430410665598e-5,2.9453780652700958e-5,9.967734096219731,40.05758719570748,1.6371582482168272e-5,2.1582976918539893,1.6353671541325567,3.236525467060891,0.3738487561883508,1.9776795029738257,3.658811322274691,13.106844552763892,4.458862863681269,309.4011062510378,813.418399365613,1.8879985385131347e-5,160835.85025278188
t6,25985.931285739232,3168.0556117044516,17972.20543219267,18870.80913584933,51586.99783986613,0.0004705445327286967,0.09725383665655785,10027.19594991031,0.0030023314477327914,1400.6077215594414,3842.1684486769354,743.3536720895712,0.0035010917430240494,0.0020191531869954214,8562.57018055286,10424.53121524187,1034.9198348005646,2701.9271611031645,0.0,60.57175043861692,1079.1968192822724,267.58120807157286,561.6123081842995,1192.312430647745,5.343863384934341e-5,5.35868080602852e-5,5.411475673952921e-5,5.672453509717764e-5,5.3421091457779076e-5,3.956153596619256e-5,3.977200151865315e-5,3.661416186367468e-5,1.8155096768880508e-5,2.7980696787017804e-5,5.980459766405863e-5,10.50342906466981,7.958480887684836,15.750772151387954,1.8191055809755958,9.624487277131546,17.80595900032764,63.78585147274761,21.729342112864295,32.86002398846148,641.6724312873362,6.779547300802065e-5,160306.1646966616
t7,25985.931262587543,3097.453282004692,17972.205390699506,18870.809131233116,47788.51339445932,0.00047706525114644786,0.08966772338574731,8300.636712894799,0.003011134188832968,1162.7396568836214,3842.168336177756,735.2714698667706,0.003472404262679319,0.002051806470803491,8562.570163774144,7932.135282981065,913.5471587852312,2503.5234495034024,0.0,52.608615939992305,966.743370984222,237.82555664720027,503.7488730456414,1013.7916506533548,2.844492207688838,2.2380132564128608,3.0765301599957438,0.37628474200019363,0.00015396675471004867,0.0001579637833390793,0.00014786966044896382,0.00014666480085668838,0.00014199049869748558,182.58003523447874,4.2532527428156195e-5,31.0855998403469,23.55362534229737,46.615475608066205,5.3836925493320384,28.484335704205478,52.69799032102538,188.77856833843745,64.3246919336763,463.5070408862216,1938.9559684758879,123.27125100868263,153600.09582585175
t8,23872.767292600256,2994.0120822201593,16624.976755622843,17626.800959027103,43524.07921621833,0.0003448849302544557,0.08112989925103191,5394.977180186124,0.00021972033454192543,438.5108869651073,1921.0830778974819,367.6583806771861,0.0009814660113987767,5.1115784746680494e-5,6845.178930946911,5439.739136181817,703.5424648547041,2104.4840395540423,0.0,39.410572408913694,787.2550521368081,185.36048622186152,398.4094478642754,710.6648740017498,8.535209011771174,6.585001277522878,13.876350183178758,1.6252425626823077,6.6122884016056025,12.1958731628374,43.7871755505893,14.914184100792832,132.32205765041894,739.7425434568304,105.7006328701135,73.01274694756754,55.321898669545725,109.48878738174152,12.645017991698646,66.9030359068451,123.7752046451555,443.3962829647074,151.0940517281059,1357.1999290027652,4564.408734103131,840.1772478963193,138862.3130581379
