region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4509731773881896e6,0.0,0.0,0.0,186150.25506239317,2.8913886607866465e-5,0.0,0.0,1.4509731773881896e6,5.6797387599999994e7,-5.53464144226118e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142586666944519e6,0.0,0.0,0.0,328791.6922096685,847965.2019770999,0.0,0.0,3.142586666944519e6,1.295391149e8,-1.2639652823305549e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65018.97006042788,0.0,0.0,0.0,6254.773316290855,14443.242991433197,0.0,0.0,65018.97006042788,3.3676233e6,-3.302604329939572e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5066318397129562e6,0.0,0.0,0.0,152742.7273295872,376600.29175503005,0.0,0.0,1.5066318397129562e6,4.30715296e7,-4.156489776028705e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315869.78555369144,0.0,0.0,0.0,27097.82387728635,69791.03864456479,0.0,0.0,315869.78555369144,1.4608994600000001e7,-1.429312481444631e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893554.1041018582,0.0,0.0,0.0,95248.47067111525,1.4891658255900746e-5,0.0,0.0,893554.1041018582,3.0430972e7,-2.953741789589814e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15771097990516e6,0.0,0.0,0.0,217004.91136303637,2.0508363307409053e-5,0.0,0.0,1.15771097990516e6,8.02164678e7,-7.905875682009484e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.894827399101099e7,0.0,0.0,7.145376844169462e6,0.0,0.0,2.8950890551033575,0.0,0.0,1.1858738053632108e6,0.0,0.0,0.0,161907.2792598526,0.0,0.0,0.0,1.1858738053632108e6,4.609365373026951e7,-4.49077799249063e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,6.940971309398708e7,0.0,0.0,139075.06240339405,932170.1842869505,0.0,828019.4663604462,0.0,0.0,22292.208899576413,0.0,0.0,0.0,1.3758052574523264e6,0.0,0.0,0.0,22292.208899576413,7.130897780703788e7,-7.12866855981383e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,11,0.0,0.0,0.0,1.1635069109689036e8,0.0,0.0,1.1424328084041804e8,7.979893166703194e8,0.0,4.216724445160513e7,0.0,0.0,1.1288323374897322e7,0.0,0.0,0.0,3.8862552497487823e6,0.0,0.0,0.0,1.1288323374897322e7,1.070750533059233e9,-1.0594622096843356e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,12,0.0,0.0,0.0,1.0686073152548697e7,0.0,0.0,17.259201551003756,109.48578318570911,0.0,13.872253553437522,0.0,0.0,1.2092909321379757,0.0,0.0,0.0,344958.612715171,0.0,0.0,0.0,1.2092909321379757,1.0686213769786987e7,-1.0686212560496055e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,13,0.0,0.0,0.0,8.52335749449292e6,0.0,0.0,7.159710716570545,55.836389193339194,0.0,12.551102110892266,0.0,0.0,0.4344882209790851,0.0,0.0,0.0,222677.95397562924,0.0,0.0,0.0,0.4344882209790851,8.523433041694941e6,-8.52343260720672e6
NENG_Rest,NENG_Rest_nuclear_1,1,1,14,0.0,0.0,0.0,804.447305461733,0.0,0.0,0.0,194.8677108025946,0.0,4.7034457463430694,0.0,0.0,8.230753854608993,0.0,0.0,0.0,1.1749610226723566,1.6006903388772403e-10,0.0,0.0,8.230753854608993,1004.0184620106706,-995.7877081560616
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,15,0.0,0.0,0.0,8.295074949428729e6,0.0,0.0,10.288117452481647,61.128597825040345,0.0,14.168739483455758,0.0,0.0,0.5935162858213653,0.0,0.0,0.0,101307.25024439806,0.0,0.0,0.0,0.5935162858213653,8.29516053488349e6,-8.295159941367204e6
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,16,0.0,0.0,0.0,741142.529069281,0.0,0.0,9.89641726572864,56.42283994532755,0.0,10.455530966895099,0.0,0.0,0.5325161459112329,0.0,0.0,0.0,10704.671492452298,0.0,0.0,0.0,0.5325161459112329,741219.3038574589,-741218.7713413129
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,0.0,2.610539802532769e6,0.0,0.0,293892.3645808514,5.709464254498355e6,0.0,8.949406500945166,0.0,0.0,81335.74265880592,0.0,0.0,0.0,10249.159293766557,0.0,0.0,0.0,81335.74265880592,8.613905371018477e6,-8.532569628359672e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,0.0,2.2210958624496083e6,0.0,0.0,10.803166522495342,62.63361294407192,0.0,15.019698604732655,0.0,0.0,0.6419902150213662,0.0,0.0,0.0,27126.10985744932,0.0,0.0,0.0,0.6419902150213662,2.22118431892768e6,-2.221183676937465e6
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
