Constraint,CapRes_1,CapRes_2,CapRes_3
t1,2.896220048876153e-10,4.570755886053012e-10,7.236004759143037e-11
t2,2.3824356931499853e-10,4.414513645877565e-10,7.171855297491038e-11
t3,2.27398325104423e-10,4.57516231119207e-10,7.401529314212643e-11
t4,2.1794606634330366e-10,4.5771244349044367e-10,8.04935537162078e-11
t5,2.453805579400782e-10,5.01337637432096e-10,8.850107193653147e-11
t6,2.800240484751975e-10,5.338116096171335e-10,9.893253879327587e-11
t7,3.5430614594704134e-10,5.801143471511862e-10,1.2598235423757983e-10
t8,4.1441986729185347e-10,6.64545314855638e-10,1.5235875578700736e-10
t9,7.025206362006077e-10,1.291464153385693e-9,1.7015710265035078e-10
t10,4.094911628737243e-10,6.822441549129803e-10,7.007415242607329e-11
t11,4.200649617005052e-10,3.6360208640930633e-10,5.7102543610199353e-11
t12,3.891570859341791e-10,3.5473178715881935e-10,4.39481286083132e-11
t13,3.21306759235693e-10,3.3868711944846573e-10,3.970717603372847e-11
t14,2.9505946416761994e-10,3.238059422893278e-10,3.918400771341554e-11
t15,3.205304836319023e-10,2.8888869453498817e-10,3.9010488857590525e-11
t16,3.0847259072389117e-10,3.024792032649189e-10,4.367559162977054e-11
t17,3.498976613765715e-10,5.075997723541559e-10,5.840326866278405e-11
t18,9.558708444792268e-10,1.0704725264108044e-9,1.2625690768589304e-10
t19,1.0656142786322333e-9,1.5406221953537512e-9,1.6698279596552377e-10
t20,6.749014136109243e-10,1.5021237280916983e-9,1.2393065186225868e-10
t21,5.475907300212534e-10,1.4419107722945479e-9,1.086659551780127e-10
t22,5.237600295289078e-10,1.2940072332452235e-9,3.9810868680276784e-10
t23,3.961273333918709e-10,7.115235714693482e-10,7.26953096249802e-11
t24,3.2829966794941975e-10,6.043534550116679e-10,1.739842602837771e-10
t25,5.651815821973973e-10,4.738060028841042e-10,6.426739357765237e-11
t26,3.1397812992834323e-10,4.67327528271367e-10,5.216683784258215e-11
t27,3.2287567968802735e-10,4.5432416879936663e-10,5.680701167647421e-11
t28,3.1150771672626566e-10,4.420629363935917e-10,5.1301679862364055e-11
t29,3.6482033371629074e-10,4.3698583855665977e-10,5.4021200990887604e-11
t30,4.2230418541387166e-10,4.112487663906792e-10,5.838047308296948e-11
t31,4.5894651651623477e-10,3.920825933572747e-10,7.412186760022492e-11
t32,4.635663892170072e-10,4.063239714638932e-10,9.559003593846245e-11
t33,4.573137723987334e-10,4.708940468758229e-10,7.870399968652787e-11
