region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856607.9379121335,0.0,0.0,0.0,351399.4931897992,3.6361497768047333e-6,0.0,0.0,856607.9379121335,5.6797387599999994e7,-5.594077966208786e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2972758459820382e6,0.0,0.0,0.0,1.156395023791389e6,2.7203818293800903e6,0.0,0.0,1.2972758459820382e6,1.295391149e8,-1.2824183905401796e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36376.45005147276,0.0,0.0,0.0,20709.906890788672,45159.40833497207,0.0,0.0,36376.45005147276,3.3676233e6,-3.331246849948527e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511756.72670851735,0.0,0.0,0.0,533844.8634816355,1.159359181559043e6,0.0,0.0,511756.72670851735,4.30715296e7,-4.2559772873291485e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180318.7577790061,0.0,0.0,0.0,92264.30784917198,218164.4931115539,0.0,0.0,180318.7577790061,1.4608994600000001e7,-1.4428675842220996e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525014.4607915715,0.0,0.0,0.0,200252.6515510997,-7.595086840319558e-8,0.0,0.0,525014.4607915715,3.0430972e7,-2.9905957539208427e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725330.8048237966,0.0,0.0,0.0,413404.14452577,-1.0686161542281004e-7,0.0,0.0,725330.8048237966,8.02164678e7,-7.94911369951762e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.8948273998113416e7,0.0,0.0,8.03929362684011e6,0.0,0.0,0.7606322448834109,0.0,0.0,744181.0291619156,0.0,0.0,0.0,440349.5341970661,0.0,0.0,0.0,744181.0291619156,4.698756838558577e7,-4.6243387356423855e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,6.940971309744328e7,0.0,0.0,6.608434454495015,44.29396224484115,0.0,3.989674602102629,0.0,0.0,0.2615454286381623,0.0,0.0,0.0,3.741865140061821e6,0.0,0.0,0.0,0.2615454286381623,6.940976798951457e7,-6.940976772796914e7
