Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,0
AnnualSum,-114068.6128859871,-0.0638148057477053,-0.0606231232113352,-9324.983562327207,-0.08785321807780291,-0.0233313242013229,-311.6720245228396,-0.08075168767252033,-0.10417372773913017,-0.08468745864205014,-0.0747837151230361,-321.60526529251956,-0.06343149228866533,-0.045669005091672564,-2249.3139914819017,-7696.925678042073,-133973.80252721143
t1,1.3624560101060887e-5,1.1997581768956006e-5,-6.276855556703882e-6,-9.121001303275114e-6,7.889306039505746e-6,2.5812256184547376e-6,6.206078704081144e-6,6.075213671288339e-6,5.654130775183802e-6,5.804069003506931e-6,5.546611164087496e-6,5.189333669991757e-6,5.047458777608643e-6,4.901997907600424e-6,2.2396491446637474e-6,3.067631684851201e-5,9.803567633452268e-5
t2,1.4488256223605944e-5,0.000230021695042712,-8.002514632035424e-6,-8.566988148058986e-6,4.566431742276589e-6,3.3478091754342677e-6,8.805929260709634e-6,8.330932862903898e-6,7.503727917617077e-6,7.817307703522537e-6,7.429475190598198e-6,7.5204613593971995e-6,7.306992098053882e-6,6.956429260890483e-6,2.4706549761118067e-6,1.3521322598675908e-5,0.00031351792263241505
t3,1.0272524586613882e-5,0.00015410193289666204,-6.431772988158279e-6,-8.443491578734255e-6,3.3209194927647566e-6,9.225068326944487e-7,2.1822784384711995e-6,2.0667643890434292e-6,2.6998211790467014e-6,2.8683210303530776e-6,2.6690397646351354e-6,2.759261345052343e-6,2.716971459104812e-6,2.408594269494082e-6,-7.836619480561615e-7,4.081154625363444e-6,0.00017741116379435065
t4,6.683772020994746e-6,0.0001234808030418989,-6.524501335497949e-6,-8.178020223970097e-6,2.331169300019441e-6,-3.903678168581159e-6,-6.0251849937908895e-6,-5.7618451286833e-6,-5.46963107265361e-6,-5.471223006982884e-6,-5.520659461848917e-6,-5.301914945579866e-6,-5.072418711762489e-6,-5.062996520756103e-6,-5.892234342766612e-6,-1.976408501678783e-6,6.233502794836046e-5
t5,3.591583780378197e-6,9.913972763643407e-5,-8.709031526457932e-6,-9.225395456675492e-6,1.0186302706624947e-6,-1.1354506718716713e-5,-2.460817245395624e-5,-2.3788576048755707e-5,-2.3280320900312156e-5,-2.3698592131479532e-5,-2.3429109171211356e-5,-2.3033088181364637e-5,-2.2651087072401563e-5,-2.097311244140898e-5,-2.1246439477347888e-5,-7.5570813529704306e-6,-0.00013980457124558387
t6,-9.658354769747285e-8,4.375611549423531e-6,-1.4680808198295537e-7,-1.7521226013768958e-7,-1.25519341170479e-6,-4.9990034514852515e-6,-7.868033216686554e-6,-7.808306208816794e-6,-7.999340049060222e-6,-8.111400702916082e-6,-7.772794409185145e-6,-7.804459502000474e-6,-7.70170482934716e-6,-6.4896090846703385e-6,-9.862491796558433e-6,-2.3996220543403112e-5,-9.771154954622894e-5
t7,-7.367796289353911e-8,-3.53607260608157e-9,-1.0868590535859378e-7,-1.8726254947424774e-8,-2.9346181080985665e-6,2.359290525335321e-6,-1.1084207780705958e-7,-2.1433014549677877e-7,-1.8248599132197274e-7,9.410546644914367e-8,-1.966548666276257e-7,-1.550291671061304e-7,-7.829933834403692e-8,3.058602158683298e-7,-5.386562002046663e-7,-5.0368451898728205e-5,-5.222473778188789e-5
t8,-7.114923370305619e-8,7.825860868293688e-9,-7.404281012197915e-8,-1.4119553503652742e-8,-5.441088749455973e-9,1.4223832467911332e-5,0.00012272566594543672,0.00012232402501687493,0.0001201175896336516,0.00012476653912569128,0.00011844475427129717,0.00011769870961828241,0.00010976265060977757,6.671306114838247e-5,0.00013164909863335093,-1.135906195718471e-6,0.001047133093449728
t9,-6.924304288927525e-8,1.5328960713162148e-10,-7.562407788791815e-8,-1.9488825296981766e-8,-1.7150106469130712e-8,9.717534977730195e-6,4.4987444234407236e-5,4.469808226737077e-5,4.5165470307407004e-5,4.637987094429464e-5,4.4282049331189294e-5,4.38139114408975e-5,4.1578893087505534e-5,2.9569641645579223e-5,4.526096896947758e-5,0.00017478945520717418,0.0005700619696500969
